"","Ctrl1","Ctrl2","Ctrl3","Ctrl4","MOR1","MOR2","MOR3","MOR4"
"ENSMUSG00000000202",25.74,32.87,27.06,17.83,16.82,18.85,16.72,17.19
"ENSMUSG00000000204",0.04,0,0.08,0,0.06,0,0,0.02
"ENSMUSG00000000214",5.03,3.76,7.99,5.28,1.64,16.81,4.9,50.97
"ENSMUSG00000000215",0.51,0,0,0,0.23,0,0,0.13
"ENSMUSG00000000216",0.02,0.05,0.16,0,0.22,0,0.05,0.05
"ENSMUSG00000000223",6.93,12.44,10.65,11.61,10.16,14.08,12.94,10.59
"ENSMUSG00000000244",0.14,0.19,0.17,0.13,0.07,0.49,0.81,0.22
"ENSMUSG00000000247",2.63,5.29,1.69,5.17,1.6,2.33,2.51,1.96
"ENSMUSG00000000248",0,0,0,0.08,0,0,0.03,0
"ENSMUSG00000000253",56.22,46.08,70.65,37.01,46.34,35.1,42.32,36.03
"ENSMUSG00000000263",0.11,0.04,0.16,0.05,0.03,0,0.04,0.09
"ENSMUSG00000000266",4.68,3.98,4.29,4.01,3.32,3.4,5.64,3.82
"ENSMUSG00000000275",0.47,0.67,1.32,1.02,0.62,0.59,0.62,0.55
"ENSMUSG00000000276",10.04,13.31,11.23,11.3,11.4,9.49,11.89,12.28
"ENSMUSG00000000278",11.49,12.61,9.77,10.03,9.5,12.54,11.46,11.04
"ENSMUSG00000000282",4.05,4.66,5.19,5.29,4.95,5.33,6.66,5.94
"ENSMUSG00000000290",2.06,3.48,2.32,3.82,3.27,3.79,2.61,3.23
"ENSMUSG00000000295",25.18,18.85,17.6,23.95,22.86,17.09,20.49,18.28
"ENSMUSG00000000296",33.16,16.06,31.58,26.54,49.06,44.15,52.81,38.6
"ENSMUSG00000000301",4.07,2.95,2.65,3.31,3,1.99,2.11,2.82
"ENSMUSG00000000303",0.92,0.89,1.19,0.33,0.3,0.12,0.04,0.07
"ENSMUSG00000000305",3.29,5.04,5.09,6.32,8.59,6.68,7.61,7.02
"ENSMUSG00000000308",172.45,151.11,184.21,168.34,164.18,192.22,173.19,144
"ENSMUSG00000000317",0.41,0.76,0.32,0.55,0.25,0.51,0.45,0.33
"ENSMUSG00000000318",0.86,0.05,1.05,0.31,0.26,0.19,0.65,0.07
"ENSMUSG00000000320",0.09,0.23,0.25,0.17,0.02,0,0.03,0.16
"ENSMUSG00000000326",116.68,128.75,136.67,115.66,110.73,92.04,113.42,111.05
"ENSMUSG00000000339",43.37,38.48,36.84,38.58,43.76,45.72,35.85,36.38
"ENSMUSG00000000340",8.22,7.07,6.48,8.68,6.27,6.15,5.15,5.05
"ENSMUSG00000000346",119.67,115.76,102.43,99.7,97.25,87.11,82,109.11
"ENSMUSG00000000355",80.44,49.21,43.8,52.69,63.64,46.26,55.72,54.75
"ENSMUSG00000000359",0.32,0.96,0.41,0.1,0.12,0.27,0.13,0.25
"ENSMUSG00000000365",0.35,0.29,0.63,0.34,0.51,0.59,0.1,0.17
"ENSMUSG00000000374",3.6,4.61,4.1,4.73,3.95,3.3,3.97,4.57
"ENSMUSG00000000378",55.22,43.22,103.15,38.4,33.62,35.33,38.83,40.32
"ENSMUSG00000000381",0,0,0,0,0,0,0,0
"ENSMUSG00000000384",8.76,10.02,10.33,8.82,8.77,9.01,10.81,10.31
"ENSMUSG00000000385",0.19,0,0,0,0,0,0.05,0
"ENSMUSG00000000386",0.07,0.05,0.03,0.07,0,0,0,0.18
"ENSMUSG00000000392",0.33,0.41,0.61,0.42,0.13,0,0.2,0.1
"ENSMUSG00000000394",0,0,0.06,0,0.18,0,0,0
"ENSMUSG00000000399",147.08,115.07,117.33,117.63,126.2,156.33,118.23,139.92
"ENSMUSG00000000402",0.34,1,0.4,0.33,0.46,0.41,0.19,0.59
"ENSMUSG00000000409",0.95,1.34,1.22,0.82,1.17,1.39,1.76,1.58
"ENSMUSG00000000411",0.26,0.11,0.05,0.06,0.12,0.17,0.28,0
"ENSMUSG00000000416",44.35,58.73,51.54,43,64,44.42,64.22,64.12
"ENSMUSG00000000420",5.93,6.31,7.98,5.37,4.16,5.49,4.59,4.53
"ENSMUSG00000000435",0,0,0,0.12,0.05,0,0,0
"ENSMUSG00000000439",7.88,7.57,8.86,7.11,6.55,6.48,5.57,7.12
"ENSMUSG00000000440",0.6,0.33,0.23,1.55,0.71,0.63,0.6,1.9
"ENSMUSG00000000441",26.13,33.03,34.66,28.82,26.54,32.69,30.46,33.67
"ENSMUSG00000000486",0.35,0.23,0.05,0.27,0.17,0.4,0.53,0.12
"ENSMUSG00000000489",3.41,6.24,2.97,5.79,6.75,5.21,9.13,6.72
"ENSMUSG00000000530",3.17,4.9,6.49,3.14,1.45,2.53,2.73,1.95
"ENSMUSG00000000531",24.55,33.02,26.58,16.22,3.64,28.02,31.55,32.54
"ENSMUSG00000000532",10.75,11.83,13.93,11.76,10.29,11.75,11.58,9.56
"ENSMUSG00000000538",60.81,70.87,78.82,73.21,70.71,73.38,74.22,72.15
"ENSMUSG00000000544",0,0,0,0,0,0,0,0
"ENSMUSG00000000552",21.37,22.21,25.43,17.5,17.96,14.73,17.26,17.66
"ENSMUSG00000000555",0.73,0.84,2.68,0.59,0.45,0.39,0.31,0.37
"ENSMUSG00000000560",11.07,15.39,10.69,12.34,13.92,14.02,17.31,16.75
"ENSMUSG00000000561",18.46,21.6,20.78,18.69,20.84,24.13,23.17,20.33
"ENSMUSG00000000562",0.54,0.8,0.37,1.02,0.54,1.09,0.57,0.89
"ENSMUSG00000000563",279.33,221.37,225.28,218.04,217.71,218.04,216.39,231.49
"ENSMUSG00000000567",18.85,20,19.35,19.72,23.76,19.36,23.55,22.31
"ENSMUSG00000000568",9.15,7.6,7.95,10.59,9.37,5.14,8.17,7.35
"ENSMUSG00000000579",1.79,1.64,1.95,2.13,1.28,1.67,1.37,2.66
"ENSMUSG00000000581",28.57,19.1,19.33,24.22,29.37,27.51,19.87,24.71
"ENSMUSG00000000594",38.42,35.09,27.86,28.85,27.11,25.97,24.6,29.13
"ENSMUSG00000000600",10.02,9.46,10.94,11.38,13.08,10.65,13.02,10.49
"ENSMUSG00000000605",95.05,89.92,87.93,87.72,95.5,95.22,89.98,103.68
"ENSMUSG00000000606",0,0,0,0,0,0,0,0
"ENSMUSG00000000617",0,0.02,0,0,0,0,0,0
"ENSMUSG00000000627",8.29,8.68,8.3,7.35,6.9,9.21,9.97,8.23
"ENSMUSG00000000628",0.62,0.42,0.51,0.95,0.55,0.7,0.69,1.08
"ENSMUSG00000000631",16.4,18.69,37.17,19.7,21.4,19.91,20.29,17.87
"ENSMUSG00000000632",64.3,71.24,167.1,85.64,97.41,79.7,104.07,97.24
"ENSMUSG00000000673",0.26,0,0,0.1,0,0.05,0.05,0
"ENSMUSG00000000682",4.09,3.24,0.8,0.95,2.52,1.01,2.09,1.36
"ENSMUSG00000000686",1.76,1.29,1.18,1.77,1.46,1.25,1.15,1.1
"ENSMUSG00000000690",0,0,0,0,0,0,0,0
"ENSMUSG00000000693",1.56,2.19,2.39,1,1.59,1.4,1.88,0.68
"ENSMUSG00000000701",0,0,0,0,0,0,0,0
"ENSMUSG00000000706",0,0,0.02,0.02,0,0,0.15,0.29
"ENSMUSG00000000708",0.92,1.55,1.54,1.13,0.76,0.89,1.57,1.72
"ENSMUSG00000000711",68.26,61.39,65.01,71.91,62.14,71.53,68.07,73.76
"ENSMUSG00000000724",0.84,0.27,0.53,0.94,0.8,0.38,0.37,0.18
"ENSMUSG00000000730",0.47,0,0,0.07,0.14,0.13,0.06,0
"ENSMUSG00000000731",0.07,0.08,0.02,0.11,0.23,0.26,0.18,0.25
"ENSMUSG00000000732",0.82,0.74,0.9,0.75,1.07,1.08,0.87,1.64
"ENSMUSG00000000738",7.49,9.64,6.55,7.06,9.23,9.8,8.42,8.47
"ENSMUSG00000000739",0.19,0.07,0.02,0.42,0.72,0.26,0.15,0.53
"ENSMUSG00000000740",693.86,573.23,531.17,530.38,580.5,506.21,711.03,597.6
"ENSMUSG00000000743",82.93,80.35,80.57,86.07,92.53,109.96,93.11,91.31
"ENSMUSG00000000751",14.57,14.66,21.89,16.41,19.32,23,20.26,20.45
"ENSMUSG00000000753",18.3,12.33,21.34,7.8,4.54,9.1,3.99,6.57
"ENSMUSG00000000759",12.29,16.14,14.16,14.23,9.92,15.75,11.28,10.37
"ENSMUSG00000000766",0.36,1.08,3.48,1.66,0.9,1.21,0.97,0.74
"ENSMUSG00000000776",6.63,5.92,5.54,7.3,7.33,6.28,6.79,7.37
"ENSMUSG00000000782",0.76,0.99,3.89,1.29,0.23,0.06,0.03,0.64
"ENSMUSG00000000787",16.55,19.78,18.03,21.32,16.08,18.14,16.18,15.7
"ENSMUSG00000000791",0.41,0.62,0.57,0.14,0.45,0.21,0.42,0.2
"ENSMUSG00000000792",10.25,5.83,5.37,9.21,13.36,7.26,8.09,7.88
"ENSMUSG00000000794",7.67,10.93,13.38,12.56,11.23,10.56,13.46,10.52
"ENSMUSG00000000804",6.34,7.47,5.52,8.88,7.51,6.92,8.21,6.02
"ENSMUSG00000000805",19.77,20.56,12.84,16.16,18.41,22.33,16.69,20.21
"ENSMUSG00000000811",2.52,1.62,1.88,1.52,1.81,2.79,1.7,2.15
"ENSMUSG00000000817",0.03,0.42,0.04,0.13,0,0,0,0.14
"ENSMUSG00000000823",4.85,11.48,11.92,7.53,6.61,6.38,7.36,6.28
"ENSMUSG00000000826",86.07,92.64,102.48,104.61,97.48,117.91,105.24,94.31
"ENSMUSG00000000827",68.45,51.58,55.81,54.14,65.61,61.91,59.99,62.56
"ENSMUSG00000000838",6.93,7.1,3.95,7.51,8.19,9.02,8.13,10.1
"ENSMUSG00000000861",39.97,35.87,32.91,41.96,57.08,49.01,67.09,57.14
"ENSMUSG00000000869",0,0,0,0,0.09,0,0,0
"ENSMUSG00000000876",13.89,14.83,8.01,8.91,14.2,8.66,11.57,9.9
"ENSMUSG00000000881",3.86,4.36,3.24,4.03,4.72,3.14,4.11,4.48
"ENSMUSG00000000884",4.03,4.61,4.36,3.84,3.29,4.3,3.57,3.78
"ENSMUSG00000000889",0.41,0.82,0.03,0.13,0.51,0.64,0.39,0.33
"ENSMUSG00000000901",0.43,1.13,1.33,0.82,0.38,0.76,0.62,0.41
"ENSMUSG00000000902",47.99,47.2,63.68,50.57,51.43,64.41,66.28,59.35
"ENSMUSG00000000903",0.11,0,0,0.13,0,0,0,0.11
"ENSMUSG00000000915",10.7,13.14,14.86,13.77,10.49,11.08,10.63,9.22
"ENSMUSG00000000916",6.98,6.16,4.64,5.24,7.54,5.4,7.32,6.74
"ENSMUSG00000000934",7.63,9.78,8.8,11.05,13.65,12.26,12.1,10.07
"ENSMUSG00000000938",0,0,0,0,0.04,0.03,0,0
"ENSMUSG00000000942",0,0,0,0,0,0,0,0
"ENSMUSG00000000948",2.62,2.13,1.2,2.2,2.7,1.24,3.12,1.76
"ENSMUSG00000000957",7.77,5.11,5.53,3.91,1.59,6.3,5.53,3.94
"ENSMUSG00000000958",1.68,0.64,1.73,1.3,1.84,1.1,1.47,2
"ENSMUSG00000000959",13.2,16.12,16.96,14.69,12.6,17.11,11.32,12.12
"ENSMUSG00000000976",2.26,3.09,4.16,3.65,3.3,2.8,3.36,3.77
"ENSMUSG00000000982",0.26,0.18,0.18,0.53,0,0,0.09,0.09
"ENSMUSG00000000983",11.72,9.86,4.06,5.3,18.57,7.39,7.16,8.86
"ENSMUSG00000001014",2.17,1.97,0.61,0.97,2.34,1.25,1.36,2.31
"ENSMUSG00000001016",40.63,37.08,39.64,38.03,46.99,51.09,42.84,46.31
"ENSMUSG00000001017",71.09,69.12,90.83,74,64.26,69.42,68.64,71.49
"ENSMUSG00000001018",49.65,48.12,42.92,46.03,37.23,41.17,31.93,32.81
"ENSMUSG00000001020",4.22,4.88,3.7,4.4,1.97,3.12,3.83,2.95
"ENSMUSG00000001021",1.06,0.33,2.06,0.96,1.2,0.92,0.32,0.39
"ENSMUSG00000001023",0.78,1.15,1.94,0.38,3.68,3.16,2.72,1.66
"ENSMUSG00000001025",34.93,20.18,23.5,20.47,23.31,15.64,19.75,16.94
"ENSMUSG00000001027",0,0,0,0,0,0,0,0
"ENSMUSG00000001029",3.23,2.99,3.15,3.05,1.47,1.62,1.51,1.64
"ENSMUSG00000001034",4.78,7.11,7.15,5.54,7.63,6.3,8.83,6.62
"ENSMUSG00000001036",23.53,36.07,37.57,36.36,34.75,33.58,41.13,29.81
"ENSMUSG00000001039",20.26,16.4,19.4,16.7,21.54,15.41,21.52,24.14
"ENSMUSG00000001052",7.47,11.96,13.84,13.19,10.15,11.49,13.54,11.1
"ENSMUSG00000001053",6.37,4.2,4.41,8.62,11.74,9.44,15.18,9.39
"ENSMUSG00000001054",44.91,44.76,53.59,40.54,59.22,60.86,71.34,55.97
"ENSMUSG00000001056",84.97,61.83,61.24,61.88,84.07,60.85,74.02,67.32
"ENSMUSG00000001062",13.99,21.19,20.41,20.62,14.37,19.89,20.76,16.91
"ENSMUSG00000001065",4.94,4.93,4.51,4.49,4.78,3.82,5.28,3.81
"ENSMUSG00000001076",0,0,0,0,0,0,0,0
"ENSMUSG00000001082",14.63,21.92,21.33,15.37,14.13,14.45,19.09,15.26
"ENSMUSG00000001089",40.17,34.41,23.83,28.15,41.57,30,20.38,24.34
"ENSMUSG00000001095",0.05,0,0,0,0,0,0,0
"ENSMUSG00000001098",21.45,20.44,32.49,26.53,29.8,25.85,31.4,26.75
"ENSMUSG00000001100",67.52,61.79,57.02,59.65,53.27,67.7,59.16,68.03
"ENSMUSG00000001103",5.2,3.6,0.91,2.95,2.18,2.41,0.61,1.66
"ENSMUSG00000001105",59.9,43.77,36.86,38.94,48.9,58.51,43.6,46.51
"ENSMUSG00000001119",25.93,39.76,55.52,50.31,27.78,35.01,36.47,29.29
"ENSMUSG00000001120",35,36.55,37.18,38.31,41.97,57.42,60.1,119.2
"ENSMUSG00000001123",12.08,12.02,10.6,8.23,6.36,7.34,5.56,3.86
"ENSMUSG00000001127",143.56,122.86,151.56,130.03,133.64,113.28,125.68,140.45
"ENSMUSG00000001128",1.28,2.08,1.29,2.04,1.99,2.22,1.97,1.67
"ENSMUSG00000001131",1.19,0.92,1.46,0.55,0.53,0.42,0.09,0.08
"ENSMUSG00000001134",9.08,8.57,8.28,8.45,7.51,5.93,8.28,7.11
"ENSMUSG00000001138",1.67,1.35,1.97,2.05,1.84,1.26,1.82,1.77
"ENSMUSG00000001143",17.53,17.31,22.02,18.64,21.84,21.55,18.71,19.51
"ENSMUSG00000001150",14.37,16.26,16.08,20.3,17.46,19.91,16.47,14.84
"ENSMUSG00000001151",1.81,2.67,3,3.11,3.14,2.74,2.54,2.61
"ENSMUSG00000001155",0,0,0,0.04,0,0.08,0,0.04
"ENSMUSG00000001156",3.69,4.15,5.94,4.07,5.22,6.03,5.14,4.81
"ENSMUSG00000001157",8.73,8.38,4.73,4.57,3.8,9.42,6.12,4.58
"ENSMUSG00000001158",45.91,26.25,25.86,28.06,50.81,29.44,36.57,40.21
"ENSMUSG00000001166",0.57,0.89,0.42,0.35,0.2,0.36,0.25,0.18
"ENSMUSG00000001168",0,0.04,0.07,0,0,0,0,0
"ENSMUSG00000001173",9.65,9.32,13.12,14.55,10.12,9.85,10.29,12.37
"ENSMUSG00000001175",699.94,619.98,456.19,661.28,923.03,838.89,716.28,707.97
"ENSMUSG00000001211",18.97,25.68,20.49,23.99,15.61,21.01,19.08,17.23
"ENSMUSG00000001225",0,0,0,0.17,0.05,0,0.03,0
"ENSMUSG00000001227",5.59,4.96,4.06,4.2,3.5,4.22,4.32,4.36
"ENSMUSG00000001228",0.33,0.33,0.62,2.46,0.71,0.83,0.67,0.44
"ENSMUSG00000001229",12.94,13.37,13.14,14.23,14.32,16.64,16.8,14.05
"ENSMUSG00000001240",18.15,16.55,14.57,14.82,11.07,11.43,15.97,14.11
"ENSMUSG00000001247",2.93,4.98,5.84,3.93,3.48,2.08,2.99,2.56
"ENSMUSG00000001248",43.61,51.92,65.66,41.2,23.98,51.62,58.46,47.71
"ENSMUSG00000001249",0.13,0.22,0.31,0.23,0.68,0.71,0.51,0.61
"ENSMUSG00000001260",10.27,8.91,10.07,10.02,7.24,11.61,13.44,10.32
"ENSMUSG00000001270",2021.97,2077.79,2382.33,1589.27,1309.98,1446.4,1367.29,1869.11
"ENSMUSG00000001280",1.45,1.38,1.41,1.08,1.02,2.93,1.74,1.09
"ENSMUSG00000001281",0.15,0.27,0.28,0.45,0.19,0.41,0.21,0.36
"ENSMUSG00000001285",27.72,26.32,27.9,24.14,22.66,22.67,27.93,28.5
"ENSMUSG00000001288",1.7,3.69,6.09,3.1,1.88,1.66,3.13,1.68
"ENSMUSG00000001289",247.04,146.26,153.18,178.76,227.77,201.63,240.17,222.59
"ENSMUSG00000001300",3.44,2.49,4.53,4.29,4.37,4.23,5.79,4.77
"ENSMUSG00000001305",6.07,4.73,6.67,5.47,9.4,6.34,6.25,6.56
"ENSMUSG00000001313",19.88,15.54,21.12,15.9,13.21,12.96,8.96,11.99
"ENSMUSG00000001323",43.15,43.56,46.11,40.46,46.46,45.04,50.23,45.47
"ENSMUSG00000001333",0.13,0.14,0.2,0.12,0.25,0.51,0.21,0.03
"ENSMUSG00000001334",13.48,11.56,10.14,9.88,9.21,8.42,8.96,8.1
"ENSMUSG00000001348",0.63,0.31,0.25,0.06,0.5,0.27,0.11,0.47
"ENSMUSG00000001349",0.1,0.16,0.55,0.19,0.07,0,0.73,0.6
"ENSMUSG00000001366",62.25,54.77,53.7,54.05,66.15,59.64,55.96,55.82
"ENSMUSG00000001376",19.63,18.35,18.13,20.2,20.66,24.79,19.18,18.7
"ENSMUSG00000001380",56.6,49.38,53.03,56.06,66.28,65.35,66.87,65.46
"ENSMUSG00000001383",91.86,85.59,65.24,88.38,105.72,88.95,89.92,84.32
"ENSMUSG00000001403",0.27,0.14,0.57,3.61,2.19,1.07,2.08,1.88
"ENSMUSG00000001415",16.46,20.36,29.51,21.57,16.4,17.58,18.79,18.37
"ENSMUSG00000001416",88.44,79.59,98.83,80.81,79.26,94.68,89.29,87.52
"ENSMUSG00000001418",68.09,62.53,60.6,52.69,62.75,38.52,63.16,62.9
"ENSMUSG00000001419",32.4,39.96,58.13,33.75,29.06,47.93,55.76,50.13
"ENSMUSG00000001420",0.78,0.66,0.03,0.36,0.62,0.26,0.32,0.35
"ENSMUSG00000001424",19.74,21.02,25.06,23.54,23.87,27.73,24.98,27.13
"ENSMUSG00000001435",0.64,0.95,1.28,1.16,0.98,1.01,1.53,1.38
"ENSMUSG00000001436",9.44,9.51,13.8,8.13,8.96,7.53,8.27,8.72
"ENSMUSG00000001440",12.86,14.44,15.98,16.27,15.61,16.85,14.99,15.52
"ENSMUSG00000001441",28.14,28.65,33.34,29.18,28.83,41.63,34.99,31.69
"ENSMUSG00000001444",0,0.11,0.05,0,0,0.45,0.09,2.08
"ENSMUSG00000001445",46.37,40.48,47.06,36.94,43.8,43.71,44.78,41.48
"ENSMUSG00000001467",23.64,24.51,23.18,28.96,26.98,28.53,28.49,28.52
"ENSMUSG00000001472",252.37,250.63,216.81,240.46,234.02,222.87,226.77,225.3
"ENSMUSG00000001473",2.73,1.66,2.91,2.68,1.06,3.08,1.92,7.44
"ENSMUSG00000001482",17.93,16.35,20.86,17.08,16.5,19.3,15.8,18.85
"ENSMUSG00000001493",0.03,0.31,0.31,0.07,0.21,0.3,0.32,0.16
"ENSMUSG00000001494",0,0.03,0,0,0,0,0,0
"ENSMUSG00000001496",0.03,0.19,0.73,0.18,0.16,0.17,0.03,0
"ENSMUSG00000001497",0,0.08,0,0,0,0,0.02,0
"ENSMUSG00000001504",0,0,0,0,0,0,0,0.05
"ENSMUSG00000001506",3.37,3.86,8.2,2.42,3.09,1.79,1.45,0.9
"ENSMUSG00000001507",2.68,2.32,2.74,3.37,3.64,4.04,3.82,2.69
"ENSMUSG00000001508",0.23,0.29,0.45,0,0.14,0,0,0.2
"ENSMUSG00000001510",0.1,0.4,0.03,0,0,0,0,0
"ENSMUSG00000001517",0.03,0.09,0.07,0.38,0.22,0.1,0.2,0.16
"ENSMUSG00000001518",10.43,11.8,18.24,13.6,8.01,10.46,11.46,13.29
"ENSMUSG00000001520",11.53,12.09,16.62,12.78,13.21,14,14.63,15.55
"ENSMUSG00000001521",4.13,6.29,5.42,6.51,5.39,4.25,4.11,4.42
"ENSMUSG00000001524",10.13,9.42,12.26,10.27,11.32,11.63,10.64,10.2
"ENSMUSG00000001525",312.71,273.28,211.66,314.9,355.85,362.3,371.18,315.91
"ENSMUSG00000001542",5.24,2.68,4.53,2.06,3.05,3.85,2.36,5.69
"ENSMUSG00000001552",27.9,24.83,37.16,24.84,25.18,29.28,25.44,31.86
"ENSMUSG00000001555",6.48,7.95,5.87,5.44,4.08,5.53,3.92,4.82
"ENSMUSG00000001558",0.69,0.61,0.36,0.38,0.28,0.4,0.26,0.35
"ENSMUSG00000001566",0,0,0,0,0,0,0,0
"ENSMUSG00000001569",2.82,3.22,3.36,3.19,3.52,3.13,3.39,2.87
"ENSMUSG00000001576",59.43,62.79,71.72,60.7,51.79,71.66,70.28,72.65
"ENSMUSG00000001583",0.03,0,0,0.15,0,0,0,0
"ENSMUSG00000001588",0.32,0,0,0,0,0,0,0
"ENSMUSG00000001604",0.25,0.39,0.87,0.3,0.62,0.18,0.11,0
"ENSMUSG00000001622",0,0.14,0,0,0,0,0,0
"ENSMUSG00000001627",23.22,23.08,13.76,27.87,22.31,27.72,24.59,25.16
"ENSMUSG00000001630",5.83,7.23,5.06,6.92,7.2,7.3,6.24,7.17
"ENSMUSG00000001632",3.25,3.45,4.05,3.32,3.31,3.63,3.85,3.91
"ENSMUSG00000001642",44,35.5,46.33,34.66,35.35,37.01,35.02,38.34
"ENSMUSG00000001655",0,0.08,0.06,0,0,0,0,0
"ENSMUSG00000001656",0,0,0,0,0,0,0,0
"ENSMUSG00000001657",0,0,0,0,0,0,0,0.04
"ENSMUSG00000001661",0,0,0,0,0,0,0,0
"ENSMUSG00000001663",19.93,12.62,18.54,12.92,11.49,12.24,15.81,13.57
"ENSMUSG00000001665",4.09,4.9,6.32,3.45,2.2,3.44,1.92,5.24
"ENSMUSG00000001666",53.74,37.15,37.37,40.36,42.73,44.36,33.38,32.29
"ENSMUSG00000001670",0,0,0,0.03,0,0,0,0
"ENSMUSG00000001672",0.63,0.22,0.73,0.06,0.06,0.21,0.43,0.2
"ENSMUSG00000001674",8.78,7.84,8.56,8.85,10.84,10.53,7.72,9.91
"ENSMUSG00000001687",59.42,46.24,63.65,37.44,38.23,45.65,44.03,62.47
"ENSMUSG00000001700",12.36,12.36,11.48,12,6.91,12.4,6.66,8.32
"ENSMUSG00000001707",14.87,11.37,12.39,13.84,12.97,12.16,13.41,15.23
"ENSMUSG00000001729",13.23,13.62,13.31,10.74,11.96,12.25,11.9,13.21
"ENSMUSG00000001739",0,0.04,0.07,0.18,0.03,0,0,0
"ENSMUSG00000001741",1.89,2.55,2.21,2.43,2.66,2.75,2.12,2.09
"ENSMUSG00000001750",8.1,8.78,6.5,9.18,7.14,7.65,6.4,6.33
"ENSMUSG00000001751",5.9,7.62,8.97,4.95,4.65,3.33,5.38,5.11
"ENSMUSG00000001755",17.55,15.44,13.49,14.98,19.06,17.46,18.63,18.05
"ENSMUSG00000001761",2.07,1.6,2.26,1.48,0.3,1.22,1.56,1.2
"ENSMUSG00000001763",3.12,3.1,2.17,3.03,3.22,4.05,5.15,4.22
"ENSMUSG00000001767",5.23,5,5.7,6.51,6.14,7.43,5.97,5.02
"ENSMUSG00000001768",10.87,13.14,10.95,14,9.06,14.87,6.85,11.26
"ENSMUSG00000001773",1.65,3.05,2.65,2.54,2.89,4.31,4.15,3.45
"ENSMUSG00000001774",37.67,34.36,28.04,37.55,47.01,47.24,48.1,45.44
"ENSMUSG00000001783",70.88,65.03,83.52,69.69,77.39,78.12,75.68,75.47
"ENSMUSG00000001785",11.92,12.42,15.12,11.87,12.31,14.08,12.53,13.89
"ENSMUSG00000001786",18.13,18.54,23.8,19.15,17.3,21.93,15.79,15.96
"ENSMUSG00000001794",33.64,27.35,22.9,27.85,24.48,25.71,24.68,23.84
"ENSMUSG00000001802",3.8,5.59,4.88,3.67,4.82,3.43,4.63,4.21
"ENSMUSG00000001804",0,0,0,0,0,0,0.04,0.02
"ENSMUSG00000001815",0,0,0,0,0,0,0,0
"ENSMUSG00000001819",0,0,0,0,0,0,0,0
"ENSMUSG00000001823",0,0,0,0,0,0,0,0
"ENSMUSG00000001827",0,0,0.07,0.16,0.22,0,0,0
"ENSMUSG00000001829",24.21,23.62,32.14,29.28,28.98,35.1,30.81,31.14
"ENSMUSG00000001833",152.83,119.3,91.67,139.09,162.99,134.36,125.04,132.11
