Contrast,Database,Analysis,Total_Pathways,FDR05_Pathways
NAC_OUD_vs_Control,C3_Motif,ORA,3063,0
NAC_OUD_vs_Control,C7_Immunologic,ORA,4845,223
NAC_OUD_vs_Control,C8_CellType,ORA,747,84
NAC_OUD_vs_Control,WikiPathways,ORA,492,12
NAC_OUD_vs_Control,PharmGKB,ORA,142,0
NAC_OUD_vs_Control,BioCarta,ORA,118,0
OUD_DLPFC_vs_NAC,GO_BP,ORA,6238,13
OUD_DLPFC_vs_NAC,GO_MF,ORA,1293,0
OUD_DLPFC_vs_NAC,GO_CC,ORA,676,30
OUD_DLPFC_vs_NAC,KEGG,ORA,336,2
OUD_DLPFC_vs_NAC,Reactome,ORA,1464,0
OUD_DLPFC_vs_NAC,DO,ORA,1021,0
OUD_DLPFC_vs_NAC,Hallmark,ORA,50,0
OUD_DLPFC_vs_NAC,C2_Curated,ORA,16,0
OUD_DLPFC_vs_NAC,C3_Motif,ORA,3522,79
OUD_DLPFC_vs_NAC,C7_Immunologic,ORA,4872,0
OUD_DLPFC_vs_NAC,C8_CellType,ORA,816,26
OUD_DLPFC_vs_NAC,WikiPathways,ORA,666,0
OUD_DLPFC_vs_NAC,PharmGKB,ORA,191,0
OUD_DLPFC_vs_NAC,BioCarta,ORA,184,0
OUD_Male_vs_Female,GO_BP,ORA,810,0
OUD_Male_vs_Female,GO_MF,ORA,206,5
OUD_Male_vs_Female,GO_CC,ORA,131,0
OUD_Male_vs_Female,KEGG,ORA,50,0
OUD_Male_vs_Female,Reactome,ORA,137,0
OUD_Male_vs_Female,DO,ORA,150,0
OUD_Male_vs_Female,Hallmark,ORA,13,0
OUD_Male_vs_Female,C3_Motif,ORA,957,0
OUD_Male_vs_Female,C7_Immunologic,ORA,1381,4
OUD_Male_vs_Female,C8_CellType,ORA,260,1
OUD_Male_vs_Female,WikiPathways,ORA,69,0
OUD_Male_vs_Female,PharmGKB,ORA,13,0
OUD_Male_vs_Female,BioCarta,ORA,13,0
Pooled_OUD_vs_Control,GO_BP,ORA,4365,463
Pooled_OUD_vs_Control,GO_MF,ORA,791,43
Pooled_OUD_vs_Control,GO_CC,ORA,389,18
Pooled_OUD_vs_Control,KEGG,ORA,270,25
Pooled_OUD_vs_Control,Reactome,ORA,794,24
Pooled_OUD_vs_Control,DO,ORA,811,289
Pooled_OUD_vs_Control,Hallmark,ORA,47,11
Pooled_OUD_vs_Control,C2_Curated,ORA,9,0
Pooled_OUD_vs_Control,C3_Motif,ORA,2896,8
Pooled_OUD_vs_Control,C7_Immunologic,ORA,4768,560
Pooled_OUD_vs_Control,C8_CellType,ORA,713,141
Pooled_OUD_vs_Control,WikiPathways,ORA,467,34
Pooled_OUD_vs_Control,PharmGKB,ORA,136,0
Pooled_OUD_vs_Control,BioCarta,ORA,95,0
