Contrast,Database,Pathway,pvalue,p.adjust,GeneRatio
Pooled_OUD_vs_Control,WikiPathways,WP_COMPLEMENT_SYSTEM,1.0749995967289994e-10,5.020248116724427e-8,20/254
Male_OUD_vs_Control,GO_BP,response to cytokine,2.5165264955203296e-11,5.3089358248658104e-8,29/101
Pooled_OUD_vs_Control,C8_CellType,DESCARTES_MAIN_FETAL_MICROGLIA,3.900090280599656e-9,7.515579378560958e-8,23/435
Female_OUD_vs_Control,C8_CellType,FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA,2.784511156774283e-9,9.328112375193849e-8,32/334
Female_OUD_vs_Control,C8_CellType,HU_FETAL_RETINA_MICROGLIA,3.4927028254675558e-9,1.1143385205063155e-7,32/334
Female_OUD_vs_Control,GO_BP,cytokine-mediated signaling pathway,7.825959114202682e-10,1.1372795584175256e-7,36/287
Pooled_OUD_vs_Control,DO,immune system disease,3.8825568144285214e-9,1.9679709853134567e-7,43/199
Female_OUD_vs_Control,C8_CellType,ZHONG_PFC_MAJOR_TYPES_MICROGLIA,7.427143435300066e-9,2.1635591746308887e-7,34/334
Pooled_OUD_vs_Control,GO_BP,regulation of immune system process,1.8235918397471274e-9,2.74482013120559e-7,82/380
Female_OUD_vs_Control,Reactome,Cytokine Signaling in Immune system,9.650209522862885e-10,3.8649089139065855e-7,44/206
Pooled_OUD_vs_Control,KEGG,Cytokine-cytokine receptor interaction,2.334340434609216e-9,6.302719173444883e-7,31/225
DLPFC_OUD_vs_Control,GO_BP,response to cytokine,3.908493399660232e-10,6.834748293000522e-7,47/253
OUD_DLPFC_vs_NAC,GO_CC,synapse,1.1233713125677939e-9,7.593990072958287e-7,745/5358
Pooled_OUD_vs_Control,C8_CellType,HU_FETAL_RETINA_MICROGLIA,5.689548698734223e-8,8.45135046291146e-7,35/435
Female_OUD_vs_Control,GO_MF,immune receptor activity,1.3323917682019017e-9,9.180179282911103e-7,19/292
Male_OUD_vs_Control,GO_BP,cellular response to cytokine stimulus,2.0671234485584736e-9,1.4518373468726042e-6,25/101
Pooled_OUD_vs_Control,GO_MF,cytokine binding,9.340372308513428e-9,1.4776468992068243e-6,19/376
Female_OUD_vs_Control,C7_Immunologic,GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_DN,1.092137410086905e-8,1.5171073493648388e-6,18/319
Female_OUD_vs_Control,Reactome,Innate Immune System,6.613153085231057e-9,1.765711873756692e-6,49/206
Pooled_OUD_vs_Control,GO_BP,cytokine-mediated signaling pathway,1.512893993691581e-8,1.8343839673510417e-6,40/380
Male_OUD_vs_Control,Reactome,Cytokine Signaling in Immune system,1.0850263525629673e-8,2.0072987522414895e-6,23/75
Male_OUD_vs_Control,C8_CellType,GAO_LARGE_INTESTINE_ADULT_CJ_IMMUNE_CELLS,1.279622942292808e-7,2.0318861265497924e-6,19/118
Pooled_OUD_vs_Control,GO_BP,positive regulation of cytokine production,1.876719096039021e-8,2.214021311948737e-6,39/380
DLPFC_OUD_vs_Control,GO_BP,cellular response to cytokine stimulus,4.939278267307288e-9,2.4931007054233537e-6,42/253
Female_OUD_vs_Control,C8_CellType,DESCARTES_FETAL_CEREBRUM_MICROGLIA,1.360011976158355e-7,3.2543143715217774e-6,37/334
Pooled_OUD_vs_Control,GO_BP,cytokine production,3.106880909074213e-8,3.390383792027235e-6,51/380
Male_OUD_vs_Control,DO,bone inflammation disease,7.453450429415188e-8,3.612056746562745e-6,14/61
Female_OUD_vs_Control,GO_BP,positive regulation of immune response,3.1630262227586977e-8,3.6772439144014686e-6,39/287
Pooled_OUD_vs_Control,Reactome,Cytokine Signaling in Immune system,2.2081013178560844e-8,3.89407598897643e-6,49/267
Pooled_OUD_vs_Control,Reactome,Innate Immune System,2.4521889099347793e-8,3.89407598897643e-6,57/267
Female_OUD_vs_Control,GO_BP,regulation of response to stress,4.7908172053502674e-8,5.268604110424389e-6,54/287
Female_OUD_vs_Control,DO,autoimmune disease,1.5584388810238994e-7,5.736539309673687e-6,24/160
Pooled_OUD_vs_Control,GO_BP,regulation of cytokine production,6.325200384434572e-8,5.8743616336291296e-6,50/380
Pooled_OUD_vs_Control,GO_BP,innate immune response,7.494666630670663e-8,6.6763713965056e-6,53/380
Pooled_OUD_vs_Control,GO_BP,adaptive immune response,8.953202123868951e-8,7.5383327717714495e-6,35/380
Female_OUD_vs_Control,GO_MF,cytokine binding,5.7584384764932345e-8,8.083768148538867e-6,16/292
Female_OUD_vs_Control,GO_MF,chemokine binding,5.8663048973431534e-8,8.083768148538867e-6,9/292
Pooled_OUD_vs_Control,GO_BP,regulation of response to stress,2.0385837824725222e-7,1.6039691375198682e-5,64/380
Pooled_OUD_vs_Control,DO,adult respiratory distress syndrome,8.531270297251601e-7,1.779690224190479e-5,10/199
Male_OUD_vs_Control,C7_Immunologic,GSE1432_CTRL_VS_IFNG_1H_MICROGLIA_DN,1.5670322845538448e-7,2.237373872946323e-5,10/110
Pooled_OUD_vs_Control,GO_BP,immune effector process,3.362465165267058e-7,2.5749404291913526e-5,42/380
Female_OUD_vs_Control,GO_BP,programmed cell death,2.8490188189684617e-7,2.5761461276405933e-5,67/287
DLPFC_OUD_vs_Control,C8_CellType,HU_FETAL_RETINA_MICROGLIA,1.1944198000029214e-6,2.659229697167085e-5,25/286
Pooled_OUD_vs_Control,C7_Immunologic,GSE1432_CTRL_VS_IFNG_1H_MICROGLIA_DN,6.356130589254343e-7,2.8590594952419534e-5,17/410
Female_OUD_vs_Control,GO_BP,cell death,3.2998855992877567e-7,2.9189640225004093e-5,67/287
Female_OUD_vs_Control,GO_BP,regulation of programmed cell death,3.40742331525974e-7,2.9499586105940176e-5,55/287
NAC_OUD_vs_Control,DO,bone inflammation disease,1.8197242234776606e-7,2.9843477265033635e-5,29/257
Pooled_OUD_vs_Control,KEGG,Viral protein interaction with cytokine and cytokine receptor,2.2161893577677228e-7,2.9918556329864257e-5,14/225
Female_OUD_vs_Control,WikiPathways,WP_COMPLEMENT_SYSTEM,7.781945708952929e-8,3.3462366548497595e-5,15/198
Male_OUD_vs_Control,DO,immune system disease,1.7504065067209065e-6,3.715638515622539e-5,18/61
Male_OUD_vs_Control,C7_Immunologic,GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_DN,3.7450817186949273e-7,4.1249400073054124e-5,10/110
Male_OUD_vs_Control,GO_BP,cytokine-mediated signaling pathway,8.996993491891227e-8,4.25257892383392e-5,18/101
Female_OUD_vs_Control,GO_BP,adaptive immune response,6.34803706356479e-7,4.453476346835368e-5,28/287
Pooled_OUD_vs_Control,GO_BP,humoral immune response,7.032877668969372e-7,4.514486915448721e-5,21/380
DLPFC_OUD_vs_Control,C7_Immunologic,GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_DN,3.937414439497659e-7,4.7839585439896553e-5,15/278
DLPFC_OUD_vs_Control,WikiPathways,WP_COMPLEMENT_SYSTEM,3.3497906993687615e-7,4.8236986070910164e-5,13/161
Pooled_OUD_vs_Control,GO_BP,regulation of immune response,9.318575453345959e-7,5.419355805522829e-5,51/380
Female_OUD_vs_Control,GO_BP,positive regulation of tumor necrosis factor superfamily cytokine production,8.818120954884746e-7,5.980155694237672e-5,14/287
NAC_OUD_vs_Control,C7_Immunologic,GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_DN,2.670640333018842e-7,6.000441466995387e-5,22/580
Control_DLPFC_vs_NAC,GO_CC,neuron projection,8.923667414877426e-8,6.03239917245714e-5,599/5212
Female_OUD_vs_Control,GO_BP,regulation of innate immune response,9.261552662012286e-7,6.0535157224567555e-5,26/287
Female_OUD_vs_Control,GO_BP,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,9.805794689288288e-7,6.0535157224567555e-5,22/287
DLPFC_OUD_vs_Control,GO_BP,regulation of response to stress,2.1581260109395153e-7,6.22465202298126e-5,48/253
DLPFC_OUD_vs_Control,DO,immune system disease,2.3706679770120908e-6,6.498288759619467e-5,29/136
Pooled_OUD_vs_Control,GO_MF,chemokine binding,5.172115806546274e-7,6.818572671630172e-5,9/376
Female_OUD_vs_Control,GO_BP,immune response-regulating signaling pathway,1.143295039574256e-6,6.841275758864188e-5,30/287
Female_OUD_vs_Control,GO_BP,positive regulation of innate immune response,1.2916638634439149e-6,7.031190588349953e-5,23/287
Female_OUD_vs_Control,GO_BP,tumor necrosis factor superfamily cytokine production,1.3287942115199797e-6,7.031190588349953e-5,17/287
Female_OUD_vs_Control,GO_BP,regulation of tumor necrosis factor superfamily cytokine production,1.3287942115199797e-6,7.031190588349953e-5,17/287
DLPFC_OUD_vs_Control,DO,autoimmune disease,2.6645824466182556e-6,7.052261542049649e-5,20/136
Male_OUD_vs_Control,C8_CellType,FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE,6.369929627860507e-6,7.101793882976396e-5,9/118
DLPFC_OUD_vs_Control,C8_CellType,DESCARTES_FETAL_CEREBELLUM_MICROGLIA,4.525476652533301e-6,7.919796296261794e-5,36/286
Male_OUD_vs_Control,GO_BP,immune response,2.520151156755065e-7,7.941276311730405e-5,32/101
DLPFC_OUD_vs_Control,C7_Immunologic,GSE1432_CTRL_VS_IFNG_1H_MICROGLIA_DN,7.372885683279596e-7,8.302588585293144e-5,14/278
Pooled_OUD_vs_Control,C7_Immunologic,GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_DN,2.185744535278013e-6,8.404540277585134e-5,18/410
OUD_DLPFC_vs_NAC,C8_CellType,DESCARTES_FETAL_LUNG_VISCERAL_NEURONS,6.262021619848042e-7,8.516349402993336e-5,136/6250
Pooled_OUD_vs_Control,GO_BP,programmed cell death,1.8598883750215719e-6,9.551073831728425e-5,80/380
DLPFC_OUD_vs_Control,GO_BP,positive regulation of cytokine production,5.097324033708356e-7,9.908615578399377e-5,28/253
Pooled_OUD_vs_Control,GO_BP,regulation of programmed cell death,2.0448557731703973e-6,1.0142949374873619e-4,65/380
Pooled_OUD_vs_Control,GO_BP,cell death,2.1737157524750987e-6,1.0660976696127872e-4,80/380
NAC_OUD_vs_Control,C8_CellType,DESCARTES_FETAL_CEREBELLUM_MICROGLIA,2.7505050404500915e-6,1.1200201790909595e-4,60/581
Male_OUD_vs_Control,GO_BP,regulation of response to stress,3.9777384237157224e-7,1.128086616965779e-4,26/101
Female_OUD_vs_Control,DO,glucose metabolism disease,7.29834663591414e-6,1.175337906158673e-4,36/160
Pooled_OUD_vs_Control,GO_BP,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,2.843327511307231e-6,1.279497380088254e-4,25/380
Male_OUD_vs_Control,GO_BP,positive regulation of immune system process,5.859344333512576e-7,1.2900761386961914e-4,24/101
NAC_OUD_vs_Control,C7_Immunologic,GSE1432_CTRL_VS_IFNG_1H_MICROGLIA_DN,1.0194646684229895e-6,1.2998174522393116e-4,20/580
Female_OUD_vs_Control,GO_BP,immune effector process,2.9049208717118587e-6,1.3546829201070275e-4,33/287
Female_OUD_vs_Control,C7_Immunologic,GSE1432_CTRL_VS_IFNG_1H_MICROGLIA_DN,3.791496074142472e-6,1.4353893223069885e-4,14/319
NAC_OUD_vs_Control,GO_BP,immune response,9.656550603411691e-8,1.5147909046551807e-4,104/513
Pooled_OUD_vs_Control,WikiPathways,WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION,1.308865201433374e-6,1.5281001226734642e-4,24/254
Female_OUD_vs_Control,GO_BP,regulation of T-helper 1 type immune response,3.7603503806241786e-6,1.6452543762107293e-4,7/287
Male_OUD_vs_Control,Reactome,Immune System,1.9134409834710578e-6,1.6784502190968952e-4,33/75
DLPFC_OUD_vs_Control,C8_CellType,FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA,1.1404542175174239e-5,1.798204556922822e-4,23/286
OUD_DLPFC_vs_NAC,GO_CC,neuron projection,5.35154638760111e-7,1.8088226790091754e-4,609/5358
Male_OUD_vs_Control,KEGG,Cytokine-cytokine receptor interaction,2.186093589121974e-6,1.8363186148624583e-4,13/64
Female_OUD_vs_Control,GO_BP,regulation of immune effector process,4.419151328469091e-6,1.8730757037021593e-4,24/287
NAC_OUD_vs_Control,GO_MF,immune receptor activity,9.057244750696798e-7,1.9699507332765536e-4,21/528
Male_OUD_vs_Control,GO_MF,cytokine receptor binding,4.978198542463757e-7,2.0012358140704303e-4,11/99
DLPFC_OUD_vs_Control,C8_CellType,ZHONG_PFC_MAJOR_TYPES_MICROGLIA,1.3172811937017908e-5,2.0298105666586685e-4,25/286
DLPFC_OUD_vs_Control,GO_MF,immune receptor activity,3.257028689846223e-7,2.1952373369563545e-4,15/253
Pooled_OUD_vs_Control,GO_MF,cytokine activity,2.338732493568703e-6,2.3124217530160553e-4,19/376
Female_OUD_vs_Control,GO_BP,chemokine-mediated signaling pathway,5.944745767013765e-6,2.394967378809803e-4,9/287
Female_OUD_vs_Control,C8_CellType,DESCARTES_MAIN_FETAL_MICROGLIA,2.087225716834e-5,2.4534056671557543e-4,15/334
Female_OUD_vs_Control,C7_Immunologic,GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_DN,7.646612266613056e-6,2.5613439528520185e-4,15/319
Female_OUD_vs_Control,DO,disease of metabolism,2.047090010526804e-5,2.7761413651530164e-4,58/160
Female_OUD_vs_Control,GO_BP,positive regulation of T cell cytokine production,7.480183859811593e-6,2.8987493452927024e-4,6/287
Pooled_OUD_vs_Control,GO_BP,positive regulation of immune response,7.28242289927488e-6,2.9433125884569303e-4,41/380
Pooled_OUD_vs_Control,DO,autoimmune disease,2.92850209784781e-5,3.0063483561450303e-4,23/199
Male_OUD_vs_Control,KEGG,Fluid shear stress and atherosclerosis,9.24919730165494e-6,3.1077302933560597e-4,9/64
DLPFC_OUD_vs_Control,DO,glucose metabolism disease,2.5111520713077895e-5,3.215894749384492e-4,31/136
Male_OUD_vs_Control,GO_BP,regulation of immune system process,3.854566459482105e-6,3.5263066061584674e-4,28/101
Male_OUD_vs_Control,GO_BP,programmed cell death,4.460940425638206e-6,3.833705165790894e-4,30/101
DLPFC_OUD_vs_Control,GO_BP,cytokine-mediated signaling pathway,3.2193400418117796e-6,3.8647135047727355e-4,27/253
DLPFC_OUD_vs_Control,GO_BP,programmed cell death,3.453417313894707e-6,3.87358308708523e-4,58/253
Male_OUD_vs_Control,GO_BP,cell death,4.830659489450312e-6,3.9142143748803097e-4,30/101
DLPFC_OUD_vs_Control,GO_BP,cell death,3.909355667662088e-6,4.047686714363977e-4,58/253
Female_OUD_vs_Control,GO_BP,stress response to metal ion,1.1089845648773686e-5,4.0652776526901017e-4,5/287
Pooled_OUD_vs_Control,C7_Immunologic,GSE1432_1H_VS_6H_IFNG_MICROGLIA_DN,1.502047661733002e-5,4.3143152115318996e-4,15/410
Female_OUD_vs_Control,KEGG,Viral protein interaction with cytokine and cytokine receptor,5.823446948934989e-6,4.5617001099990746e-4,11/175
NAC_OUD_vs_Control,DO,immune system disease,8.168510360452688e-6,4.7844132111222884e-4,43/257
Female_OUD_vs_Control,GO_BP,response to chemokine,1.4143201737971265e-5,4.930119722288281e-4,9/287
Female_OUD_vs_Control,GO_BP,cellular response to chemokine,1.4143201737971265e-5,4.930119722288281e-4,9/287
DLPFC_OUD_vs_Control,GO_BP,stress response to metal ion,5.9611789892367894e-6,5.084332552725871e-4,5/253
DLPFC_OUD_vs_Control,GO_BP,regulation of cytokine production,6.043783123596875e-6,5.084332552725871e-4,34/253
NAC_OUD_vs_Control,GO_BP,response to cytokine,6.520650000216344e-7,5.114363150169687e-4,66/513
DLPFC_OUD_vs_Control,GO_BP,regulation of programmed cell death,6.210492980357732e-6,5.117953194833576e-4,47/253
OUD_DLPFC_vs_NAC,C8_CellType,DESCARTES_FETAL_CEREBRUM_ASTROCYTES,7.840877381972505e-6,5.323829358197958e-4,163/6250
Pooled_OUD_vs_Control,GO_MF,cytokine receptor binding,8.30897981288944e-6,5.477002526662956e-4,19/376
NAC_OUD_vs_Control,GO_BP,positive regulation of immune system process,8.354219971089186e-7,5.616422740563673e-4,71/513
DLPFC_OUD_vs_Control,GO_BP,cytokine production,7.231901526701311e-6,5.840483672963979e-4,34/253
Pooled_OUD_vs_Control,C8_CellType,DESCARTES_FETAL_EYE_MICROGLIA,6.588758398316716e-5,6.101019140259506e-4,18/435
Female_OUD_vs_Control,KEGG,Cytokine-cytokine receptor interaction,1.3278644727232223e-5,6.240963021799144e-4,21/175
Pooled_OUD_vs_Control,GO_BP,immune response-regulating signaling pathway,1.9108972123655944e-5,6.526763070369305e-4,33/380
Female_OUD_vs_Control,GO_BP,immune response-activating signaling pathway,2.086662904836514e-5,6.53874935777396e-4,26/287
Female_OUD_vs_Control,GO_BP,innate immune response-activating signaling pathway,2.317729819437181e-5,0.00071502520163089665,18/287
Pooled_OUD_vs_Control,GO_BP,regulation of immune effector process,2.2516923234719115e-5,7.176294262395825e-4,27/380
Pooled_OUD_vs_Control,DO,glucose metabolism disease,8.98916283928092e-5,7.755543683677475e-4,39/199
Pooled_OUD_vs_Control,C8_CellType,FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE,8.960151191480114e-5,8.086819999399141e-4,15/435
Female_OUD_vs_Control,C8_CellType,FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE,8.346108620792463e-5,8.441617810227683e-4,13/334
DLPFC_OUD_vs_Control,GO_MF,cytokine binding,2.537475081958077e-6,8.551291026198718e-4,13/253
Female_OUD_vs_Control,GO_BP,activation of immune response,2.8858512439160113e-5,8.698169415921666e-4,27/287
Male_OUD_vs_Control,WikiPathways,WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER,1.8741763668186822e-5,9.277173015752477e-4,6/75
NAC_OUD_vs_Control,GO_BP,cellular response to cytokine stimulus,1.5973080310336085e-6,9.396164492555203e-4,60/513
Male_OUD_vs_Control,Hallmark,HALLMARK_APOPTOSIS,1.2187962601535094e-4,9.750370081228075e-4,10/57
Female_OUD_vs_Control,GO_MF,C-C chemokine binding,1.3031646628999883e-5,9.97644947486769e-4,6/292
Female_OUD_vs_Control,GO_BP,negative regulation of immune response,3.513561448368445e-5,0.0010162255370214405,14/287
Female_OUD_vs_Control,GO_BP,regulation of adaptive immune response,3.521450005407302e-5,0.0010162255370214405,15/287
Female_OUD_vs_Control,GO_BP,activation of innate immune response,3.554244042994166e-5,0.0010184661275312156,18/287
Pooled_OUD_vs_Control,GO_MF,cytokine receptor activity,1.994893944961624e-5,0.0011271150789033176,13/376
Female_OUD_vs_Control,GO_BP,negative regulation of programmed cell death,4.222164391586089e-5,0.0011848266834043998,34/287
Female_OUD_vs_Control,DO,adult respiratory distress syndrome,1.454399373612867e-4,0.001208871737422308,7/160
Male_OUD_vs_Control,C7_Immunologic,GSE16450_CTRL_VS_IFNA_12H_STIM_IMMATURE_NEURON_CELL_LINE_DN,3.708510716551122e-5,0.0012622831341148855,8/110
Male_OUD_vs_Control,C7_Immunologic,GSE29949_MICROGLIA_BRAIN_VS_MONOCYTE_BONE_MARROW_DN,3.732821719561529e-5,0.0012622831341148855,7/110
Pooled_OUD_vs_Control,GO_BP,stress response to metal ion,4.3739655589495427e-5,0.0012813664204573661,5/380
Male_OUD_vs_Control,DO,glucose metabolism disease,1.4320320404070483e-4,0.0013267355668477067,17/61
OUD_DLPFC_vs_NAC,C8_CellType,ZHONG_PFC_C3_MICROGLIA,2.7968746349488543e-5,0.00134249982477545,221/6250
DLPFC_OUD_vs_Control,GO_BP,regulation of T-helper 1 type immune response,2.703157834866409e-5,0.0014132417871087846,6/253
DLPFC_OUD_vs_Control,GO_BP,positive regulation of immune system process,2.7645893559595993e-5,0.0014132417871087846,39/253
Pooled_OUD_vs_Control,GO_BP,immunoglobulin mediated immune response,5.055943573151921e-5,0.0014362102335359025,13/380
Male_OUD_vs_Control,GO_BP,positive regulation of T cell cytokine production,3.163518787308163e-5,0.001481807820101206,4/101
NAC_OUD_vs_Control,Reactome,Immune System,2.1803418980206103e-6,0.0016629969778203606,105/349
NAC_OUD_vs_Control,C8_CellType,DESCARTES_FETAL_CEREBRUM_MICROGLIA,1.0648436989933758e-4,0.001767640540329004,45/581
Control_DLPFC_vs_NAC,C8_CellType,DESCARTES_FETAL_CEREBRUM_ASTROCYTES,1.1035410662177437e-5,0.0018009790200673576,160/6081
Pooled_OUD_vs_Control,Hallmark,HALLMARK_COMPLEMENT,2.7124665925859005e-4,0.001821227569307676,18/151
Pooled_OUD_vs_Control,DO,disease of metabolism,2.5769268825210777e-4,0.0018971487559599216,65/199
Female_OUD_vs_Control,GO_BP,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,7.655470671875319e-5,0.0019347894511714703,14/287
Female_OUD_vs_Control,GO_BP,negative regulation of cytokine production,7.898368846922642e-5,0.0019716848366949837,18/287
Female_OUD_vs_Control,GO_BP,T cell cytokine production,8.199700493354517e-5,0.0020129173510514296,6/287
Female_OUD_vs_Control,GO_BP,regulation of T cell cytokine production,8.199700493354517e-5,0.0020129173510514296,6/287
Female_OUD_vs_Control,GO_BP,T-helper 1 type immune response,8.211950854621217e-5,0.0020129173510514296,7/287
Male_OUD_vs_Control,WikiPathways,WP_CYTOKINES_AND_INFLAMMATORY_RESPONSE,4.780389261105607e-5,0.0020282508722119503,4/75
Male_OUD_vs_Control,GO_MF,cytokine activity,1.5521371648683666e-5,0.0020798638009236112,9/99
NAC_OUD_vs_Control,DO,adult respiratory distress syndrome,7.10949445035236e-5,0.002114244018076766,9/257
OUD_DLPFC_vs_NAC,C8_CellType,DESCARTES_FETAL_INTESTINE_ENS_NEURONS,4.901313671747645e-5,0.0022219288645255993,107/6250
Female_OUD_vs_Control,C8_CellType,GAO_LARGE_INTESTINE_ADULT_CJ_IMMUNE_CELLS,2.589582534363099e-4,0.0022829214447674688,27/334
Pooled_OUD_vs_Control,GO_MF,C-C chemokine binding,5.524330985282992e-5,0.002299866215452024,6/376
NAC_OUD_vs_Control,GO_BP,regulation of cytokine production,5.133032486203366e-6,0.002415605088007304,56/513
OUD_DLPFC_vs_NAC,GO_CC,presynapse,1.09787418187674e-5,0.0024738764898289208,310/5358
NAC_OUD_vs_Control,KEGG,Cytokine-cytokine receptor interaction,1.271775199779033e-5,0.002511463830346278,28/278
NAC_OUD_vs_Control,KEGG,Viral protein interaction with cytokine and cytokine receptor,1.7875187404599845e-5,0.002511463830346278,13/278
Male_OUD_vs_Control,KEGG,Viral protein interaction with cytokine and cytokine receptor,1.2079518136532486e-4,0.0025366988086718218,6/64
Female_OUD_vs_Control,GO_MF,cytokine receptor activity,4.445953176540152e-5,0.002596709729139901,11/292
Pooled_OUD_vs_Control,GO_BP,immune response-regulating cell surface receptor signaling pathway,9.978438215143053e-5,0.002608136695155654,24/380
NAC_OUD_vs_Control,GO_BP,cytokine production,6.621716349075005e-6,0.002740941357084668,56/513
NAC_OUD_vs_Control,GO_BP,positive regulation of cytokine production,6.989225729922656e-6,0.002740941357084668,41/513
Male_OUD_vs_Control,WikiPathways,WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE,8.369501930451169e-5,0.0027619356370488855,5/75
Pooled_OUD_vs_Control,GO_BP,positive regulation of programmed cell death,1.0829132636925489e-4,0.002780539056481162,30/380
Female_OUD_vs_Control,GO_BP,regulation of cytokine production involved in immune response,1.2237947810934757e-4,0.002781911153223102,11/287
DLPFC_OUD_vs_Control,GO_BP,regulation of immune system process,8.502816532631224e-5,0.0028325852927532,49/253
DLPFC_OUD_vs_Control,GO_BP,stress response to copper ion,9.158062119895241e-5,0.002866686421716045,4/253
Pooled_OUD_vs_Control,GO_MF,complement receptor activity,8.004357337027984e-5,0.0028779302970859703,5/376
Male_OUD_vs_Control,WikiPathways,WP_COMPLEMENT_SYSTEM,9.823669785477226e-5,0.002917629926286736,7/75
Male_OUD_vs_Control,DO,autoimmune disease,4.0908380119043054e-4,0.0029623309741376004,10/61
DLPFC_OUD_vs_Control,DO,adult respiratory distress syndrome,4.6253428329841214e-4,0.0030351423218094153,6/136
Female_OUD_vs_Control,GO_BP,cytokine production involved in immune response,1.421727699171778e-4,0.0030981096233769667,11/287
Female_OUD_vs_Control,GO_BP,chemokine production,1.461632496534242e-4,0.0030981096233769667,10/287
Female_OUD_vs_Control,GO_BP,regulation of chemokine production,1.461632496534242e-4,0.0030981096233769667,10/287
