gene,coefficient,abs_coefficient,consistency_score,combined_score,effect_rank,consistency_rank,combined_rank,effect_percentile,consistency_percentile,combined_percentile,z_score,pval,fdr,significant_moderate_effect,significant_strong_effect,significant_high_consistency,significant_moderate_combined,significant_strong_combined,significant_fdr,significant,significant_lenient,contrast,biology,priority,biological_context,analysis_priority,contrast_description
AC061958.1,-0.015715237618976672,0.015715237618976672,0.5200458539611955,0.008172644167763829,41.0,1485.0,22.0,0.9974998437402338,0.9072442027626727,0.9986874179636227,-2.3214044749937823,0.02026502424978971,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
STARD13-AS,-0.01164835144292928,0.01164835144292928,0.698280947960097,0.00813382188774102,87.0,300.0,23.0,0.9946246640415026,0.9813113319582474,0.9986249140571286,-1.7239094509456079,0.08472419091562888,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
TRHDE,-0.016741650251587012,0.016741650251587012,0.4692261986143171,0.007855620906082598,33.0,2145.0,24.0,0.997999874992187,0.8659916244765298,0.9985624101506344,-2.472202017402729,0.013428360955451746,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
LINC01572,-0.014132346914255682,0.014132346914255682,0.5540684893107678,0.007830288105197336,53.0,1128.0,25.0,0.9967497968623039,0.9295580973810863,0.9984999062441403,-2.0888508015585217,0.03672115572514456,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
TESK2,0.011147113355565532,0.011147113355565532,0.7022401467422191,0.00782795051856449,97.0,292.0,26.0,0.993999624976561,0.9818113632102007,0.9984374023376461,1.625133575678614,0.10413410007634294,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
SELENOP,-0.013553637461020623,0.013553637461020623,0.5763393174430919,0.007811494163155746,61.0,946.0,27.0,0.9962497656103506,0.9409338083630227,0.9983748984311519,-2.0038285010294112,0.045088434663350885,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
RPS27A,0.010612603446937671,0.010612603446937671,0.729294918571128,0.007739717766662081,105.0,210.0,28.0,0.9934995937246078,0.9869366835427215,0.9983123945246578,1.546604942988927,0.12195853707027293,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
ABHD2,-0.016575115317232967,0.016575115317232967,0.464783894499118,0.007703846648915522,34.0,2202.0,29.0,0.9979373710856928,0.8624289018063629,0.9982498906181636,-2.4477351918513337,0.014375726753375284,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
RGS6,0.01631216798722928,0.01631216798722928,0.4692608269306999,0.007654661438719703,35.0,2142.0,30.0,0.9978748671791987,0.8661791361960123,0.9981873867116695,2.383968297813729,0.01712707773357658,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
SLC7A14-AS1,0.01937365306446216,0.01937365306446216,0.39358740565098205,0.007625225847623859,20.0,3520.0,31.0,0.998812425776611,0.7800487530470654,0.9981248828051753,2.8337527325534806,0.004600491388215833,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
TTC28,0.012150686835463364,0.012150686835463364,0.606933201522456,0.007374655261744539,81.0,718.0,32.0,0.9949996874804675,0.9551846990436902,0.9980623788986812,1.7725756565603676,0.0762990484763264,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
LINC00609,0.019437436881194394,0.019437436881194394,0.3772204553183491,0.0073321987905458205,19.0,3907.0,33.0,0.9988749296831052,0.7558597412338272,0.997999874992187,2.8431236643825466,0.0044673733044255926,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
TANC2,-0.015239280303484096,0.015239280303484096,0.47175528928544785,0.007189211088072168,43.0,2097.0,34.0,0.9973748359272454,0.8689918119882493,0.9979373710856928,-2.2514782180601465,0.02435526496743301,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
BACH2,-0.017710213267946317,0.017710213267946317,0.40577850675817073,0.007186423894235999,25.0,3261.0,35.0,0.9984999062441403,0.7962372648290519,0.9978748671791987,-2.614500463363718,0.00893580393104565,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
BCAT1,-0.01371085983404579,0.01371085983404579,0.5223474612955371,0.007161832826492767,58.0,1449.0,36.0,0.9964372773298331,0.9094943433964623,0.9978123632727045,-2.0269271523034145,0.042669863233038896,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
PDE4D,-0.017354281817380343,0.017354281817380343,0.411847829144072,0.007147323292842535,28.0,3126.0,37.0,0.9983123945246578,0.8046752922057628,0.9977498593662104,-2.562208055509287,0.010400899053302659,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
PLCG2,-0.017053188289705205,0.017053188289705205,0.41737758369406763,0.007117618522637128,29.0,3036.0,38.0,0.9982498906181636,0.8103006437902369,0.9976873554597162,-2.517972274921532,0.011803261167474766,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
IGF1R,-0.01967697806703228,0.01967697806703228,0.36094700979181915,0.007102346395034511,15.0,4283.0,39.0,0.9991249453090818,0.7323582723920246,0.9976248515532221,-2.9034517961667135,0.0036907378190493834,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
CASK,0.013935417452255036,0.013935417452255036,0.5068656848597104,0.007063384910743209,54.0,1648.0,40.0,0.9966872929558097,0.8970560660041252,0.9975623476467279,2.0347830596295764,0.04187270634772822,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
TPT1,0.010134126129123735,0.010134126129123735,0.6963279924002784,0.0070566757022239345,117.0,308.0,41.0,0.9927495468466779,0.9808113007062942,0.9974998437402338,1.4763084546835674,0.13986110548842534,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
ALDH1A1,0.0067109916222820075,0.0067109916222820075,1.0453828363376967,0.007015555456739686,298.0,5.0,42.0,0.9814363397712357,0.9997499843740234,0.9974373398337396,0.9733915433296908,0.3303587403032391,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
STARD13,-0.01297870775990401,0.01297870775990401,0.5379201265279677,0.0069815081203770816,69.0,1289.0,43.0,0.9957497343583974,0.9194949684355272,0.9973748359272454,-1.919361510628282,0.054938598443004416,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
DEPTOR,0.00955525003443507,0.00955525003443507,0.7267170327886052,0.006943962952577872,130.0,217.0,44.0,0.9919369960622539,0.9864991561972624,0.9973123320207513,1.3912616716794086,0.1641460919630029,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
ROR1,0.019218242401689272,0.019218242401689272,0.3600249564600628,0.006919046883907112,21.0,4314.0,45.0,0.9987499218701169,0.7304206512907057,0.9972498281142571,2.810920252451695,0.0049400028380044425,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
TNR,0.008510151554639701,0.008510151554639701,0.7851812189489278,0.006682011171112113,177.0,107.0,46.0,0.9889993124570285,0.9933745859116194,0.997187324207763,1.2377188592457105,0.21582032378085603,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
GABRB1,-0.01686573395301115,0.01686573395301115,0.3915693657052354,0.006604104746133828,31.0,3564.0,47.0,0.9981248828051753,0.7772985811613226,0.9971248203012688,-2.490432031953679,0.012758789672323578,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
PCDH9-AS2,-0.014459866845878251,0.014459866845878251,0.45138707308863846,0.006526996972812426,49.0,2417.0,48.0,0.9969998124882805,0.8489905619101193,0.9970623163947747,-2.136969072134581,0.03260050722867147,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
LINC01608,0.014390554304704794,0.014390554304704794,0.4498725728153254,0.006473915689296202,50.0,2439.0,49.0,0.9969373085817863,0.847615475967248,0.9969998124882805,2.101650435018966,0.03558390836464942,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
AL354809.1,0.014215031348127039,0.014215031348127039,0.45522958609595066,0.006471102836948835,51.0,2336.0,50.0,0.9968748046752922,0.854053378336146,0.9969373085817863,2.0758631155264493,0.037906612926228656,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
DAAM2,0.013206795079107584,0.013206795079107584,0.4894857158686948,0.0064645375436281315,68.0,1857.0,51.0,0.9958122382648915,0.8839927495468467,0.9968748046752922,1.9277359913025034,0.053887972938538864,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
RPS18,0.008944368657012864,0.008944368657012864,0.7218239960784478,0.006456259926403845,155.0,238.0,52.0,0.9903743983999,0.9851865741608851,0.996812300768798,1.301512766130199,0.19308299765250614,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
AC053513.1,0.009755231836048992,0.009755231836048992,0.6565211261416821,0.0064045157907760735,126.0,447.0,53.0,0.9921870116882305,0.9721232577036065,0.9967497968623039,1.4206424131587871,0.155420741719275,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
PBX3,-0.015816025857446837,0.015816025857446837,0.4003802713116941,0.0063324247238773345,40.0,3375.0,54.0,0.9975623476467279,0.7891118194887181,0.9966872929558097,-2.336211988251267,0.019480195805500644,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
ADAMTSL3,0.012280040165518159,0.012280040165518159,0.5141912226142072,0.006314288866459354,80.0,1551.0,55.0,0.9950621913869617,0.9031189449340584,0.9966247890493156,1.7915798695395755,0.07320029011652762,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
CNTN5,-0.019499061220402857,0.019499061220402857,0.323378501884484,0.006305577205607715,18.0,5216.0,56.0,0.9989374335895993,0.6740421276329771,0.9965622851428214,-2.8773127733483417,0.0040107783753950965,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
LDLRAD3,-0.0196284130914963,0.0196284130914963,0.3199401834789337,0.006279918085893631,16.0,5315.0,57.0,0.9990624414025877,0.6678542408900556,0.9964997812363273,-2.8963167719812146,0.003775710589111414,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
RPS23,0.0091576807360446,0.0091576807360446,0.6841907213774517,0.006265600188938748,144.0,337.0,58.0,0.9910619413713357,0.9789986874179636,0.9964372773298331,1.332851952985609,0.1825803925841254,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
AC004158.1,-0.013778297773084815,0.013778297773084815,0.4540873939604258,0.0062565513289908215,57.0,2364.0,59.0,0.9964997812363273,0.8523032689543096,0.9963747734233389,-2.036834937095917,0.04166658592995054,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
PWRN1,0.016771252866365747,0.016771252866365747,0.3705945003863156,0.006215334076863377,32.0,4053.0,60.0,0.9980623788986812,0.7467341708856803,0.9963122695168448,2.4514157057385777,0.014229551072100888,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
RFX4,0.010607489987586649,0.010607489987586649,0.5781672363133036,0.006132903170344012,106.0,929.0,61.0,0.9934370898181136,0.9419963747734234,0.9962497656103506,1.545853688494542,0.12213990733441626,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
ROBO2,0.01617673422746436,0.01617673422746436,0.37839720153310213,0.006121230961617263,36.0,3881.0,62.0,0.9978123632727045,0.7574848428026751,0.9961872617038565,2.364070765882722,0.018075359548881176,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
DCC,0.018600684299381384,0.018600684299381384,0.32846770058546826,0.006109724001134025,22.0,5079.0,63.0,0.9986874179636227,0.6826051628226764,0.9961247577973623,2.72019042200726,0.006524433235376881,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
USP9Y,-0.011213816591891773,0.011213816591891773,0.541361604167163,0.006070729739022878,96.0,1256.0,64.0,0.9940621288830552,0.9215575973498343,0.9960622538908682,-1.6600688613565573,0.09690060029763292,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
LINC01170,-0.013784819966732404,0.013784819966732404,0.43945285405417306,0.006057778477003506,56.0,2627.0,65.0,0.9965622851428214,0.8358647415463467,0.995999749984374,-2.037793158713543,0.04157062284479829,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
GFAP,0.01204158743499642,0.01204158743499642,0.49463655936572154,0.005956209378148133,84.0,1788.0,66.0,0.994812175760985,0.8883055190949434,0.9959372460778799,1.756547091686936,0.07899503794535812,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
DYSF,0.01414320838008484,0.01414320838008484,0.4198647114013381,0.005938234104793307,52.0,2992.0,67.0,0.996812300768798,0.8130508156759797,0.9958747421713857,2.065311095096093,0.038893574443030765,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
CPQ,0.013581112944311736,0.013581112944311736,0.436432738177333,0.005927242309781592,60.0,2679.0,68.0,0.9963122695168448,0.8326145384086505,0.9958122382648915,1.9827296774275438,0.047397632746779994,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
PREX2,-0.01253903651306882,0.01253903651306882,0.4704660538809861,0.0058991910277730875,74.0,2126.0,69.0,0.9954372148259266,0.8671791986999188,0.9957497343583974,-1.8547662967891765,0.06362960684318719,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
