gene,coefficient,abs_coefficient,consistency_score,combined_score,effect_rank,consistency_rank,combined_rank,effect_percentile,consistency_percentile,combined_percentile,z_score,pval,fdr,significant_moderate_effect,significant_strong_effect,significant_high_consistency,significant_moderate_combined,significant_strong_combined,significant_fdr,significant,significant_lenient,contrast,biology,priority,biological_context,analysis_priority,contrast_description
SYNDIG1,-0.011125772943102045,0.011125772943102045,0.4782674726484447,0.0053210953067578635,48.0,1911.0,42.0,0.9970623163947747,0.8806175385961623,0.9974373398337396,-1.7405834079868767,0.08175662808410644,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
DAB2IP,0.008329958683541307,0.008329958683541307,0.6333175549611852,0.005275509066388074,94.0,579.0,43.0,0.9941871366960435,0.9638727420463779,0.9973748359272454,1.3485224845785675,0.17749039336441497,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
CNTN1,-0.01259105164958889,0.01259105164958889,0.4185047402744805,0.005269414800393768,31.0,2854.0,44.0,0.9981248828051753,0.8216763547721733,0.9973123320207513,-1.9732346993040624,0.04846882883016157,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
SGCD,-0.012984119449391467,0.012984119449391467,0.40158583651365887,0.00521423847047714,29.0,3173.0,45.0,0.9982498906181636,0.8017376086005376,0.9972498281142571,-2.03564448577979,0.04178606730756629,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
RETREG1,-0.009109582529142875,0.009109582529142875,0.5692034898222131,0.005185206166411587,73.0,942.0,46.0,0.9954997187324208,0.9411838239889994,0.997187324207763,-1.4204604844281405,0.1554736648480355,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
ARHGEF4,-0.0109054135960437,0.0109054135960437,0.4697571051127405,0.005122895520934609,50.0,2036.0,47.0,0.9969373085817863,0.8728045502843927,0.9971248203012688,-1.7055956023086973,0.08808339873836823,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
NEGR1,-0.009024246331334052,0.009024246331334052,0.5658191359876432,0.005106091262135092,77.0,977.0,48.0,0.9952497031064441,0.9389961872617039,0.9970623163947747,-1.4069111326710797,0.1594537420155102,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
UBA6-AS1,0.007748450453357245,0.007748450453357245,0.6450447627934436,0.0049980973847025744,119.0,523.0,49.0,0.9926245390336896,0.9673729608100506,0.9969998124882805,1.2561928546829269,0.20904605674364607,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
LRP1B,-0.014602442429244479,0.014602442429244479,0.3374069709447081,0.004926965868445865,20.0,4542.0,50.0,0.998812425776611,0.7161697606100381,0.9969373085817863,-2.2925955554734103,0.021871300504790137,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
AC096719.1,0.00963583366536283,0.00963583366536283,0.4952821455873115,0.004772456372303351,59.0,1688.0,51.0,0.9963747734233389,0.8945559097443591,0.9968748046752922,1.555864268414359,0.11974037164781226,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
JAZF1,-0.009344165210117371,0.009344165210117371,0.5098803481506105,0.004764406210511467,64.0,1510.0,52.0,0.9960622538908682,0.9056816051003188,0.996812300768798,-1.457706616107905,0.14492142753775683,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
RASGRF2,0.014009601193756034,0.014009601193756034,0.3379991341425161,0.004735233073171499,22.0,4536.0,53.0,0.9986874179636227,0.7165447840490031,0.9967497968623039,2.250314176747201,0.024429008636699612,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
ADAMTS18,-0.011971002999931825,0.011971002999931825,0.3949644454453865,0.0047281205612931315,37.0,3303.0,54.0,0.9977498593662104,0.7936121007562973,0.9966872929558097,-1.8747857705210462,0.06082220154632867,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
NEAT1,-0.011398912094860013,0.011398912094860013,0.41373022228616657,0.004716074434826906,46.0,2945.0,55.0,0.997187324207763,0.8159884992812051,0.9966247890493156,-1.7839513871190722,0.07443156476271984,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
RBMS3,0.007594688626282479,0.007594688626282479,0.6200357067784367,0.004708978130159211,126.0,636.0,56.0,0.9921870116882305,0.960310019376211,0.9965622851428214,1.2317791459012009,0.2180315953982883,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
PLCB1,0.007577263526684502,0.007577263526684502,0.6132840220051387,0.004647014651437913,130.0,678.0,57.0,0.9919369960622539,0.9576848553034565,0.9964997812363273,1.2290124559159765,0.2190671359393659,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
PLA2G4C,-0.008067763012872901,0.008067763012872901,0.5672148442057036,0.00457615494043524,108.0,960.0,58.0,0.9933120820051253,0.9400587536721046,0.9964372773298331,-1.2550444071271967,0.2094626398445636,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
MT-CO1,-0.01371997080556209,0.01371997080556209,0.3290119445650868,0.004514034274114204,25.0,4759.0,59.0,0.9984999062441403,0.7026064129008063,0.9963747734233389,-2.1524801208522875,0.03135955932377832,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
AL139294.1,0.008644307641237399,0.008644307641237399,0.5181138279800219,0.004478735322238463,88.0,1414.0,60.0,0.9945621601350084,0.9116819801237577,0.9963122695168448,1.398433597466813,0.16198289993787274,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
LINC00499,0.012439255302666985,0.012439255302666985,0.35842957689257976,0.004458597014993707,33.0,4103.0,61.0,0.997999874992187,0.7436089755609725,0.9962497656103506,2.000980723828574,0.04539446724976326,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
MAL,-0.009254612812675023,0.009254612812675023,0.4773679741664066,0.004417855770081146,68.0,1928.0,62.0,0.9958122382648915,0.8795549721857616,0.9961872617038565,-1.443487832464031,0.14888309763430652,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
ABTB2,0.00990157915227673,0.00990157915227673,0.4392966260414421,0.00434973031407745,54.0,2510.0,63.0,0.9966872929558097,0.8431776986061629,0.9961247577973623,1.5980583100110375,0.11003000067266178,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
NKX6-2,-0.009702224073467828,0.009702224073467828,0.4430005506211849,0.004298090606796363,58.0,2441.0,64.0,0.9964372773298331,0.8474904681542597,0.9960622538908682,-1.5145578189249955,0.12988442110630238,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
RAD51B,0.008996006440485513,0.008996006440485513,0.4702034235225093,0.004229953026346832,78.0,2030.0,65.0,0.99518719919995,0.8731795737233577,0.995999749984374,1.4542749738804215,0.1458700859685449,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
ARL17B,0.015142566661987792,0.015142566661987792,0.27688939307522775,0.0041928160926389775,16.0,6139.0,66.0,0.9990624414025877,0.6163510219388713,0.9959372460778799,2.4302020561212703,0.015090407472350575,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
