gene,effect_size_lemur,abs_coefficient,consistency_score,combined_score,effect_rank,consistency_rank,combined_rank,effect_percentile,consistency_percentile,combined_percentile,z_score,pvalue,padj_lemur,significant_moderate_effect,significant_strong_effect,significant_high_consistency,significant_moderate_combined,significant_strong_combined,significant_fdr,significant,significant_lenient,contrast,biology,priority,biological_context,analysis_priority,contrast_description,effect_size_deseq2,padj_deseq2
PCDH7,0.0161969395052441,0.0161969395052441,0.5167219292460923,0.008369313829032,95.0,936.0,64.0,0.9941246327895492,0.9415588474279644,0.9960622538908682,1.3879369969910476,0.1651562307682748,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,1.1182068444140385,0.0211115455535185
MAPK10,-0.0151355939071038,0.0151355939071038,0.4998767770841129,0.007565931901537,113.0,1058.0,78.0,0.9929995624726544,0.9339333708356772,0.99518719919995,-1.2898888103268444,0.1970892664224455,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,0.7114800570383975,0.0189957702201931
BCAT1,-0.0196446834313941,0.0196446834313941,0.3623331189503054,0.0071179194184884,56.0,2999.0,87.0,0.9965622851428214,0.8126132883305206,0.9946246640415026,-1.6752568281869191,0.0938838519583558,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,-1.20356718005992,0.0213396257345115
UTY,0.0107305695560026,0.0107305695560026,0.6619918243044525,0.0071035493162039,253.0,250.0,88.0,0.9842490155634728,0.9844365272829552,0.9945621601350084,0.9207552874948964,0.3571782038115705,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,8.718491847547256,1.84886461974601e-111
PDE4D,-0.0171108945713267,0.0171108945713267,0.4079407790915725,0.0069802316623808,81.0,2189.0,93.0,0.9949996874804676,0.8632414525907869,0.9942496406025376,-1.458707304071229,0.1446456849076951,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,0.6709406720547298,0.0466551730582024
SLAIN1,-0.0134341790746459,0.0134341790746459,0.4610035580329298,0.0061932043526633,150.0,1471.0,120.0,0.9906869179323708,0.9081192574535908,0.9925620351271954,-1.1444778891175886,0.2524255025171116,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,-0.8753869781443476,0.0185354481836792
BARD1,-0.0093661939170566,0.0093661939170566,0.6588661045738174,0.0061710677008141,331.0,259.0,121.0,0.9793737108569286,0.9838739921245078,0.9924995312207012,-0.7968087269908606,0.4255621259256497,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,-0.8823497950554141,0.0146759777901738
SHMT1,-0.0082305993051804,0.0082305993051804,0.7464872897858444,0.0061440377686373,407.0,116.0,123.0,0.9746234139633728,0.992812050753172,0.9923745234077128,-0.6997554655033968,0.4840800312325062,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,-1.4935168705317508,0.0020663683314033
SOX5,-0.0134058162243223,0.0134058162243223,0.4476844604747652,0.0060015756036096,151.0,1648.0,132.0,0.9906244140258766,0.8970560660041252,0.9918119882492656,-1.1420538664071982,0.253431629939469,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,1.538937599017799,0.0005484761052562
SPP1,-0.0173958588053621,0.0173958588053621,0.3384803031991297,0.0058881555628482,77.0,3497.0,133.0,0.995249703106444,0.781486342896431,0.9917494843427714,-1.4830616890173849,0.1380580215420699,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,-2.1534804205731413,0.0010982330166725
AC064829.1,-0.0159345725612265,0.0159345725612265,0.3596678660304948,0.0057311537092044,101.0,3040.0,143.0,0.9937496093505844,0.8100506281642603,0.9911244452778298,-1.3581732874021195,0.1744087046514839,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,10.345139648989765,1.7423729448688945e-103
SLC4A4,-0.0116024738985434,0.0116024738985434,0.4887826382078987,0.0056710878018683,207.0,1159.0,146.0,0.987124195262204,0.9276204762797676,0.9909369335583474,-0.987931741782053,0.3231860786822702,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,1.7990531943424255,2.396983949489875e-05
ETV1,-0.0059044821343734,0.0059044821343734,0.9319551292638792,0.0055027124107762,671.0,25.0,156.0,0.9581223826489156,0.9984999062441404,0.9903118944934058,-0.5009545415928698,0.6164031159249832,0.999999113285704,True,False,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,1.0799738405072885,0.0372049666522531
AL355612.1,-0.0103669572145998,0.0103669572145998,0.5039109698341582,0.0052240234642382,268.0,1030.0,177.0,0.9833114569660604,0.9356834802175136,0.9889993124570284,-0.8823386696198109,0.3775936908107309,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,1.3402114814568902,0.0073505612653038
HPSE2,-0.0146446641018477,0.0146446641018477,0.3526211573324616,0.0051640184043387,121.0,3195.0,179.0,0.9924995312207012,0.800362522657666,0.9888743046440402,-1.2479316380549597,0.2120560932149193,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,2.793125475310959,8.528826008946304e-08
SYNE1,0.0151087558851778,0.0151087558851778,0.3307652483180929,0.0049974513921383,114.0,3669.0,192.0,0.9929370585661604,0.7707356709794362,0.9880617538596164,1.2949357020569547,0.1953424111336614,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,0.9461736220373193,0.0315671799586096
SLC14A1,-0.0101059674334997,0.0101059674334997,0.4907156545870688,0.0049591564243654,284.0,1137.0,197.0,0.982311394462154,0.9289955622226388,0.9877492343271456,-0.8600332542843013,0.3897707117906395,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,2.143892103247706,0.0019357382836367
NRG1,0.0161485861652873,0.0161485861652873,0.3041886686448491,0.0049122169261154,96.0,4312.0,200.0,0.9940621288830552,0.730545659103694,0.987561722607663,1.3838044929288245,0.1664183269504349,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,2.249276897821417,0.0374991366810508
CD44,0.0100205734068222,0.0100205734068222,0.4785420910653905,0.0047952661517749,287.0,1258.0,207.0,0.9821238827426714,0.921432589536846,0.987124195262204,0.8600756741884843,0.3897473294866391,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,-3.684192747508352,3.3117625192586864e-05
HILPDA,0.0076023964114504,0.0076023964114504,0.630255901775847,0.0047914552059561,466.0,342.0,208.0,0.9709356834802176,0.9786861678854928,0.9870616913557098,0.6534068842872817,0.5134940018012246,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,-4.12934233641623,3.963306031760092e-06
AC002429.2,-0.0105469272327884,0.0105469272327884,0.4251131690661495,0.0044836376598407,261.0,1954.0,229.0,0.9837489843115196,0.8779298706169135,0.9857491093193324,-0.8977197546060295,0.3693349749873011,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,2.594911018524982,3.9469907277222424e-05
TLL2,-0.0098784819787751,0.0098784819787751,0.4405848651907677,0.004352309650908,296.0,1732.0,236.0,0.981561347584224,0.8918057378586162,0.9853115819738734,-0.8405912764067381,0.4005769474930507,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,-1.648804656924315,0.0331069527600223
TSIX,-0.0058854901272813,0.0058854901272813,0.65624937597883,0.0038623492233579,673.0,266.0,288.0,0.9579973748359272,0.9834364647790488,0.9820613788361772,-0.499331395259487,0.6175459412108346,0.999999113285704,True,False,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,-7.658169812378471,1.393770085206517e-24
TENM2,-0.0101099289259966,0.0101099289259966,0.3772576404836031,0.0038140479320784,283.0,2685.0,293.0,0.982373898368648,0.8322395149696856,0.9817488593037064,-0.8603718220823163,0.3895841133737088,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,2.240566478612182,2.586675377982648e-07
PCDH11Y,0.0066700771848389,0.0066700771848389,0.569246514681033,0.003796918190123,564.0,615.0,295.0,0.9648103006437904,0.9616226014125884,0.9816238514907182,0.5737264941693483,0.5661528968042333,0.999999113285704,True,False,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,3.2833465714182637,1.2936494365070233e-17
AL354809.1,0.0118284210983919,0.0118284210983919,0.3071537677011528,0.0036331441063269,203.0,4227.0,323.0,0.9873742108881806,0.7358584911556972,0.9798737421088818,1.0145828485836974,0.3103047185364684,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,1.6638847147371845,0.0103620036606822
EPHA4,0.008385245378857,0.008385245378857,0.4286428534515079,0.0035942755060843,395.0,1895.0,331.0,0.9753734608413026,0.8816176011000687,0.9793737108569286,0.720312842403242,0.471332399396934,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,2.651669940992164,1.2278342594473876e-12
EPHA6,0.0081007328958762,0.0081007328958762,0.4348811493131503,0.0035228560320374,415.0,1806.0,344.0,0.9741233827114196,0.8871804487780486,0.9785611600725044,0.6959970662288862,0.4864306670356713,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,2.7916508102317854,4.131329994845976e-19
DEPTOR,0.009484187219269,0.009484187219269,0.3681208329670948,0.0034913268991731,323.0,2879.0,346.0,0.9798737421088818,0.8201137571098194,0.9784361522595162,0.814233585493773,0.4155111486134919,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,1.0382546399545682,0.003353484953014
PDK1,0.0088737941488943,0.0088737941488943,0.3814247144983336,0.003384684399759,364.0,2615.0,361.0,0.9773110819426214,0.8366147884242765,0.977498593662104,0.7620665201962972,0.4460203035360317,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,-2.042186702594172,0.0096964795888344
VEGFA,0.0084521512368748,0.0084521512368748,0.3982802016187249,0.0033663244987344,392.0,2336.0,363.0,0.975560972560785,0.854053378336146,0.9773735858491156,0.7260309319973083,0.4678198082950022,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,-3.1545493251957115,0.0115810252960403
RORA,0.009268168413941,0.009268168413941,0.363010145816253,0.0033644391673943,334.0,2982.0,364.0,0.979186199137446,0.8136758547409213,0.9773110819426214,0.7957716014543597,0.4261648008031833,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,1.1586369269329668,0.0031375511620823
NRXN1,0.0132510447261896,0.0132510447261896,0.2529861744000416,0.0033523311120825,156.0,5770.0,369.0,0.9903118944934058,0.6394149634352146,0.9769985624101506,1.1361669609975191,0.2558866950242242,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,1.9335087488029572,1.9182210693561055e-05
SLC39A14,0.0058076603738347,0.0058076603738347,0.5591577587527996,0.0032473983582308,681.0,655.0,384.0,0.957497343583974,0.959122445152822,0.9760610038127384,0.5000202935637603,0.617060788204157,0.999999113285704,True,False,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,-2.524599073750862,0.0053958402904549
PDE8B,0.0111077715730402,0.0111077715730402,0.2753364262418143,0.0030583741284313,234.0,5093.0,416.0,0.9854365897868615,0.6817301081317582,0.9740608788049252,0.9529927475975536,0.340593745288293,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,-1.5726982521213946,0.0335749266270059
PRIMA1,-0.0082781767435237,0.0082781767435237,0.3580765097563987,0.0029642206354675,401.0,3069.0,432.0,0.9749984374023376,0.8082380148759297,0.9730608163010188,-0.703821657361082,0.4815438446555953,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,-1.1812534268692516,0.0176371252455665
ZRANB2-AS2,-0.0067756839247824,0.0067756839247824,0.4289198673925579,0.0029062254505115,555.0,1892.0,442.0,0.9653728358022376,0.8818051128195512,0.9724357772360772,-0.5754115478948029,0.565012996010045,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,0.8038772950854591,0.029972348151833
ABCD2,-0.0044993498173028,0.0044993498173028,0.6430083010078905,0.002893119281664,967.0,309.0,448.0,0.9396212263266456,0.9807487967998,0.9720607537971124,-0.380865318936359,0.7033031878663614,0.999999113285704,True,False,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,2.195071745281171,7.703997539077495e-11
A2M,0.0054725921739799,0.0054725921739799,0.524673565813915,0.0028713244501673,735.0,879.0,453.0,0.9541221326332896,0.9451215700981312,0.9717482342646416,0.4713837878278705,0.637366691195701,0.999999113285704,True,False,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,1.0622092845074598,0.00143281009175
CNTNAP4,0.0165700854804301,0.0165700854804301,0.1726665128499162,0.0028610988775309,90.0,8722.0,455.0,0.99443715232202,0.4549034314644665,0.9716232264516532,1.4198278086627314,0.1556578169464204,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,1.155729860099681,0.0001162878332317
