gene,effect_size_lemur,abs_coefficient,consistency_score,combined_score,effect_rank,consistency_rank,combined_rank,effect_percentile,consistency_percentile,combined_percentile,z_score,pvalue,padj_lemur,significant_moderate_effect,significant_strong_effect,significant_high_consistency,significant_moderate_combined,significant_strong_combined,significant_fdr,significant,significant_lenient,contrast,biology,priority,biological_context,analysis_priority,contrast_description,effect_size_deseq2,padj_deseq2
KIF19,-0.0057161308543725,0.0057161308543725,0.345520225254145,0.0019750388203849,454.0,2128.0,386.0,0.9716857303581474,0.8670541908869305,0.97593599599975,-0.5468381935941711,0.5844899008365101,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,-2.4124898973295283,5.133675331259104e-07
PARM1,0.0051260173925661,0.0051260173925661,0.3722042665028158,0.0019079255436807,540.0,1681.0,406.0,0.96631039439965,0.8949934370898182,0.9746859178698668,0.4984506909238264,0.6181664156782614,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,1.1746048029744542,0.0191253048857622
PDE8B,-0.0087980448690694,0.0087980448690694,0.2145885452030929,0.0018879596490851,200.0,5764.0,414.0,0.987561722607663,0.6397899868741797,0.9741858866179136,-0.8439647767427169,0.3986890887375398,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,-1.515696659727056,0.0249847279780114
NR2F1-AS1,-0.0051653468222674,0.0051653468222674,0.3647217592649709,0.0018839143802311,527.0,1809.0,416.0,0.967122945184074,0.8869929370585662,0.9740608788049252,-0.4937372385604638,0.6214917624600178,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,1.3258704710199185,0.0009266256532025
USP9Y,0.0046846172367869,0.0046846172367869,0.4020352952214698,0.0018833814737912,632.0,1286.0,417.0,0.9605600350021876,0.9196824801550096,0.9739983748984312,0.4558954088937385,0.6484651911346608,0.999997377522206,True,False,True,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,6.441277409656677,4.69440858366431e-40
C1orf61,0.0061520373821639,0.0061520373821639,0.2985794859246959,0.001836872158956,409.0,3140.0,431.0,0.9744984061503844,0.8038002375148446,0.973123320207513,0.5973690294295517,0.5502610264001802,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,1.4075584232076297,0.0112506741332881
AL390957.1,-0.0037864058167786,0.0037864058167786,0.4847641316901979,0.0018355137279973,843.0,615.0,432.0,0.9473717107319208,0.9616226014125884,0.9730608163010188,-0.3607938704552981,0.7182535452871504,0.999997377522206,True,False,True,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,-1.1696720892657932,0.0043449029275371
ABCA1,-0.006418194555486,0.006418194555486,0.2841070552775813,0.0018234543553577,381.0,3522.0,435.0,0.9762485155322208,0.7799237452340771,0.9728733045815364,-0.614523984849117,0.5388691286349794,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,0.6380424358303665,0.03706639646132
ETV1,0.005169297297351,0.005169297297351,0.3498608053864527,0.0018085345157332,526.0,2054.0,439.0,0.967185449090568,0.871679479967498,0.9726232889555596,0.5026232960537562,0.615229147275107,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,1.1980391294933834,0.0082484970970241
COL4A2,-0.004784833647522,0.004784833647522,0.3675007283430508,0.0017584298504646,607.0,1766.0,454.0,0.9621226326645416,0.8896806050378149,0.9716857303581474,-0.4570520556137756,0.6476336300091194,0.999997377522206,True,False,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,-1.921424261151601,0.0009244275483716
CDH8,-0.0045165643214929,0.0045165643214929,0.3865751930587385,0.0017459917245433,664.0,1484.0,457.0,0.9585599099943748,0.9073067066691668,0.9714982186386648,-0.4311882749156549,0.6663314786929582,0.999997377522206,True,False,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,1.7591970687689964,0.0034527367629687
LDHA,-0.0047584152845691,0.0047584152845691,0.3657901694271484,0.0017405815331472,617.0,1790.0,460.0,0.9614975935996,0.8881805112819551,0.9713107069191824,-0.454505067644894,0.6494653453213646,0.999997377522206,True,False,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,-2.254855337586862,0.0109504574210711
AF165147.1,-0.0085411962947763,0.0085411962947763,0.2024481364406518,0.0017291492728512,211.0,6170.0,463.0,0.9868741796362271,0.6144134008375524,0.9711231951997,-0.8192020679512498,0.4126711352615229,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,-1.2035281122119312,0.0240636637451256
