gene,effect_size,abs_coefficient,consistency_score,combined_score,effect_rank,consistency_rank,combined_rank,effect_percentile,consistency_percentile,combined_percentile,z_score,pvalue,padj,significant_moderate_effect,significant_strong_effect,significant_high_consistency,significant_moderate_combined,significant_strong_combined,significant_fdr,significant,significant_lenient,contrast,biology,priority,biological_context,analysis_priority,contrast_description
SYNDIG1,-0.011125772943102,0.011125772943102,0.4782674726484447,0.0053210953067578,48.0,1911.0,42.0,0.9970623163947748,0.8806175385961623,0.9974373398337396,-1.7405834079868767,0.0817566280841064,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
DAB2IP,0.0083299586835413,0.0083299586835413,0.6333175549611852,0.005275509066388,94.0,579.0,43.0,0.9941871366960436,0.963872742046378,0.9973748359272454,1.3485224845785675,0.1774903933644149,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
CNTN1,-0.0125910516495888,0.0125910516495888,0.4185047402744805,0.0052694148003937,31.0,2854.0,44.0,0.9981248828051752,0.8216763547721733,0.9973123320207512,-1.9732346993040624,0.0484688288301615,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
RETREG1,-0.0091095825291428,0.0091095825291428,0.5692034898222131,0.0051852061664115,73.0,942.0,46.0,0.9954997187324208,0.9411838239889994,0.997187324207763,-1.4204604844281403,0.1554736648480355,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
ARHGEF4,-0.0109054135960437,0.0109054135960437,0.4697571051127405,0.0051228955209346,50.0,2036.0,47.0,0.9969373085817864,0.8728045502843927,0.9971248203012688,-1.7055956023086971,0.0880833987383682,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
NEGR1,-0.009024246331334,0.009024246331334,0.5658191359876432,0.005106091262135,77.0,977.0,48.0,0.995249703106444,0.938996187261704,0.9970623163947748,-1.4069111326710797,0.1594537420155102,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
UBA6-AS1,0.0077484504533572,0.0077484504533572,0.6450447627934436,0.0049980973847025,119.0,523.0,49.0,0.9926245390336896,0.9673729608100506,0.9969998124882804,1.2561928546829269,0.209046056743646,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
LRP1B,-0.0146024424292444,0.0146024424292444,0.3374069709447081,0.0049269658684458,20.0,4542.0,50.0,0.998812425776611,0.7161697606100381,0.9969373085817864,-2.2925955554734103,0.0218713005047901,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
AC096719.1,0.0096358336653628,0.0096358336653628,0.4952821455873115,0.0047724563723033,59.0,1688.0,51.0,0.9963747734233388,0.8945559097443591,0.9968748046752922,1.555864268414359,0.1197403716478122,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
JAZF1,-0.0093441652101173,0.0093441652101173,0.5098803481506105,0.0047644062105114,64.0,1510.0,52.0,0.9960622538908682,0.9056816051003188,0.996812300768798,-1.457706616107905,0.1449214275377568,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
RASGRF2,0.014009601193756,0.014009601193756,0.3379991341425161,0.0047352330731714,22.0,4536.0,53.0,0.9986874179636228,0.7165447840490031,0.996749796862304,2.250314176747201,0.0244290086366996,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
ADAMTS18,-0.0119710029999318,0.0119710029999318,0.3949644454453865,0.0047281205612931,37.0,3303.0,54.0,0.9977498593662104,0.7936121007562973,0.9966872929558096,-1.8747857705210464,0.0608222015463286,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
NEAT1,-0.01139891209486,0.01139891209486,0.4137302222861665,0.0047160744348269,46.0,2945.0,55.0,0.997187324207763,0.8159884992812051,0.9966247890493156,-1.7839513871190722,0.0744315647627198,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
RBMS3,0.0075946886262824,0.0075946886262824,0.6200357067784367,0.0047089781301592,126.0,636.0,56.0,0.9921870116882304,0.960310019376211,0.9965622851428214,1.2317791459012009,0.2180315953982883,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
PLCB1,0.0075772635266845,0.0075772635266845,0.6132840220051387,0.0046470146514379,130.0,678.0,57.0,0.991936996062254,0.9576848553034564,0.9964997812363272,1.2290124559159763,0.2190671359393659,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
PLA2G4C,-0.0080677630128729,0.0080677630128729,0.5672148442057036,0.0045761549404352,108.0,960.0,58.0,0.9933120820051252,0.9400587536721046,0.9964372773298332,-1.255044407127197,0.2094626398445636,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
MT-CO1,-0.013719970805562,0.013719970805562,0.3290119445650868,0.0045140342741142,25.0,4759.0,59.0,0.9984999062441404,0.7026064129008063,0.9963747734233388,-2.1524801208522875,0.0313595593237783,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
AL139294.1,0.0086443076412373,0.0086443076412373,0.5181138279800219,0.0044787353222384,88.0,1414.0,60.0,0.9945621601350084,0.9116819801237576,0.9963122695168448,1.398433597466813,0.1619828999378727,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
LINC00499,0.0124392553026669,0.0124392553026669,0.3584295768925797,0.0044585970149937,33.0,4103.0,61.0,0.997999874992187,0.7436089755609725,0.9962497656103506,2.000980723828574,0.0453944672497632,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
MAL,-0.009254612812675,0.009254612812675,0.4773679741664066,0.0044178557700811,68.0,1928.0,62.0,0.9958122382648916,0.8795549721857616,0.9961872617038564,-1.443487832464031,0.1488830976343065,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
ABTB2,0.0099015791522767,0.0099015791522767,0.4392966260414421,0.0043497303140774,54.0,2510.0,63.0,0.9966872929558096,0.8431776986061629,0.9961247577973624,1.5980583100110377,0.1100300006726617,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
NKX6-2,-0.0097022240734678,0.0097022240734678,0.4430005506211849,0.0042980906067963,58.0,2441.0,64.0,0.9964372773298332,0.8474904681542597,0.9960622538908682,-1.5145578189249955,0.1298844211063023,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
RAD51B,0.0089960064404855,0.0089960064404855,0.4702034235225093,0.0042299530263468,78.0,2030.0,65.0,0.99518719919995,0.8731795737233577,0.995999749984374,1.4542749738804217,0.1458700859685449,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
ARL17B,0.0151425666619877,0.0151425666619877,0.2768893930752277,0.0041928160926389,16.0,6139.0,66.0,0.9990624414025876,0.6163510219388713,0.99593724607788,2.4302020561212703,0.0150904074723505,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
EPAS1,0.0070993691587817,0.0070993691587817,0.5844672109039146,0.0041493484914104,140.0,848.0,67.0,0.9913119569973124,0.94705919119945,0.9958747421713856,1.153134234719165,0.2488552918327371,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
