Contrast,Database,Pathway,pvalue,p.adjust,GeneRatio,neg_log10_pvalue,neg_log10_padj,pathway_short,contrast_clean,database_clean
OUD_Effect_Male_vs_Female,C8_CellType,HU_FETAL_RETINA_MICROGLIA,6.849078648898008e-12,1.712269662224502e-9,93/2057,11.164367846699097,8.76642783802706,HU_FETAL_RETINA_MICROGLIA,OUD Effect Male vs Female,C8 CellType
OUD_Effect_Male_vs_Female,C8_CellType,ZHONG_PFC_MAJOR_TYPES_ASTROCYTES,1.1174379666266507e-11,1.7734284491284776e-9,83/2057,10.951776576920428,8.751186328914919,ZHONG_PFC_MAJOR_TYPES_ASTROCYTES,OUD Effect Male vs Female,C8 CellType
OUD_Effect_Male_vs_Female,C8_CellType,FAN_EMBRYONIC_CTX_ASTROCYTE_2,3.423485735073683e-10,2.8529047792280693e-8,47/2057,9.465531477404284,7.544712723451909,FAN_EMBRYONIC_CTX_ASTROCYTE_2,OUD Effect Male vs Female,C8 CellType
OUD_vs_Control_Female,C8_CellType,DESCARTES_FETAL_LUNG_VISCERAL_NEURONS,2.3266035790096853e-9,2.9733205060564452e-8,60/2407,8.63327760816789,7.526758273940262,DESCARTES_FETAL_LUNG_VISCERAL_NEURONS,OUD vs Control Female,C8 CellType
OUD_Effect_Male_vs_Female,C8_CellType,LAKE_ADULT_KIDNEY_C17_COLLECTING_SYSTEM_PCS_STRESSED_DISSOC_SUBSET,5.172255725704715e-10,3.3747131194605234e-8,64/2057,9.286320010953887,7.471763140145775,LAKE_ADULT_KIDNEY_C17_COLLECTING_SYSTEM_PCS_STR...,OUD Effect Male vs Female,C8 CellType
OUD_Effect_Male_vs_Female,C8_CellType,DESCARTES_FETAL_LUNG_VISCERAL_NEURONS,1.1457913648749628e-9,6.138168026115871e-8,55/2057,8.94089445508456,7.211961227371099,DESCARTES_FETAL_LUNG_VISCERAL_NEURONS,OUD Effect Male vs Female,C8 CellType
OUD_vs_Control_Female,C8_CellType,FAN_EMBRYONIC_CTX_EX_4_EXCITATORY_NEURON,5.823519230940604e-9,6.652929545650327e-8,50/2407,8.234814486024694,7.176987075696789,FAN_EMBRYONIC_CTX_EX_4_EXCITATORY_NEURON,OUD vs Control Female,C8 CellType
OUD_Effect_Male_vs_Female,C8_CellType,FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA,4.053350414853852e-9,1.9068844659153003e-7,84/2057,8.39218584958694,6.719675619138289,FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA,OUD Effect Male vs Female,C8 CellType
OUD_Effect_Male_vs_Female,C8_CellType,ZHONG_PFC_MAJOR_TYPES_MICROGLIA,4.26162981145442e-9,1.9068844659153003e-7,95/2057,8.370424278184728,6.719675619138289,ZHONG_PFC_MAJOR_TYPES_MICROGLIA,OUD Effect Male vs Female,C8 CellType
OUD_vs_Control_Female,C7_Immunologic,GSE16450_CTRL_VS_IFNA_12H_STIM_IMMATURE_NEURON_CELL_LINE_DN,3.049368195928244e-9,2.358178071517842e-7,53/2332,8.515790133586204,6.6274234034149675,GSE16450_CTRL_VS_IFNA_12H_STIM_IMMATURE_NEURON_...,OUD vs Control Female,C7 Immunologic
OUD_vs_Control_Female,C8_CellType,GAO_LARGE_INTESTINE_ADULT_CJ_IMMUNE_CELLS,3.670893016895191e-8,3.548529916332018e-7,114/2407,7.435228272224181,6.449951529044888,GAO_LARGE_INTESTINE_ADULT_CJ_IMMUNE_CELLS,OUD vs Control Female,C8 CellType
OUD_vs_Control_Female,GO_BP,negative regulation of immune system process,2.1526703548315556e-9,7.289954842803097e-7,115/2058,8.667022469962202,6.137275161885341,negative regulation of immune system process,OUD vs Control Female,GO BP
OUD_Effect_Male_vs_Female,C8_CellType,DESCARTES_FETAL_CEREBRUM_MICROGLIA,3.03315351860283e-8,9.478604745633843e-7,92/2057,7.518105607956798,6.023255586276703,DESCARTES_FETAL_CEREBRUM_MICROGLIA,OUD Effect Male vs Female,C8 CellType
OUD_Effect_Male_vs_Female,C8_CellType,DESCARTES_MAIN_FETAL_MICROGLIA,1.317256056691586e-7,3.2931401417289647e-6,43/2057,6.880329795881622,5.482389787209584,DESCARTES_MAIN_FETAL_MICROGLIA,OUD Effect Male vs Female,C8 CellType
OUD_vs_Control_Female,GO_BP,cytokine-mediated signaling pathway,2.2762210026411248e-8,4.368068104068318e-6,111/2058,7.642785573749759,5.359710599014288,cytokine-mediated signaling pathway,OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_BP,adaptive immune response,2.386347476226897e-8,4.431678200205886e-6,102/2058,7.622266318410602,5.35343178278974,adaptive immune response,OUD vs Control Female,GO BP
OUD_Effect_Male_vs_Female,GO_CC,GABA-ergic synapse,2.95236128449962e-8,4.864015216213124e-6,34/1867,7.529830498385609,5.313005075119561,GABA-ergic synapse,OUD Effect Male vs Female,GO CC
OUD_vs_Control_Female,GO_BP,immune response-regulating cell surface receptor signaling pathway,3.240845712469842e-8,5.625385233098223e-6,82/2058,7.489341644011893,5.249847731193477,immune response-regulating cell surface recepto...,OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_BP,regulation of immune effector process,3.322270243622366e-8,5.625385233098223e-6,89/2058,7.478565043606356,5.249847731193477,regulation of immune effector process,OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_BP,tumor necrosis factor superfamily cytokine production,6.209255142609549e-8,9.165815860513633e-6,48/2058,7.206960494325248,5.037828871896613,tumor necrosis factor superfamily cytokine prod...,OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_BP,regulation of tumor necrosis factor superfamily cytokine production,6.209255142609549e-8,9.165815860513633e-6,48/2058,7.206960494325248,5.037828871896613,regulation of tumor necrosis factor superfamily...,OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_BP,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,7.162672015992351e-8,9.410372527806984e-6,53/2058,7.1449249350490955,5.026393183844947,regulation of adaptive immune response based on...,OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_BP,regulation of adaptive immune response,7.32597095599599e-8,9.410372527806984e-6,56/2058,7.1351348074399255,5.026393183844947,regulation of adaptive immune response,OUD vs Control Female,GO BP
OUD_vs_Control_Female,C7_Immunologic,GSE16450_CTRL_VS_IFNA_6H_STIM_IMMATURE_NEURON_CELL_LINE_DN,4.842219413378754e-7,1.8147148447677918e-5,50/2332,6.314955535451762,4.74119160813378,GSE16450_CTRL_VS_IFNA_6H_STIM_IMMATURE_NEURON_C...,OUD vs Control Female,C7 Immunologic
OUD_vs_Control_Female,C8_CellType,FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE,2.8165745814919913e-6,2.003487957023549e-5,42/2407,5.550278744374812,4.698213263769808,FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE,OUD vs Control Female,C8 CellType
OUD_Effect_Male_vs_Female,C7_Immunologic,GSE16451_CTRL_VS_WEST_EQUINE_ENC_VIRUS_MATURE_NEURON_CELL_LINE_DN,1.1528890806462765e-7,2.3882797870535e-5,49/2013,6.938212474128093,4.621914796949822,GSE16451_CTRL_VS_WEST_EQUINE_ENC_VIRUS_MATURE_N...,OUD Effect Male vs Female,C7 Immunologic
OUD_vs_Control_Female,DO,bone inflammation disease,1.333444948320215e-7,3.301846922144971e-5,63/1094,6.8750249095836145,4.481243065055293,bone inflammation disease,OUD vs Control Female,DO
OUD_vs_Control_Female,C8_CellType,FAN_EMBRYONIC_CTX_ASTROCYTE_1,5.2832261206697815e-6,3.347523105029425e-5,27/2407,5.277100801227206,4.475276416749963,FAN_EMBRYONIC_CTX_ASTROCYTE_1,OUD vs Control Female,C8 CellType
OUD_vs_Control_Female,C8_CellType,LAKE_ADULT_KIDNEY_C17_COLLECTING_SYSTEM_PCS_STRESSED_DISSOC_SUBSET,5.490597561003726e-6,3.4214136867742225e-5,60/2407,5.260380387184897,4.465794411631573,LAKE_ADULT_KIDNEY_C17_COLLECTING_SYSTEM_PCS_STR...,OUD vs Control Female,C8 CellType
OUD_vs_Control_Female,C7_Immunologic,GSE1432_1H_VS_24H_IFNG_MICROGLIA_UP,1.6270335289809481e-6,4.69047772378413e-5,51/2332,5.7886034972774185,4.328782922266273,GSE1432_1H_VS_24H_IFNG_MICROGLIA_UP,OUD vs Control Female,C7 Immunologic
OUD_vs_Control_Female,GO_BP,cytokine production involved in immune response,7.440951259878972e-7,5.4919944106568254e-5,37/2058,6.128371540192313,4.260269913427659,cytokine production involved in immune response,OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_BP,immune response-activating signaling pathway,8.76880763074139e-7,6.390129813946606e-5,105/2058,6.057059457328979,4.194490319164286,immune response-activating signaling pathway,OUD vs Control Female,GO BP
OUD_Effect_Male_vs_Female,GO_CC,neuronal cell body,5.559402410401934e-7,7.32729237690975e-5,94/1867,6.254971888959855,4.135056478701864,neuronal cell body,OUD Effect Male vs Female,GO CC
OUD_vs_Control_Female,GO_BP,negative regulation of immune response,1.1276173047352207e-6,7.72820574209603e-5,51/2058,5.947838267942905,4.1119213245496535,negative regulation of immune response,OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_BP,immune response-activating cell surface receptor signaling pathway,1.356195584200335e-6,8.717541891436375e-5,72/2058,5.867677674028136,4.059605956980269,immune response-activating cell surface recepto...,OUD vs Control Female,GO BP
OUD_vs_Control_Female,C7_Immunologic,GSE16451_CTRL_VS_WEST_EQUINE_ENC_VIRUS_MATURE_NEURON_CELL_LINE_DN,3.794734288683154e-6,9.480997668956064e-5,50/2332,5.4208186284638105,4.02314596020151,GSE16451_CTRL_VS_WEST_EQUINE_ENC_VIRUS_MATURE_N...,OUD vs Control Female,C7 Immunologic
OUD_vs_Control_Female,GO_BP,regulation of cytokine production involved in immune response,1.7275432395450357e-6,1.0253058175320382e-4,36/2058,5.762571073643607,3.9891465784547178,regulation of cytokine production involved in i...,OUD vs Control Female,GO BP
OUD_vs_Control_Female,C8_CellType,LAKE_ADULT_KIDNEY_C5_PROXIMAL_TUBULE_EPITHELIAL_CELLS_STRESS_INFLAM,2.185911138656634e-5,1.1943311583674653e-4,88/2407,4.6603674969039215,3.922875237435384,LAKE_ADULT_KIDNEY_C5_PROXIMAL_TUBULE_EPITHELIAL...,OUD vs Control Female,C8 CellType
OUD_vs_Control_Female,GO_BP,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,2.2736512581183804e-6,1.270816533299759e-4,70/2058,5.643276148394864,3.895917143644902,adaptive immune response based on somatic recom...,OUD vs Control Female,GO BP
OUD_Effect_Male_vs_Female,C8_CellType,DESCARTES_FETAL_PANCREAS_ENS_NEURONS,9.461922347691255e-6,1.4192883521536883e-4,35/2057,5.024020620450165,3.847929361394484,DESCARTES_FETAL_PANCREAS_ENS_NEURONS,OUD Effect Male vs Female,C8 CellType
OUD_vs_Control_Female,GO_BP,regulation of production of molecular mediator of immune response,2.8167876601040597e-6,1.5015043110388029e-4,48/2058,5.550245890508325,3.8234734165401414,regulation of production of molecular mediator ...,OUD vs Control Female,GO BP
OUD_vs_Control_Female,C8_CellType,ZHONG_PFC_C2_SOX5_BCL11B_POS_EXCITATORY_NEURON,3.291856172297035e-5,1.6649989640681593e-4,13/2407,4.482559148229604,3.7785860323676443,ZHONG_PFC_C2_SOX5_BCL11B_POS_EXCITATORY_NEURON,OUD vs Control Female,C8 CellType
OUD_vs_Control_Female,GO_CC,main axon,3.608073005870345e-6,2.1123627416186385e-4,25/2168,5.442724683512062,3.6752315013104755,main axon,OUD vs Control Female,GO CC
OUD_vs_Control_Female,GO_BP,negative regulation of immune effector process,6.000270327624743e-6,2.905014694472478e-4,35/2058,5.221829183091179,3.5368516664708376,negative regulation of immune effector process,OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_BP,production of molecular mediator of immune response,6.055267732094795e-6,2.905014694472478e-4,53/2058,5.217866649878347,3.5368516664708376,production of molecular mediator of immune resp...,OUD vs Control Female,GO BP
OUD_vs_Control_Female,C7_Immunologic,GSE14699_NAIVE_VS_DELETIONAL_TOLERANCE_CD8_TCELL_DN,1.6461042371131767e-5,3.0149698658704497e-4,48/2332,4.7835426671980406,3.5207170242042882,GSE14699_NAIVE_VS_DELETIONAL_TOLERANCE_CD8_TCEL...,OUD vs Control Female,C7 Immunologic
OUD_vs_Control_Female,GO_BP,cell activation involved in immune response,7.593524960851374e-6,3.311812363607679e-4,67/2058,5.1195565751359,3.4799342768866164,cell activation involved in immune response,OUD vs Control Female,GO BP
OUD_vs_Control_Female,Hallmark,HALLMARK_APOPTOSIS,6.164623426299144e-5,3.602451593580952e-4,45/703,4.21009344767739,3.4434018461231117,HALLMARK_APOPTOSIS,OUD vs Control Female,Hallmark
OUD_vs_Control_Female,GO_BP,axon development,8.536238595511747e-6,3.6134651172324355e-4,102/2058,5.068733454494318,3.442076133409401,axon development,OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_BP,leukocyte activation involved in immune response,9.201104501408053e-6,3.83846076917436e-4,66/2058,5.036160036776698,3.4158428937228003,leukocyte activation involved in immune response,OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_BP,axon guidance,9.691516570637156e-6,4.0139612156228855e-4,55/2058,5.0136082573431295,3.396426828142091,axon guidance,OUD vs Control Female,GO BP
OUD_Effect_Male_vs_Female,C8_CellType,FAN_EMBRYONIC_CTX_ASTROCYTE_1,3.671989137750495e-5,4.2369105435582634e-4,23/2057,4.4350986121717755,3.3729507054229306,FAN_EMBRYONIC_CTX_ASTROCYTE_1,OUD Effect Male vs Female,C8 CellType
OUD_vs_Control_Female,GO_BP,neuron projection guidance,1.1130444075220954e-5,4.4705748307948185e-4,55/2058,4.953487508120757,3.3496366312770838,neuron projection guidance,OUD vs Control Female,GO BP
OUD_vs_Control_Female,C8_CellType,DESCARTES_FETAL_STOMACH_ENS_NEURONS,1.0605769912014556e-4,4.5179381433101546e-4,23/2407,3.9744577989623506,3.345059719454383,DESCARTES_FETAL_STOMACH_ENS_NEURONS,OUD vs Control Female,C8 CellType
OUD_Effect_Male_vs_Female,C8_CellType,DESCARTES_FETAL_INTESTINE_ENS_NEURONS,4.014262893803415e-5,4.55348122765198e-4,34/2057,4.396394189001133,3.3416564495227408,DESCARTES_FETAL_INTESTINE_ENS_NEURONS,OUD Effect Male vs Female,C8 CellType
OUD_vs_Control_Female,DO,autoimmune disease,1.1284713521993643e-5,5.315100068859006e-4,73/1094,4.9475094616102835,3.2744885544813873,autoimmune disease,OUD vs Control Female,DO
OUD_vs_Control_Female,GO_BP,positive regulation of tumor necrosis factor superfamily cytokine production,1.424502459847048e-5,5.541122068472605e-4,30/2058,4.846336796479206,3.25640228241903,positive regulation of tumor necrosis factor su...,OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_BP,negative regulation of cytokine production,1.4485242897754901e-5,5.559436224158331e-4,63/2058,4.839074217873394,3.254969247473942,negative regulation of cytokine production,OUD vs Control Female,GO BP
OUD_Effect_Male_vs_Female,C8_CellType,HE_LIM_SUN_FETAL_LUNG_C7_KCNIP4_POS_NEURON_CELL,5.14538684361655e-5,5.592811786539728e-4,29/2057,4.288581968281067,3.252369795626622,HE_LIM_SUN_FETAL_LUNG_C7_KCNIP4_POS_NEURON_CELL,OUD Effect Male vs Female,C8 CellType
OUD_Effect_Male_vs_Female,C8_CellType,LAKE_ADULT_KIDNEY_C5_PROXIMAL_TUBULE_EPITHELIAL_CELLS_STRESS_INFLAM,6.50570731747628e-5,6.505707317476279e-4,76/2057,4.186705478906028,3.1867054789060276,LAKE_ADULT_KIDNEY_C5_PROXIMAL_TUBULE_EPITHELIAL...,OUD Effect Male vs Female,C8 CellType
OUD_Effect_Male_vs_Female,C8_CellType,FAN_EMBRYONIC_CTX_EX_4_EXCITATORY_NEURON,7.09135071487656e-5,6.732294982477748e-4,36/2057,4.149271035318018,3.17183686321676,FAN_EMBRYONIC_CTX_EX_4_EXCITATORY_NEURON,OUD Effect Male vs Female,C8 CellType
OUD_vs_Control_Female,GO_BP,T cell activation involved in immune response,1.9516319900866235e-5,6.978599606788007e-4,34/2058,4.709602071783264,3.15623171835998,T cell activation involved in immune response,OUD vs Control Female,GO BP
OUD_vs_Control_Female,C8_CellType,FAN_EMBRYONIC_CTX_MICROGLIA_3,1.8412284109015732e-4,7.384501179892479e-4,10/2407,3.734892332386263,3.1316788357801686,FAN_EMBRYONIC_CTX_MICROGLIA_3,OUD vs Control Female,C8 CellType
OUD_vs_Control_Female,GO_CC,neuronal cell body,1.9397744700896947e-5,9.609344297982796e-4,99/2168,4.712248760837428,3.017306245784453,neuronal cell body,OUD vs Control Female,GO CC
OUD_vs_Control_Female,GO_BP,positive regulation of immune effector process,2.9994065292128964e-5,9.811126925385594e-4,56/2058,4.52296466747534,3.0082811058343557,positive regulation of immune effector process,OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_CC,distal axon,2.4206197350475488e-5,9.962332687643656e-4,61/2168,4.616073430278067,3.001638959291518,distal axon,OUD vs Control Female,GO CC
OUD_vs_Control_Female,C8_CellType,ZHONG_PFC_C8_UNKNOWN_NEUROD2_POS_INTERNEURON,2.857816289438488e-4,0.0010993844297125612,24/2407,3.5439656926365433,2.9588504181232453,ZHONG_PFC_C8_UNKNOWN_NEUROD2_POS_INTERNEURON,OUD vs Control Female,C8 CellType
OUD_vs_Control_Female,GO_BP,chemokine production,3.6773227479861874e-5,0.0011260822904338554,27/2058,4.43446825168724,2.948429871495786,chemokine production,OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_BP,regulation of chemokine production,3.6773227479861874e-5,0.0011260822904338554,27/2058,4.43446825168724,2.948429871495786,regulation of chemokine production,OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_BP,central nervous system neuron differentiation,4.023431038262202e-5,0.001206400650378932,47/2058,4.3954034380946645,2.91850843734308,central nervous system neuron differentiation,OUD vs Control Female,GO BP
OUD_Effect_Male_vs_Female,C8_CellType,ZHONG_PFC_C3_MICROGLIA,1.331620226209728e-4,0.0012329816909349336,85/2057,3.875619616891337,2.909043372378287,ZHONG_PFC_C3_MICROGLIA,OUD Effect Male vs Female,C8 CellType
OUD_Effect_Male_vs_Female,C8_CellType,GAO_LARGE_INTESTINE_ADULT_CJ_IMMUNE_CELLS,1.622859142955065e-4,0.001431934537901528,87/2057,3.7897191733913087,2.8440768357139015,GAO_LARGE_INTESTINE_ADULT_CJ_IMMUNE_CELLS,OUD Effect Male vs Female,C8 CellType
OUD_vs_Control_Female,GO_BP,synapse assembly,5.2271301621584854e-5,0.0014329401760214357,60/2058,4.281736685285192,2.8437719406327426,synapse assembly,OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_BP,positive regulation of production of molecular mediator of immune response,5.733811013413114e-5,0.0015282199076027453,35/2058,4.241556625513084,2.815814147208881,positive regulation of production of molecular ...,OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_BP,axonogenesis,6.254472890639285e-5,0.001600311130284905,89/2058,4.203809285544157,2.7957955742003855,axonogenesis,OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_BP,regulation of complement activation,6.469022413408483e-5,0.001633428159385642,10/2058,4.189161344144291,2.786899961689611,regulation of complement activation,OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_MF,cytokine activity,5.988016110620572e-6,0.0016344407349531598,45/2121,5.22271703986803,2.7866308223760243,cytokine activity,OUD vs Control Female,GO MF
OUD_vs_Control_Female,C7_Immunologic,GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_DN,1.3603973877723886e-4,0.0016528319384606176,45/2332,3.8663342106683998,2.781771303663763,GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_DN,OUD vs Control Female,C7 Immunologic
OUD_vs_Control_Female,KEGG,Cytokine-cytokine receptor interaction,1.5045888544200088e-5,0.0017052007016760099,59/1075,4.822582159638868,2.7682244973162753,Cytokine-cytokine receptor interaction,OUD vs Control Female,KEGG
OUD_vs_Control_Female,GO_BP,multicellular organismal response to stress,6.987490409763222e-5,0.0017264799265668184,27/2058,4.155678775168457,2.762838466739342,multicellular organismal response to stress,OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_BP,regulation of type 2 immune response,7.089889243137927e-5,0.001741959707021536,13/2058,4.149360549227334,2.7589618948051573,regulation of type 2 immune response,OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_BP,"synaptic transmission, glutamatergic",7.282984234606534e-5,0.0017691198412923973,30/2058,4.137690630157057,2.7522427467120267,"synaptic transmission, glutamatergic",OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_BP,type 2 immune response,7.383521323635586e-5,0.0017789554394654888,15/2058,4.131736466538241,2.7498349302952896,type 2 immune response,OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_BP,"regulation of synaptic transmission, glutamatergic",8.971434598896255e-5,0.0020910343718965885,23/2058,4.047138104495763,2.6796388283002943,"regulation of synaptic transmission, glutamatergic",OUD vs Control Female,GO BP
OUD_Effect_Male_vs_Female,C8_CellType,DESCARTES_FETAL_STOMACH_ENS_NEURONS,2.792635721328277e-4,0.0022521255817163524,20/2057,3.5539857111070297,2.647407396269265,DESCARTES_FETAL_STOMACH_ENS_NEURONS,OUD Effect Male vs Female,C8 CellType
OUD_vs_Control_Female,GO_BP,regulation of T-helper 1 type immune response,9.995488599548809e-5,0.002256628543827549,12/2058,4.000195971840858,2.646539922819679,regulation of T-helper 1 type immune response,OUD vs Control Female,GO BP
OUD_Effect_Male_vs_Female,GO_BP,synapse assembly,2.3685838056347645e-6,0.0024838116781601494,58/1775,5.625511244383002,2.6048813353216764,synapse assembly,OUD Effect Male vs Female,GO BP
OUD_vs_Control_Female,C7_Immunologic,GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_UP,2.5876152154803266e-4,0.0027828648711514694,43/2332,3.587100303821657,2.555507881390734,GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_UP,OUD vs Control Female,C7 Immunologic
OUD_vs_Control_Female,GO_MF,immune receptor activity,1.6935414511953705e-5,0.002980632954103852,37/2121,4.771204169078337,2.525691501264187,immune receptor activity,OUD vs Control Female,GO MF
OUD_vs_Control_Female,GO_BP,positive regulation of type 2 immune response,1.4384111216165756e-4,0.003049083909801621,9/2058,3.842116967686739,2.5158306238266865,positive regulation of type 2 immune response,OUD vs Control Female,GO BP
OUD_vs_Control_Female,WikiPathways,WP_NEUROINFLAMMATION_AND_GLUTAMATERGIC_SIGNALING,3.188276947457411e-5,0.003051636506852093,41/1231,4.496443960949545,2.515467198262975,WP_NEUROINFLAMMATION_AND_GLUTAMATERGIC_SIGNALING,OUD vs Control Female,WikiPathways
OUD_vs_Control_Female,GO_BP,T cell differentiation involved in immune response,1.5364790938988637e-4,0.003204894979556434,26/2058,3.8134733445948017,2.4941861972048853,T cell differentiation involved in immune response,OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_BP,positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,1.74944538353543e-4,0.003461016176293289,31/2058,3.757099611340226,2.4607963708709994,positive regulation of adaptive immune response...,OUD vs Control Female,GO BP
OUD_vs_Control_Female,GO_BP,astrocyte differentiation,1.848629973007528e-4,0.0035833544628297437,25/2058,3.7331500097510832,2.4457102296131614,astrocyte differentiation,OUD vs Control Female,GO BP
OUD_vs_Control_Female,C8_CellType,HE_LIM_SUN_FETAL_LUNG_C7_TM4SF4_POS_PENK_POS_NEURON_CELL,0.0010531245766868687,0.0036258261681365255,30/2407,2.9775202520172024,2.440593020987547,HE_LIM_SUN_FETAL_LUNG_C7_TM4SF4_POS_PENK_POS_NE...,OUD vs Control Female,C8 CellType
OUD_vs_Control_Female,GO_CC,neuron spine,1.393970479612284e-4,0.003740487453626295,43/2168,3.855746423280505,2.427071797632299,neuron spine,OUD vs Control Female,GO CC
OUD_vs_Control_Female,GO_CC,neuron projection terminus,1.581966310707166e-4,0.003918408861905443,32/2168,3.800802769403302,2.4068902500143077,neuron projection terminus,OUD vs Control Female,GO CC
OUD_Effect_Male_vs_Female,GO_CC,neuron projection membrane,7.260273405615028e-5,0.003987100145250252,19/1867,4.139047024435693,2.399342855889308,neuron projection membrane,OUD Effect Male vs Female,GO CC
OUD_vs_Control_Female,GO_CC,GABA-ergic synapse,1.7106601923847262e-4,0.0040802413477620874,29/2168,3.7668362506743565,2.3893141474735318,GABA-ergic synapse,OUD vs Control Female,GO CC
OUD_vs_Control_Female,GO_BP,"CD4-positive, alpha-beta T cell differentiation involved in immune response",2.222226875438108e-4,0.004113620617973372,24/2058,3.6532116043866036,2.3857757639583075,"CD4-positive, alpha-beta T cell differentiation...",OUD vs Control Female,GO BP
