Contrast,Database,Pathway,pvalue,p.adjust,GeneRatio
OUD_Effect_Male_vs_Female,C8_CellType,LAKE_ADULT_KIDNEY_C17_COLLECTING_SYSTEM_PCS_STRESSED_DISSOC_SUBSET,5.172255725704715e-10,3.3747131194605234e-8,64/2057
OUD_Effect_Male_vs_Female,C8_CellType,DESCARTES_FETAL_LUNG_VISCERAL_NEURONS,1.1457913648749628e-9,6.138168026115871e-8,55/2057
OUD_vs_Control_Female,C8_CellType,FAN_EMBRYONIC_CTX_EX_4_EXCITATORY_NEURON,5.823519230940604e-9,6.652929545650327e-8,50/2407
OUD_Effect_Male_vs_Female,C8_CellType,FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA,4.053350414853852e-9,1.9068844659153003e-7,84/2057
OUD_Effect_Male_vs_Female,C8_CellType,ZHONG_PFC_MAJOR_TYPES_MICROGLIA,4.26162981145442e-9,1.9068844659153003e-7,95/2057
OUD_vs_Control_Female,C7_Immunologic,GSE16450_CTRL_VS_IFNA_12H_STIM_IMMATURE_NEURON_CELL_LINE_DN,3.049368195928244e-9,2.358178071517842e-7,53/2332
OUD_vs_Control_Female,C8_CellType,GAO_LARGE_INTESTINE_ADULT_CJ_IMMUNE_CELLS,3.670893016895191e-8,3.548529916332018e-7,114/2407
OUD_vs_Control_Female,GO_BP,negative regulation of immune system process,2.1526703548315556e-9,7.289954842803097e-7,115/2058
OUD_Effect_Male_vs_Female,C8_CellType,DESCARTES_FETAL_CEREBRUM_MICROGLIA,3.03315351860283e-8,9.478604745633843e-7,92/2057
OUD_Effect_Male_vs_Female,C8_CellType,DESCARTES_MAIN_FETAL_MICROGLIA,1.317256056691586e-7,3.2931401417289647e-6,43/2057
OUD_vs_Control_Female,GO_BP,cytokine-mediated signaling pathway,2.2762210026411248e-8,4.368068104068318e-6,111/2058
OUD_vs_Control_Female,GO_BP,adaptive immune response,2.386347476226897e-8,4.431678200205886e-6,102/2058
OUD_Effect_Male_vs_Female,GO_CC,GABA-ergic synapse,2.95236128449962e-8,4.864015216213124e-6,34/1867
OUD_vs_Control_Female,GO_BP,immune response-regulating cell surface receptor signaling pathway,3.240845712469842e-8,5.625385233098223e-6,82/2058
OUD_vs_Control_Female,GO_BP,regulation of immune effector process,3.322270243622366e-8,5.625385233098223e-6,89/2058
OUD_vs_Control_Female,GO_BP,tumor necrosis factor superfamily cytokine production,6.209255142609549e-8,9.165815860513633e-6,48/2058
OUD_vs_Control_Female,GO_BP,regulation of tumor necrosis factor superfamily cytokine production,6.209255142609549e-8,9.165815860513633e-6,48/2058
OUD_vs_Control_Female,GO_BP,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,7.162672015992351e-8,9.410372527806984e-6,53/2058
OUD_vs_Control_Female,GO_BP,regulation of adaptive immune response,7.32597095599599e-8,9.410372527806984e-6,56/2058
OUD_vs_Control_Female,C7_Immunologic,GSE16450_CTRL_VS_IFNA_6H_STIM_IMMATURE_NEURON_CELL_LINE_DN,4.842219413378754e-7,1.8147148447677918e-5,50/2332
OUD_vs_Control_Female,C8_CellType,FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE,2.8165745814919913e-6,2.003487957023549e-5,42/2407
OUD_Effect_Male_vs_Female,C7_Immunologic,GSE16451_CTRL_VS_WEST_EQUINE_ENC_VIRUS_MATURE_NEURON_CELL_LINE_DN,1.1528890806462765e-7,2.3882797870535e-5,49/2013
OUD_vs_Control_Female,DO,bone inflammation disease,1.333444948320215e-7,3.301846922144971e-5,63/1094
OUD_vs_Control_Female,C8_CellType,FAN_EMBRYONIC_CTX_ASTROCYTE_1,5.2832261206697815e-6,3.347523105029425e-5,27/2407
OUD_vs_Control_Female,C8_CellType,LAKE_ADULT_KIDNEY_C17_COLLECTING_SYSTEM_PCS_STRESSED_DISSOC_SUBSET,5.490597561003726e-6,3.4214136867742225e-5,60/2407
OUD_vs_Control_Female,C7_Immunologic,GSE1432_1H_VS_24H_IFNG_MICROGLIA_UP,1.6270335289809481e-6,4.69047772378413e-5,51/2332
OUD_vs_Control_Female,GO_BP,cytokine production involved in immune response,7.440951259878972e-7,5.4919944106568254e-5,37/2058
OUD_vs_Control_Female,GO_BP,immune response-activating signaling pathway,8.76880763074139e-7,6.390129813946606e-5,105/2058
OUD_Effect_Male_vs_Female,GO_CC,neuronal cell body,5.559402410401934e-7,7.32729237690975e-5,94/1867
OUD_vs_Control_Female,GO_BP,negative regulation of immune response,1.1276173047352207e-6,7.72820574209603e-5,51/2058
OUD_vs_Control_Female,GO_BP,immune response-activating cell surface receptor signaling pathway,1.356195584200335e-6,8.717541891436375e-5,72/2058
OUD_vs_Control_Female,C7_Immunologic,GSE16451_CTRL_VS_WEST_EQUINE_ENC_VIRUS_MATURE_NEURON_CELL_LINE_DN,3.794734288683154e-6,9.480997668956064e-5,50/2332
OUD_vs_Control_Female,GO_BP,regulation of cytokine production involved in immune response,1.7275432395450357e-6,1.0253058175320382e-4,36/2058
OUD_vs_Control_Female,C8_CellType,LAKE_ADULT_KIDNEY_C5_PROXIMAL_TUBULE_EPITHELIAL_CELLS_STRESS_INFLAM,2.185911138656634e-5,1.1943311583674653e-4,88/2407
OUD_vs_Control_Female,GO_BP,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,2.2736512581183804e-6,1.270816533299759e-4,70/2058
OUD_Effect_Male_vs_Female,C8_CellType,DESCARTES_FETAL_PANCREAS_ENS_NEURONS,9.461922347691255e-6,1.4192883521536883e-4,35/2057
OUD_vs_Control_Female,GO_BP,regulation of production of molecular mediator of immune response,2.8167876601040597e-6,1.5015043110388029e-4,48/2058
OUD_vs_Control_Female,C8_CellType,ZHONG_PFC_C2_SOX5_BCL11B_POS_EXCITATORY_NEURON,3.291856172297035e-5,1.6649989640681593e-4,13/2407
OUD_vs_Control_Female,GO_CC,main axon,3.608073005870345e-6,2.1123627416186385e-4,25/2168
OUD_vs_Control_Female,GO_BP,negative regulation of immune effector process,6.000270327624743e-6,2.905014694472478e-4,35/2058
OUD_vs_Control_Female,GO_BP,production of molecular mediator of immune response,6.055267732094795e-6,2.905014694472478e-4,53/2058
OUD_vs_Control_Female,C7_Immunologic,GSE14699_NAIVE_VS_DELETIONAL_TOLERANCE_CD8_TCELL_DN,1.6461042371131767e-5,3.0149698658704497e-4,48/2332
OUD_vs_Control_Female,GO_BP,cell activation involved in immune response,7.593524960851374e-6,3.311812363607679e-4,67/2058
OUD_vs_Control_Female,Hallmark,HALLMARK_APOPTOSIS,6.164623426299144e-5,3.602451593580952e-4,45/703
OUD_vs_Control_Female,GO_BP,axon development,8.536238595511747e-6,3.6134651172324355e-4,102/2058
OUD_vs_Control_Female,GO_BP,leukocyte activation involved in immune response,9.201104501408053e-6,3.83846076917436e-4,66/2058
OUD_vs_Control_Female,GO_BP,axon guidance,9.691516570637156e-6,4.0139612156228855e-4,55/2058
OUD_Effect_Male_vs_Female,C8_CellType,FAN_EMBRYONIC_CTX_ASTROCYTE_1,3.671989137750495e-5,4.2369105435582634e-4,23/2057
OUD_vs_Control_Female,GO_BP,neuron projection guidance,1.1130444075220954e-5,4.4705748307948185e-4,55/2058
OUD_vs_Control_Female,C8_CellType,DESCARTES_FETAL_STOMACH_ENS_NEURONS,1.0605769912014556e-4,4.5179381433101546e-4,23/2407
OUD_Effect_Male_vs_Female,C8_CellType,DESCARTES_FETAL_INTESTINE_ENS_NEURONS,4.014262893803415e-5,4.55348122765198e-4,34/2057
OUD_vs_Control_Female,DO,autoimmune disease,1.1284713521993643e-5,5.315100068859006e-4,73/1094
OUD_vs_Control_Female,GO_BP,positive regulation of tumor necrosis factor superfamily cytokine production,1.424502459847048e-5,5.541122068472605e-4,30/2058
OUD_vs_Control_Female,GO_BP,negative regulation of cytokine production,1.4485242897754901e-5,5.559436224158331e-4,63/2058
OUD_Effect_Male_vs_Female,C8_CellType,HE_LIM_SUN_FETAL_LUNG_C7_KCNIP4_POS_NEURON_CELL,5.14538684361655e-5,5.592811786539728e-4,29/2057
OUD_Effect_Male_vs_Female,C8_CellType,LAKE_ADULT_KIDNEY_C5_PROXIMAL_TUBULE_EPITHELIAL_CELLS_STRESS_INFLAM,6.50570731747628e-5,6.505707317476279e-4,76/2057
OUD_Effect_Male_vs_Female,C8_CellType,FAN_EMBRYONIC_CTX_EX_4_EXCITATORY_NEURON,7.09135071487656e-5,6.732294982477748e-4,36/2057
OUD_vs_Control_Female,GO_BP,T cell activation involved in immune response,1.9516319900866235e-5,6.978599606788007e-4,34/2058
OUD_vs_Control_Female,C8_CellType,FAN_EMBRYONIC_CTX_MICROGLIA_3,1.8412284109015732e-4,7.384501179892479e-4,10/2407
OUD_vs_Control_Female,GO_CC,neuronal cell body,1.9397744700896947e-5,9.609344297982796e-4,99/2168
OUD_vs_Control_Female,GO_BP,positive regulation of immune effector process,2.9994065292128964e-5,9.811126925385594e-4,56/2058
OUD_vs_Control_Female,GO_CC,distal axon,2.4206197350475488e-5,9.962332687643656e-4,61/2168
OUD_vs_Control_Female,C8_CellType,ZHONG_PFC_C8_UNKNOWN_NEUROD2_POS_INTERNEURON,2.857816289438488e-4,0.0010993844297125612,24/2407
OUD_vs_Control_Female,GO_BP,chemokine production,3.6773227479861874e-5,0.0011260822904338554,27/2058
OUD_vs_Control_Female,GO_BP,regulation of chemokine production,3.6773227479861874e-5,0.0011260822904338554,27/2058
OUD_vs_Control_Female,GO_BP,central nervous system neuron differentiation,4.023431038262202e-5,0.001206400650378932,47/2058
OUD_Effect_Male_vs_Female,C8_CellType,ZHONG_PFC_C3_MICROGLIA,1.331620226209728e-4,0.0012329816909349336,85/2057
OUD_Effect_Male_vs_Female,C8_CellType,GAO_LARGE_INTESTINE_ADULT_CJ_IMMUNE_CELLS,1.622859142955065e-4,0.001431934537901528,87/2057
OUD_vs_Control_Female,GO_BP,synapse assembly,5.2271301621584854e-5,0.0014329401760214357,60/2058
OUD_vs_Control_Female,GO_BP,positive regulation of production of molecular mediator of immune response,5.733811013413114e-5,0.0015282199076027453,35/2058
OUD_vs_Control_Female,GO_BP,axonogenesis,6.254472890639285e-5,0.001600311130284905,89/2058
OUD_vs_Control_Female,GO_BP,regulation of complement activation,6.469022413408483e-5,0.001633428159385642,10/2058
OUD_vs_Control_Female,GO_MF,cytokine activity,5.988016110620572e-6,0.0016344407349531598,45/2121
OUD_vs_Control_Female,C7_Immunologic,GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_DN,1.3603973877723886e-4,0.0016528319384606176,45/2332
OUD_vs_Control_Female,KEGG,Cytokine-cytokine receptor interaction,1.5045888544200088e-5,0.0017052007016760099,59/1075
OUD_vs_Control_Female,GO_BP,multicellular organismal response to stress,6.987490409763222e-5,0.0017264799265668184,27/2058
OUD_vs_Control_Female,GO_BP,regulation of type 2 immune response,7.089889243137927e-5,0.001741959707021536,13/2058
OUD_vs_Control_Female,GO_BP,"synaptic transmission, glutamatergic",7.282984234606534e-5,0.0017691198412923973,30/2058
OUD_vs_Control_Female,GO_BP,type 2 immune response,7.383521323635586e-5,0.0017789554394654888,15/2058
OUD_vs_Control_Female,GO_BP,"regulation of synaptic transmission, glutamatergic",8.971434598896255e-5,0.0020910343718965885,23/2058
OUD_Effect_Male_vs_Female,C8_CellType,DESCARTES_FETAL_STOMACH_ENS_NEURONS,2.792635721328277e-4,0.0022521255817163524,20/2057
OUD_vs_Control_Female,GO_BP,regulation of T-helper 1 type immune response,9.995488599548809e-5,0.002256628543827549,12/2058
OUD_Effect_Male_vs_Female,GO_BP,synapse assembly,2.3685838056347645e-6,0.0024838116781601494,58/1775
OUD_vs_Control_Female,C7_Immunologic,GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_UP,2.5876152154803266e-4,0.0027828648711514694,43/2332
OUD_vs_Control_Female,GO_MF,immune receptor activity,1.6935414511953705e-5,0.002980632954103852,37/2121
OUD_vs_Control_Female,GO_BP,positive regulation of type 2 immune response,1.4384111216165756e-4,0.003049083909801621,9/2058
OUD_vs_Control_Female,WikiPathways,WP_NEUROINFLAMMATION_AND_GLUTAMATERGIC_SIGNALING,3.188276947457411e-5,0.003051636506852093,41/1231
OUD_vs_Control_Female,GO_BP,T cell differentiation involved in immune response,1.5364790938988637e-4,0.003204894979556434,26/2058
OUD_vs_Control_Female,GO_BP,positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,1.74944538353543e-4,0.003461016176293289,31/2058
OUD_vs_Control_Female,GO_BP,astrocyte differentiation,1.848629973007528e-4,0.0035833544628297437,25/2058
OUD_vs_Control_Female,C8_CellType,HE_LIM_SUN_FETAL_LUNG_C7_TM4SF4_POS_PENK_POS_NEURON_CELL,0.0010531245766868687,0.0036258261681365255,30/2407
OUD_vs_Control_Female,GO_CC,neuron spine,1.393970479612284e-4,0.003740487453626295,43/2168
OUD_vs_Control_Female,GO_CC,neuron projection terminus,1.581966310707166e-4,0.003918408861905443,32/2168
OUD_Effect_Male_vs_Female,GO_CC,neuron projection membrane,7.260273405615028e-5,0.003987100145250252,19/1867
OUD_vs_Control_Female,GO_CC,GABA-ergic synapse,1.7106601923847262e-4,0.0040802413477620874,29/2168
OUD_vs_Control_Female,GO_BP,"CD4-positive, alpha-beta T cell differentiation involved in immune response",2.222226875438108e-4,0.004113620617973372,24/2058
OUD_Effect_Male_vs_Female,C8_CellType,HE_LIM_SUN_FETAL_LUNG_C7_PCP4_POS_NEURON_CELL,6.011302290698751e-4,0.004518888643452252,16/2057
OUD_vs_Control_Female,Reactome,Metabolism of carbohydrates and carbohydrate derivatives,2.5266500700442894e-5,0.0046900941925197125,64/1379
OUD_vs_Control_Female,GO_BP,alpha-beta T cell activation involved in immune response,2.71263108258063e-4,0.004760348385157334,24/2058
OUD_vs_Control_Female,GO_BP,alpha-beta T cell differentiation involved in immune response,2.71263108258063e-4,0.004760348385157334,24/2058
OUD_vs_Control_Female,GO_BP,positive regulation of neuron differentiation,2.71263108258063e-4,0.004760348385157334,24/2058
OUD_vs_Control_Female,KEGG,Morphine addiction,5.880919815146774e-5,0.004922491133195136,28/1075
OUD_vs_Control_Female,GO_BP,T cell cytokine production,3.013677763368178e-4,0.005148291656887418,14/2058
OUD_vs_Control_Female,GO_BP,regulation of T cell cytokine production,3.013677763368178e-4,0.005148291656887418,14/2058
OUD_Effect_Male_vs_Female,Hallmark,HALLMARK_APOPTOSIS,5.955957955677085e-4,0.005955957955677085,36/572
OUD_vs_Control_Female,DO,adult respiratory distress syndrome,4.286594051335787e-4,0.006061186983659442,15/1094
OUD_Effect_Male_vs_Female,C8_CellType,HE_LIM_SUN_FETAL_LUNG_C7_TM4SF4_POS_PENK_POS_NEURON_CELL,9.239972277018389e-4,0.006357779089691552,27/2057
OUD_vs_Control_Female,GO_BP,negative regulation of neuron projection development,4.3338280338752307e-4,0.006653292797605254,32/2058
OUD_vs_Control_Female,GO_BP,positive regulation of adaptive immune response,4.549989634736718e-4,0.006911422249915379,31/2058
OUD_vs_Control_Female,C7_Immunologic,GSE1432_CTRL_VS_IFNG_1H_MICROGLIA_DN,8.137992057383273e-4,0.006968066309942233,42/2332
OUD_vs_Control_Female,GO_BP,regulation of innate immune response,4.7281140464509554e-4,0.007048406467720208,86/2058
OUD_vs_Control_Female,GO_BP,sensory perception of pain,4.8004047673484576e-4,0.007048406467720208,22/2058
OUD_vs_Control_Female,GO_BP,positive regulation of cytokine production involved in immune response,4.823818218311207e-4,0.007048406467720208,23/2058
OUD_vs_Control_Female,GO_BP,positive regulation of T cell cytokine production,4.899076608551829e-4,0.007112111412846729,11/2058
OUD_Effect_Male_vs_Female,GO_CC,neuron to neuron synapse,1.7705310794968244e-4,0.007292374883677545,73/1867
OUD_vs_Control_Female,KEGG,Viral protein interaction with cytokine and cytokine receptor,3.0974792157815176e-4,0.00751680142680198,23/1075
OUD_vs_Control_Female,GO_BP,regulation of neurotransmitter transport,5.515227899661789e-4,0.00795768596951201,26/2058
OUD_vs_Control_Female,DO,"autoimmune disease of eyes, ear, nose and throat",6.601206807724401e-4,0.008075762094644657,9/1094
OUD_vs_Control_Female,GO_BP,response to chemokine,5.668549141315523e-4,0.00807768252637462,20/2058
OUD_vs_Control_Female,GO_BP,cellular response to chemokine,5.668549141315523e-4,0.00807768252637462,20/2058
OUD_vs_Control_Female,GO_BP,myeloid cell activation involved in immune response,5.757659437449616e-4,0.00812422680916604,24/2058
OUD_vs_Control_Female,GO_BP,regulation of neuron projection development,6.101641762144577e-4,0.008447914021923833,83/2058
OUD_vs_Control_Female,C8_CellType,ZHONG_PFC_C7_ORG_UNDERGOING_NEURONAL_DIFFERENTIATION,0.002877932327947228,0.008714702711936586,18/2407
OUD_vs_Control_Female,KEGG,Nicotine addiction,4.3709356548600123e-4,0.008741871309720024,15/1075
OUD_Effect_Male_vs_Female,KEGG,Nicotine addiction,4.954448120914663e-5,0.008980880788230233,15/889
OUD_vs_Control_Female,C8_CellType,MENON_FETAL_KIDNEY_10_IMMUNE_CELLS,0.002995511730907444,0.008998469502407222,21/2407
OUD_Effect_Male_vs_Female,KEGG,GABAergic synapse,9.293489823769327e-5,0.009347949329646908,24/889
OUD_Effect_Male_vs_Female,KEGG,Morphine addiction,1.378753588443497e-4,0.009347949329646908,24/889
OUD_vs_Control_Female,GO_BP,forebrain neuron differentiation,6.969307299187609e-4,0.009367934833601505,20/2058
OUD_vs_Control_Female,GO_BP,complement receptor mediated signaling pathway,7.224879392251292e-4,0.009367934833601505,7/2058
OUD_vs_Control_Female,GO_BP,negative regulation of complement activation,7.224879392251292e-4,0.009367934833601505,7/2058
OUD_vs_Control_Female,C7_Immunologic,GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_UP,0.0011662252450598052,0.009453992335992298,43/2332
OUD_Effect_Male_vs_Female,C8_CellType,DESCARTES_FETAL_HEART_VISCERAL_NEURONS,0.0016099018715746737,0.00997873060893393,19/2057
OUD_vs_Control_Female,GO_BP,positive regulation of response to cytokine stimulus,8.124113486094772e-4,0.010347460473329117,18/2058
OUD_vs_Control_Female,GO_BP,neuronal action potential,8.315938971946596e-4,0.010487449619390314,13/2058
OUD_vs_Control_Female,GO_BP,regulation of T-helper 17 type immune response,8.315938971946596e-4,0.010487449619390314,13/2058
OUD_vs_Control_Female,C8_CellType,DESCARTES_FETAL_CEREBRUM_ASTROCYTES,0.0035736801608304753,0.01052560484869601,37/2407
OUD_vs_Control_Female,GO_BP,positive regulation of cytokine-mediated signaling pathway,9.693409030219589e-4,0.011699152156598358,17/2058
OUD_vs_Control_Female,GO_BP,negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,9.693409030219589e-4,0.011699152156598358,17/2058
OUD_vs_Control_Female,GO_BP,lymphocyte activation involved in immune response,9.786231756302782e-4,0.011786472012768853,45/2058
OUD_vs_Control_Female,GO_BP,negative regulation of adaptive immune response,0.001007080476084466,0.012003648655938448,18/2058
OUD_Effect_Male_vs_Female,C8_CellType,HE_LIM_SUN_FETAL_LUNG_C7_SST_POS_NEURON_CELL,0.0021500908744572795,0.012500528339867903,64/2057
OUD_vs_Control_Female,GO_BP,ensheathment of neurons,0.0011215150244421074,0.013123093487221977,36/2058
OUD_vs_Control_Female,GO_BP,axon ensheathment,0.0011215150244421074,0.013123093487221977,36/2058
OUD_vs_Control_Female,C7_Immunologic,GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_DN,0.0018786303282406433,0.013131545135134023,41/2332
OUD_vs_Control_Female,GO_BP,negative regulation of innate immune response,0.0011437079820612376,0.01325093781765742,24/2058
OUD_vs_Control_Female,GO_BP,T-helper 17 type immune response,0.0011531561310832669,0.01325093781765742,16/2058
OUD_vs_Control_Female,C7_Immunologic,GSE14699_DELETIONAL_TOLERANCE_VS_ACTIVATED_CD8_TCELL_UP,0.0019369018714669361,0.013423308560152081,38/2332
OUD_Effect_Male_vs_Female,C8_CellType,DESCARTES_FETAL_EYE_ASTROCYTES,0.002501847687033078,0.013661287675077283,11/2057
OUD_Effect_Male_vs_Female,GO_BP,regulation of synapse organization,7.69307779839341e-5,0.014088258923057866,59/1775
OUD_vs_Control_Female,GO_BP,positive regulation of synapse assembly,0.0012401507146607743,0.014137718147132827,18/2058
OUD_vs_Control_Female,GO_BP,immunoglobulin mediated immune response,0.001310848792664551,0.01470924424122182,30/2058
OUD_vs_Control_Female,C7_Immunologic,GSE29949_MICROGLIA_BRAIN_VS_MONOCYTE_BONE_MARROW_UP,0.0022119053348108276,0.01502985047586939,39/2332
OUD_Effect_Male_vs_Female,C7_Immunologic,GSE16450_CTRL_VS_IFNA_12H_STIM_IMMATURE_NEURON_CELL_LINE_DN,7.159440599259347e-4,0.015034825258444628,35/2013
OUD_vs_Control_Female,GO_BP,negative regulation of cytokine production involved in immune response,0.0013860240169646938,0.015433927012893117,11/2058
OUD_vs_Control_Female,C8_CellType,ZHONG_PFC_C1_ASTROCYTE,0.005773665607125605,0.015437389602030874,10/2407
OUD_Effect_Male_vs_Female,C7_Immunologic,GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_DN,7.789126224491512e-4,0.015878084922896506,38/2013
OUD_vs_Control_Female,WikiPathways,WP_COMPLEMENT_SYSTEM,4.2810289601775937e-4,0.01593494112954993,26/1231
OUD_vs_Control_Female,GO_BP,forebrain generation of neurons,0.001479463400874719,0.016075867421214394,21/2058
OUD_vs_Control_Female,GO_BP,L-glutamate import across plasma membrane,0.001491087864604075,0.016075867421214394,8/2058
OUD_vs_Control_Female,GO_BP,cerebral cortex neuron differentiation,0.0014939359163365815,0.016075867421214394,10/2058
OUD_vs_Control_Female,GO_BP,positive regulation of chemokine production,0.0015205103188411704,0.0162103294547567,19/2058
OUD_vs_Control_Female,C8_CellType,DESCARTES_FETAL_INTESTINE_ENS_NEURONS,0.0061743854260661694,0.016277925214174448,31/2407
OUD_Effect_Male_vs_Female,GO_CC,asymmetric synapse,4.222586074331354e-4,0.016368730723437426,66/1867
OUD_vs_Control_Female,GO_BP,regulation of neuron differentiation,0.0015846459523950992,0.016658691332958796,39/2058
OUD_vs_Control_Female,GO_BP,T-helper 1 type immune response,0.0016119521956776994,0.016842121216908378,14/2058
OUD_Effect_Male_vs_Female,GO_BP,regulation of synapse structure or activity,1.348352924750657e-4,0.017250305295835915,59/1775
OUD_vs_Control_Female,GO_BP,dendrite development,0.0017067965333339814,0.017545762673169877,49/2058
OUD_vs_Control_Female,GO_MF,cytokine binding,3.1784770912716753e-4,0.01779947171112138,33/2121
OUD_Effect_Male_vs_Female,GO_BP,negative regulation of immune system process,1.6246840489113554e-4,0.01784246704022075,85/1775
OUD_Effect_Male_vs_Female,GO_BP,negative regulation of neuron projection development,1.6343284940839866e-4,0.01784246704022075,30/1775
OUD_vs_Control_Female,GO_BP,neuron migration,0.0017667751203908498,0.01784442871594758,39/2058
OUD_vs_Control_Female,KEGG,Starch and sucrose metabolism,0.001171601749435036,0.01810657249126874,12/1075
OUD_vs_Control_Female,GO_CC,neuron projection membrane,0.0014509030103379247,0.0187089164103704,18/2168
OUD_vs_Control_Female,GO_BP,negative regulation of production of molecular mediator of immune response,0.0018892491390768494,0.018720150247272672,13/2058
OUD_vs_Control_Female,GO_CC,axon initial segment,0.0015008984687276126,0.018952521840403577,9/2168
OUD_Effect_Male_vs_Female,WikiPathways,WP_NEUROINFLAMMATION_AND_GLUTAMATERGIC_SIGNALING,5.5999218474108356e-5,0.018955735453485677,35/1002
OUD_Effect_Male_vs_Female,GO_BP,axonogenesis,1.973821609626067e-4,0.019658570662889795,77/1775
OUD_vs_Control_Female,GO_BP,regulation of synapse structure or activity,0.002011289511392746,0.019692166185523875,61/2058
OUD_vs_Control_Female,GO_BP,regulation of synapse organization,0.002024695777603681,0.019789768406900495,60/2058
OUD_vs_Control_Female,C8_CellType,DESCARTES_FETAL_PANCREAS_ENS_NEURONS,0.008139567174414478,0.020188268583909593,30/2407
OUD_vs_Control_Female,GO_BP,neurotransmitter transport,0.00212767695875122,0.02048333821326216,43/2058
OUD_vs_Control_Female,GO_BP,cytokine production involved in inflammatory response,0.002216269772872567,0.020985304411887118,16/2058
OUD_vs_Control_Female,GO_BP,regulation of cytokine production involved in inflammatory response,0.002216269772872567,0.020985304411887118,16/2058
OUD_Effect_Male_vs_Female,GO_BP,positive regulation of neuron differentiation,2.2401923485679633e-4,0.021195953271367213,22/1775
OUD_Effect_Male_vs_Female,GO_CC,dendrite membrane,7.437472030354202e-4,0.021309974208710517,13/1867
OUD_Effect_Male_vs_Female,C8_CellType,ZHONG_PFC_C7_SST_LHX6_POS_PUTATIVE_MIGRATING_INTERNEURON,0.0044446090228537245,0.021368312609873676,6/2057
OUD_vs_Control_Female,Hallmark,HALLMARK_COMPLEMENT,0.004354284914129546,0.021597729719163634,47/703
OUD_vs_Control_Female,C7_Immunologic,GSE16450_CTRL_VS_IFNA_6H_STIM_MATURE_NEURON_CELL_LINE_UP,0.0036691590648055745,0.02190703794575093,39/2332
OUD_vs_Control_Female,GO_BP,excitatory synapse assembly,0.0024245696296543297,0.0222619575086443,13/2058
OUD_vs_Control_Female,GO_BP,regulation of axonogenesis,0.002440057529781372,0.02233292718434238,32/2058
OUD_vs_Control_Female,C8_CellType,ZHONG_PFC_C3_MICROGLIA,0.009336687053973745,0.02256366038043655,86/2407
OUD_Effect_Male_vs_Female,Reactome,Neuronal System,1.771512093897418e-5,0.02361296813099169,77/1194
OUD_vs_Control_Female,GO_CC,excitatory synapse,0.0021016352343594807,0.024164513541377133,19/2168
