"ensembl_gene_id","hgnc_symbol","chromosome_name","gene_biotype"
"ENSG00000004700","RECQL","12","protein_coding"
"ENSG00000004766","VPS50","7","protein_coding"
"ENSG00000004776","HSPB6","19","protein_coding"
"ENSG00000004777","ARHGAP33","19","protein_coding"
"ENSG00000004779","NDUFAB1","16","protein_coding"
"ENSG00000004799","PDK4","7","protein_coding"
"ENSG00000004809","SLC22A16","6","protein_coding"
"ENSG00000004838","ZMYND10","3","protein_coding"
"ENSG00000004846","ABCB5","7","protein_coding"
"ENSG00000004848","ARX","X","protein_coding"
"ENSG00000004864","SLC25A13","7","protein_coding"
"ENSG00000004866","ST7","7","protein_coding"
"ENSG00000004897","CDC27","17","protein_coding"
"ENSG00000004939","SLC4A1","17","protein_coding"
"ENSG00000004948","CALCR","7","protein_coding"
"ENSG00000004961","HCCS","X","protein_coding"
"ENSG00000004975","DVL2","17","protein_coding"
"ENSG00000005007","UPF1","19","protein_coding"
"ENSG00000005020","SKAP2","7","protein_coding"
"ENSG00000005022","SLC25A5","X","protein_coding"
"ENSG00000005059","MCUB","4","protein_coding"
"ENSG00000005075","POLR2J","7","protein_coding"
"ENSG00000005100","DHX33","17","protein_coding"
"ENSG00000005102","MEOX1","17","protein_coding"
"ENSG00000005108","THSD7A","7","protein_coding"
"ENSG00000005156","LIG3","17","protein_coding"
"ENSG00000005175","RPAP3","12","protein_coding"
"ENSG00000005187","ACSM3","16","protein_coding"
"ENSG00000005189","REXO5","16","protein_coding"
"ENSG00000005194","CIAPIN1","16","protein_coding"
"ENSG00000005206","SPPL2B","19","protein_coding"
"ENSG00000005238","ATOSB","9","protein_coding"
"ENSG00000005243","COPZ2","17","protein_coding"
"ENSG00000005249","PRKAR2B","7","protein_coding"
"ENSG00000005302","MSL3","X","protein_coding"
"ENSG00000005339","CREBBP","16","protein_coding"
"ENSG00000005379","TSPOAP1","17","protein_coding"
"ENSG00000005381","MPO","17","protein_coding"
"ENSG00000005421","PON1","7","protein_coding"
"ENSG00000005436","GCFC2","2","protein_coding"
"ENSG00000005448","WDR54","2","protein_coding"
"ENSG00000005469","CROT","7","protein_coding"
"ENSG00000005471","ABCB4","7","protein_coding"
"ENSG00000005483","KMT2E","7","protein_coding"
"ENSG00000005486","RHBDD2","7","protein_coding"
"ENSG00000005513","SOX8","16","protein_coding"
"ENSG00000005700","IBTK","6","protein_coding"
"ENSG00000005801","ZNF195","11","protein_coding"
"ENSG00000005810","MYCBP2","13","protein_coding"
"ENSG00000005812","FBXL3","13","protein_coding"
"ENSG00000005844","ITGAL","16","protein_coding"
"ENSG00000005882","PDK2","17","protein_coding"
"ENSG00000005884","ITGA3","17","protein_coding"
"ENSG00000005889","ZFX","X","protein_coding"
"ENSG00000005893","LAMP2","X","protein_coding"
"ENSG00000005961","ITGA2B","17","protein_coding"
"ENSG00000005981","ASB4","7","protein_coding"
"ENSG00000006007","GDE1","16","protein_coding"
"ENSG00000006015","REX1BD","19","protein_coding"
"ENSG00000006016","CRLF1","19","protein_coding"
"ENSG00000006025","OSBPL7","17","protein_coding"
"ENSG00000006042","TMEM98","17","protein_coding"
"ENSG00000006047","YBX2","17","protein_coding"
"ENSG00000006062","MAP3K14","17","protein_coding"
"ENSG00000006071","ABCC8","11","protein_coding"
"ENSG00000006116","CACNG3","16","protein_coding"
"ENSG00000006118","TMEM132A","11","protein_coding"
"ENSG00000006125","AP2B1","17","protein_coding"
"ENSG00000006128","TAC1","7","protein_coding"
"ENSG00000006194","ZNF263","16","protein_coding"
"ENSG00000006210","CX3CL1","16","protein_coding"
"ENSG00000006282","SPATA20","17","protein_coding"
"ENSG00000006283","CACNA1G","17","protein_coding"
"ENSG00000006327","TNFRSF12A","16","protein_coding"
"ENSG00000006377","DLX6","7","protein_coding"
"ENSG00000006432","MAP3K9","14","protein_coding"
"ENSG00000006451","RALA","7","protein_coding"
"ENSG00000006453","BAIAP2L1","7","protein_coding"
"ENSG00000006459","KDM7A","7","protein_coding"
"ENSG00000006468","ETV1","7","protein_coding"
"ENSG00000006530","AGK","7","protein_coding"
"ENSG00000006534","ALDH3B1","11","protein_coding"
"ENSG00000006555","TTC22","1","protein_coding"
"ENSG00000006576","PHTF2","7","protein_coding"
"ENSG00000006606","CCL26","7","protein_coding"
"ENSG00000006607","FARP2","2","protein_coding"
"ENSG00000006611","USH1C","11","protein_coding"
"ENSG00000006625","GGCT","7","protein_coding"
"ENSG00000006634","DBF4","7","protein_coding"
"ENSG00000006638","TBXA2R","19","protein_coding"
"ENSG00000006652","IFRD1","7","protein_coding"
"ENSG00000006659","LGALS14","19","protein_coding"
"ENSG00000006695","COX10","17","protein_coding"
"ENSG00000006704","GTF2IRD1","7","protein_coding"
"ENSG00000006712","PAF1","19","protein_coding"
"ENSG00000006715","VPS41","7","protein_coding"
"ENSG00000006740","ARHGAP44","17","protein_coding"
"ENSG00000006744","ELAC2","17","protein_coding"
"ENSG00000006747","SCIN","7","protein_coding"
"ENSG00000006756","ARSD","X","protein_coding"
"ENSG00000006757","PNPLA4","X","protein_coding"
"ENSG00000006788","MYH13","17","protein_coding"
"ENSG00000006831","ADIPOR2","12","protein_coding"
"ENSG00000006837","CDKL3","5","protein_coding"
"ENSG00000007001","UPP2","2","protein_coding"
"ENSG00000007038","PRSS21","16","protein_coding"
"ENSG00000007047","MARK4","19","protein_coding"
"ENSG00000007062","PROM1","4","protein_coding"
"ENSG00000007080","CCDC124","19","protein_coding"
"ENSG00000007129","CEACAM21","19","protein_coding"
"ENSG00000007168","PAFAH1B1","17","protein_coding"
"ENSG00000007171","NOS2","17","protein_coding"
"ENSG00000007174","DNAH9","17","protein_coding"
"ENSG00000007202","BLTP2","17","protein_coding"
"ENSG00000007216","SLC13A2","17","protein_coding"
"ENSG00000007237","GAS7","17","protein_coding"
"ENSG00000007255","TRAPPC6A","19","protein_coding"
"ENSG00000007264","MATK","19","protein_coding"
"ENSG00000007312","CD79B","17","protein_coding"
"ENSG00000007314","SCN4A","17","protein_coding"
"ENSG00000007341","ST7L","1","protein_coding"
"ENSG00000007350","TKTL1","X","protein_coding"
"ENSG00000007372","PAX6","11","protein_coding"
"ENSG00000007376","RPUSD1","16","protein_coding"
"ENSG00000007384","RHBDF1","16","protein_coding"
"ENSG00000007392","LUC7L","16","protein_coding"
"ENSG00000007402","CACNA2D2","3","protein_coding"
"ENSG00000007516","BAIAP3","16","protein_coding"
"ENSG00000007520","TSR3","16","protein_coding"
"ENSG00000007541","PIGQ","16","protein_coding"
"ENSG00000007545","CRAMP1","16","protein_coding"
"ENSG00000007866","TEAD3","6","protein_coding"
"ENSG00000007908","SELE","1","protein_coding"
"ENSG00000007923","DNAJC11","1","protein_coding"
"ENSG00000007933","FMO3","1","protein_coding"
"ENSG00000007944","MYLIP","6","protein_coding"
"ENSG00000007952","NOX1","X","protein_coding"
"ENSG00000008018","PSMB1","6","protein_coding"
"ENSG00000008056","SYN1","X","protein_coding"
"ENSG00000008083","JARID2","6","protein_coding"
"ENSG00000008086","CDKL5","X","protein_coding"
"ENSG00000008118","CAMK1G","1","protein_coding"
"ENSG00000008128","CDK11A","1","protein_coding"
"ENSG00000008130","NADK","1","protein_coding"
"ENSG00000008196","TFAP2B","6","protein_coding"
"ENSG00000008197","TFAP2D","6","protein_coding"
"ENSG00000008226","DLEC1","3","protein_coding"
"ENSG00000008256","CYTH3","7","protein_coding"
"ENSG00000008277","ADAM22","7","protein_coding"
"ENSG00000008282","SYPL1","7","protein_coding"
"ENSG00000008283","CYB561","17","protein_coding"
"ENSG00000008294","SPAG9","17","protein_coding"
"ENSG00000008300","CELSR3","3","protein_coding"
"ENSG00000008311","AASS","7","protein_coding"
"ENSG00000008323","PLEKHG6","12","protein_coding"
"ENSG00000008324","SS18L2","3","protein_coding"
"ENSG00000008382","MPND","19","protein_coding"
"ENSG00000008394","MGST1","12","protein_coding"
"ENSG00000008405","CRY1","12","protein_coding"
"ENSG00000008438","PGLYRP1","19","protein_coding"
"ENSG00000008441","NFIX","19","protein_coding"
"ENSG00000008513","ST3GAL1","8","protein_coding"
"ENSG00000008516","MMP25","16","protein_coding"
"ENSG00000008517","IL32","16","protein_coding"
"ENSG00000008710","PKD1","16","protein_coding"
"ENSG00000008735","MAPK8IP2","22","protein_coding"
"ENSG00000008838","MED24","17","protein_coding"
"ENSG00000008853","RHOBTB2","8","protein_coding"
"ENSG00000008869","HEATR5B","2","protein_coding"
"ENSG00000008952","SEC62","3","protein_coding"
"ENSG00000008988","RPS20","8","protein_coding"
"ENSG00000009307","CSDE1","1","protein_coding"
"ENSG00000009335","UBE3C","7","protein_coding"
"ENSG00000009413","REV3L","6","protein_coding"
"ENSG00000009694","TENM1","X","protein_coding"
"ENSG00000009709","PAX7","1","protein_coding"
"ENSG00000009724","MASP2","1","protein_coding"
"ENSG00000009765","IYD","6","protein_coding"
"ENSG00000009780","FAM76A","1","protein_coding"
"ENSG00000009790","TRAF3IP3","1","protein_coding"
"ENSG00000009830","POMT2","14","protein_coding"
"ENSG00000009844","VTA1","6","protein_coding"
"ENSG00000009950","MLXIPL","7","protein_coding"
"ENSG00000009954","BAZ1B","7","protein_coding"
"ENSG00000010017","RANBP9","6","protein_coding"
"ENSG00000010030","ETV7","6","protein_coding"
"ENSG00000010072","SPRTN","1","protein_coding"
"ENSG00000010165","METTL13","1","protein_coding"
"ENSG00000010219","DYRK4","12","protein_coding"
"ENSG00000010244","ZNF207","17","protein_coding"
"ENSG00000010256","UQCRC1","3","protein_coding"
"ENSG00000010270","STARD3NL","7","protein_coding"
"ENSG00000010278","CD9","12","protein_coding"
"ENSG00000010282","HHATL","3","protein_coding"
"ENSG00000010292","NCAPD2","12","protein_coding"
"ENSG00000010295","IFFO1","12","protein_coding"
"ENSG00000010310","GIPR","19","protein_coding"
"ENSG00000010318","PHF7","3","protein_coding"
"ENSG00000010319","SEMA3G","3","protein_coding"
"ENSG00000010322","NISCH","3","protein_coding"
"ENSG00000010327","STAB1","3","protein_coding"
"ENSG00000010361","FUZ","19","protein_coding"
"ENSG00000010379","SLC6A13","12","protein_coding"
"ENSG00000010404","IDS","X","protein_coding"
"ENSG00000010438","PRSS3","9","protein_coding"
"ENSG00000010539","ZNF200","16","protein_coding"
"ENSG00000010610","CD4","12","protein_coding"
"ENSG00000010626","LRRC23","12","protein_coding"
"ENSG00000010671","BTK","X","protein_coding"
"ENSG00000010704","HFE","6","protein_coding"
"ENSG00000010803","SCMH1","1","protein_coding"
"ENSG00000010810","FYN","6","protein_coding"
"ENSG00000010818","HIVEP2","6","protein_coding"
"ENSG00000010932","FMO1","1","protein_coding"
"ENSG00000011007","ELOA","1","protein_coding"
"ENSG00000011009","LYPLA2","1","protein_coding"
"ENSG00000011021","CLCN6","1","protein_coding"
"ENSG00000011028","MRC2","17","protein_coding"
"ENSG00000011083","SLC6A7","5","protein_coding"
"ENSG00000011105","TSPAN9","12","protein_coding"
"ENSG00000011114","BTBD7","14","protein_coding"
"ENSG00000011132","APBA3","19","protein_coding"
"ENSG00000011143","MKS1","17","protein_coding"
"ENSG00000011198","ABHD5","3","protein_coding"
"ENSG00000011201","ANOS1","X","protein_coding"
"ENSG00000011243","AKAP8L","19","protein_coding"
"ENSG00000011258","MBTD1","17","protein_coding"
"ENSG00000011260","UTP18","17","protein_coding"
"ENSG00000011275","RNF216","7","protein_coding"
"ENSG00000011295","TTC19","17","protein_coding"
"ENSG00000011304","PTBP1","19","protein_coding"
"ENSG00000011332","DPF1","19","protein_coding"
"ENSG00000011347","SYT7","11","protein_coding"
"ENSG00000011376","LARS2","3","protein_coding"
"ENSG00000011405","PIK3C2A","11","protein_coding"
"ENSG00000011422","PLAUR","19","protein_coding"
"ENSG00000011426","ANLN","7","protein_coding"
"ENSG00000011451","WIZ","19","protein_coding"
"ENSG00000011454","RABGAP1","9","protein_coding"
"ENSG00000011465","DCN","12","protein_coding"
"ENSG00000011478","QPCTL","19","protein_coding"
"ENSG00000011485","PPP5C","19","protein_coding"
"ENSG00000011523","CEP68","2","protein_coding"
"ENSG00000011566","MAP4K3","2","protein_coding"
"ENSG00000011590","ZBTB32","19","protein_coding"
"ENSG00000011600","TYROBP","19","protein_coding"
"ENSG00000011638","LDAF1","16","protein_coding"
"ENSG00000011677","GABRA3","X","protein_coding"
"ENSG00000012048","BRCA1","17","protein_coding"
"ENSG00000012061","ERCC1","19","protein_coding"
"ENSG00000012124","CD22","19","protein_coding"
"ENSG00000012171","SEMA3B","3","protein_coding"
"ENSG00000012174","MBTPS2","X","protein_coding"
"ENSG00000012211","PRICKLE3","X","protein_coding"
"ENSG00000012223","LTF","3","protein_coding"
"ENSG00000012232","EXTL3","8","protein_coding"
"ENSG00000012504","NR1H4","12","protein_coding"
"ENSG00000012660","ELOVL5","6","protein_coding"
"ENSG00000012779","ALOX5","10","protein_coding"
"ENSG00000012817","KDM5D","Y","protein_coding"
"ENSG00000012822","CALCOCO1","12","protein_coding"
"ENSG00000012963","UBR7","14","protein_coding"
"ENSG00000012983","MAP4K5","14","protein_coding"
"ENSG00000013016","EHD3","2","protein_coding"
"ENSG00000013275","PSMC4","19","protein_coding"
"ENSG00000013288","MAN2B2","4","protein_coding"
"ENSG00000013293","SLC7A14","3","protein_coding"
"ENSG00000013297","CLDN11","3","protein_coding"
"ENSG00000013306","SLC25A39","17","protein_coding"
"ENSG00000013364","MVP","16","protein_coding"
"ENSG00000013374","NUB1","7","protein_coding"
"ENSG00000013375","PGM3","6","protein_coding"
"ENSG00000013392","RWDD2A","6","protein_coding"
"ENSG00000013441","CLK1","2","protein_coding"
"ENSG00000013503","POLR3B","12","protein_coding"
"ENSG00000013523","ANGEL1","14","protein_coding"
"ENSG00000013561","RNF14","5","protein_coding"
"ENSG00000013563","DNASE1L1","X","protein_coding"
"ENSG00000013573","DDX11","12","protein_coding"
"ENSG00000013583","HEBP1","12","protein_coding"
"ENSG00000013588","GPRC5A","12","protein_coding"
"ENSG00000013619","MAMLD1","X","protein_coding"
"ENSG00000013725","CD6","11","protein_coding"
"ENSG00000013810","TACC3","4","protein_coding"
"ENSG00000014123","UFL1","6","protein_coding"
"ENSG00000014138","POLA2","11","protein_coding"
"ENSG00000014164","ZC3H3","8","protein_coding"
"ENSG00000014216","CAPN1","11","protein_coding"
"ENSG00000014257","ACP3","3","protein_coding"
"ENSG00000014641","MDH1","2","protein_coding"
"ENSG00000014824","SLC30A9","4","protein_coding"
"ENSG00000014914","MTMR11","1","protein_coding"
"ENSG00000014919","COX15","10","protein_coding"
"ENSG00000015133","CCDC88C","14","protein_coding"
"ENSG00000015153","YAF2","12","protein_coding"
"ENSG00000015171","ZMYND11","10","protein_coding"
"ENSG00000015285","WAS","X","protein_coding"
"ENSG00000015413","DPEP1","16","protein_coding"
"ENSG00000015475","BID","22","protein_coding"
"ENSG00000015479","MATR3","5","protein_coding"
"ENSG00000015520","NPC1L1","7","protein_coding"
"ENSG00000015532","XYLT2","17","protein_coding"
"ENSG00000015568","RGPD5","2","protein_coding"
"ENSG00000015592","STMN4","8","protein_coding"
"ENSG00000015676","NUDCD3","7","protein_coding"
"ENSG00000016082","ISL1","5","protein_coding"
"ENSG00000016391","CHDH","3","protein_coding"
"ENSG00000016402","IL20RA","6","protein_coding"
"ENSG00000016490","CLCA1","1","protein_coding"
"ENSG00000016602","CLCA4","1","protein_coding"
"ENSG00000016864","GLT8D1","3","protein_coding"
"ENSG00000017260","ATP2C1","3","protein_coding"
"ENSG00000017427","IGF1","12","protein_coding"
"ENSG00000017483","SLC38A5","X","protein_coding"
"ENSG00000017797","RALBP1","18","protein_coding"
"ENSG00000018189","RUFY3","4","protein_coding"
"ENSG00000018236","CNTN1","12","protein_coding"
"ENSG00000018280","SLC11A1","2","protein_coding"
"ENSG00000018408","WWTR1","3","protein_coding"
"ENSG00000018510","AGPS","2","protein_coding"
"ENSG00000018607","ZNF285CP","2","transcribed_unprocessed_pseudogene"
"ENSG00000018610","STEEP1","X","protein_coding"
"ENSG00000018625","ATP1A2","1","protein_coding"
"ENSG00000018699","TTC27","2","protein_coding"
"ENSG00000018869","ZNF582","19","protein_coding"
"ENSG00000019102","VSIG2","11","protein_coding"
"ENSG00000019144","PHLDB1","11","protein_coding"
"ENSG00000019169","MARCO","2","protein_coding"
"ENSG00000019186","CYP24A1","20","protein_coding"
"ENSG00000019485","PRDM11","11","protein_coding"
"ENSG00000019505","SYT13","11","protein_coding"
"ENSG00000019549","SNAI2","8","protein_coding"
"ENSG00000019582","CD74","5","protein_coding"
"ENSG00000019991","HGF","7","protein_coding"
"ENSG00000019995","ZRANB1","10","protein_coding"
"ENSG00000020129","NCDN","1","protein_coding"
"ENSG00000020181","ADGRA2","8","protein_coding"
"ENSG00000020219","CCT8L1P","7","processed_pseudogene"
"ENSG00000020256","ZFP64","20","protein_coding"
"ENSG00000020426","MNAT1","14","protein_coding"
"ENSG00000020577","SAMD4A","14","protein_coding"
"ENSG00000020633","RUNX3","1","protein_coding"
"ENSG00000020922","MRE11","11","protein_coding"
"ENSG00000021300","PLEKHB1","11","protein_coding"
"ENSG00000021355","SERPINB1","6","protein_coding"
"ENSG00000021461","CYP3A43","7","protein_coding"
"ENSG00000021488","SLC7A9","19","protein_coding"
"ENSG00000021574","SPAST","2","protein_coding"
"ENSG00000021645","NRXN3","14","protein_coding"
"ENSG00000021762","OSBPL5","11","protein_coding"
"ENSG00000021776","AQR","15","protein_coding"
"ENSG00000021826","CPS1","2","protein_coding"
"ENSG00000021852","C8B","1","protein_coding"
"ENSG00000022267","FHL1","X","protein_coding"
"ENSG00000022277","RTF2","20","protein_coding"
"ENSG00000022355","GABRA1","5","protein_coding"
"ENSG00000022556","NLRP2","19","protein_coding"
"ENSG00000022567","SLC45A4","8","protein_coding"
"ENSG00000022840","RNF10","12","protein_coding"
"ENSG00000022976","ZNF839","14","protein_coding"
"ENSG00000023041","ZDHHC6","10","protein_coding"
"ENSG00000023171","GRAMD1B","11","protein_coding"
"ENSG00000023191","RNH1","11","protein_coding"
"ENSG00000023228","NDUFS1","2","protein_coding"
"ENSG00000023287","RB1CC1","8","protein_coding"
"ENSG00000023318","ERP44","9","protein_coding"
"ENSG00000023330","ALAS1","3","protein_coding"
"ENSG00000023445","BIRC3","11","protein_coding"
"ENSG00000023516","AKAP11","13","protein_coding"
"ENSG00000023572","GLRX2","1","protein_coding"
"ENSG00000023608","SNAPC1","14","protein_coding"
"ENSG00000023697","DERA","12","protein_coding"
"ENSG00000023734","STRAP","12","protein_coding"
"ENSG00000023839","ABCC2","10","protein_coding"
"ENSG00000023892","DEF6","6","protein_coding"
"ENSG00000023902","PLEKHO1","1","protein_coding"
"ENSG00000023909","GCLM","1","protein_coding"
"ENSG00000024048","UBR2","6","protein_coding"
"ENSG00000024422","EHD2","19","protein_coding"
"ENSG00000024526","DEPDC1","1","protein_coding"
"ENSG00000024862","CCDC28A","6","protein_coding"
"ENSG00000025039","RRAGD","6","protein_coding"
"ENSG00000025156","HSF2","6","protein_coding"
"ENSG00000025293","PHF20","20","protein_coding"
"ENSG00000025423","HSD17B6","12","protein_coding"
"ENSG00000025434","NR1H3","11","protein_coding"
"ENSG00000025708","TYMP","22","protein_coding"
"ENSG00000025770","NCAPH2","22","protein_coding"
"ENSG00000025772","TOMM34","20","protein_coding"
"ENSG00000025796","SEC63","6","protein_coding"
"ENSG00000025800","KPNA6","1","protein_coding"
"ENSG00000026025","VIM","10","protein_coding"
"ENSG00000026036","RTEL1-TNFRSF6B","20","protein_coding"
"ENSG00000026103","FAS","10","protein_coding"
"ENSG00000026297","RNASET2","6","protein_coding"
"ENSG00000026508","CD44","11","protein_coding"
"ENSG00000026559","KCNG1","20","protein_coding"
"ENSG00000026652","AGPAT4","6","protein_coding"
"ENSG00000026751","SLAMF7","1","protein_coding"
"ENSG00000026950","BTN3A1","6","protein_coding"
"ENSG00000027001","MIPEP","13","protein_coding"
"ENSG00000027075","PRKCH","14","protein_coding"
"ENSG00000027644","INSRR","1","protein_coding"
"ENSG00000027697","IFNGR1","6","protein_coding"
"ENSG00000027847","B4GALT7","5","protein_coding"
"ENSG00000027869","SH2D2A","1","protein_coding"
"ENSG00000028116","VRK2","2","protein_coding"
"ENSG00000028137","TNFRSF1B","1","protein_coding"
"ENSG00000028203","VEZT","12","protein_coding"
"ENSG00000028277","POU2F2","19","protein_coding"
"ENSG00000028310","BRD9","5","protein_coding"
"ENSG00000028528","SNX1","15","protein_coding"
"ENSG00000028839","TBPL1","6","protein_coding"
"ENSG00000029153","BMAL2","12","protein_coding"
"ENSG00000029363","BCLAF1","6","protein_coding"
"ENSG00000029364","SLC39A9","14","protein_coding"
"ENSG00000029534","ANK1","8","protein_coding"
"ENSG00000029559","IBSP","4","protein_coding"
"ENSG00000029639","TFB1M","6","protein_coding"
"ENSG00000029725","RABEP1","17","protein_coding"
"ENSG00000029993","HMGB3","X","protein_coding"
"ENSG00000030066","NUP160","11","protein_coding"
"ENSG00000030110","BAK1","6","protein_coding"
"ENSG00000030304","MUSK","9","protein_coding"
"ENSG00000030419","IKZF2","2","protein_coding"
"ENSG00000030582","GRN","17","protein_coding"
"ENSG00000031003","FAM13B","5","protein_coding"
"ENSG00000031081","ARHGAP31","3","protein_coding"
"ENSG00000031691","CENPQ","6","protein_coding"
"ENSG00000031698","SARS1","1","protein_coding"
"ENSG00000031823","RANBP3","19","protein_coding"
"ENSG00000032219","ARID4A","14","protein_coding"
"ENSG00000032389","EIPR1","2","protein_coding"
"ENSG00000032444","PNPLA6","19","protein_coding"
"ENSG00000032742","IFT88","13","protein_coding"
"ENSG00000033011","ALG1","16","protein_coding"
"ENSG00000033030","ZCCHC8","12","protein_coding"
"ENSG00000033050","ABCF2","7","protein_coding"
"ENSG00000033100","CHPF2","7","protein_coding"
"ENSG00000033122","LRRC7","1","protein_coding"
"ENSG00000033170","FUT8","14","protein_coding"
"ENSG00000033178","UBA6","4","protein_coding"
"ENSG00000033327","GAB2","11","protein_coding"
"ENSG00000033627","ATP6V0A1","17","protein_coding"
"ENSG00000033800","PIAS1","15","protein_coding"
"ENSG00000033867","SLC4A7","3","protein_coding"
"ENSG00000034053","APBA2","15","protein_coding"
"ENSG00000034152","MAP2K3","17","protein_coding"
"ENSG00000034239","CLXN","8","protein_coding"
"ENSG00000034510","TMSB10","2","protein_coding"
"ENSG00000034533","ASTE1","3","protein_coding"
"ENSG00000034677","RNF19A","8","protein_coding"
"ENSG00000034693","PEX3","6","protein_coding"
"ENSG00000034713","GABARAPL2","16","protein_coding"
"ENSG00000034971","MYOC","1","protein_coding"
"ENSG00000035115","SH3YL1","2","protein_coding"
"ENSG00000035141","FAM136A","2","protein_coding"
"ENSG00000035403","VCL","10","protein_coding"
"ENSG00000035499","DEPDC1B","5","protein_coding"
"ENSG00000035664","DAPK2","15","protein_coding"
"ENSG00000035681","NSMAF","8","protein_coding"
"ENSG00000035687","ADSS2","1","protein_coding"
"ENSG00000035720","STAP1","4","protein_coding"
"ENSG00000035862","TIMP2","17","protein_coding"
"ENSG00000035928","RFC1","4","protein_coding"
"ENSG00000036054","TBC1D23","3","protein_coding"
"ENSG00000036257","CUL3","2","protein_coding"
"ENSG00000036448","MYOM2","8","protein_coding"
"ENSG00000036473","OTC","X","protein_coding"
"ENSG00000036530","CYP46A1","14","protein_coding"
"ENSG00000036549","ZZZ3","1","protein_coding"
"ENSG00000036565","SLC18A1","8","protein_coding"
"ENSG00000036672","USP2","11","protein_coding"
"ENSG00000036828","CASR","3","protein_coding"
"ENSG00000037042","TUBG2","17","protein_coding"
"ENSG00000037241","RPL26L1","5","protein_coding"
"ENSG00000037280","FLT4","5","protein_coding"
"ENSG00000037474","NSUN2","5","protein_coding"
"ENSG00000037637","FBXO42","1","protein_coding"
"ENSG00000037749","MFAP3","5","protein_coding"
"ENSG00000037757","MRI1","19","protein_coding"
"ENSG00000037897","METTL1","12","protein_coding"
"ENSG00000038002","AGA","4","protein_coding"
"ENSG00000038210","PI4K2B","4","protein_coding"
"ENSG00000038219","BOD1L1","4","protein_coding"
"ENSG00000038274","MAT2B","5","protein_coding"
"ENSG00000038295","TLL1","4","protein_coding"
"ENSG00000038358","EDC4","16","protein_coding"
"ENSG00000038382","TRIO","5","protein_coding"
"ENSG00000038427","VCAN","5","protein_coding"
"ENSG00000038532","CLEC16A","16","protein_coding"
"ENSG00000038945","MSR1","8","protein_coding"
"ENSG00000039068","CDH1","16","protein_coding"
"ENSG00000039123","MTREX","5","protein_coding"
"ENSG00000039139","DNAH5","5","protein_coding"
"ENSG00000039319","ZFYVE16","5","protein_coding"
"ENSG00000039523","RIPOR1","16","protein_coding"
"ENSG00000039537","C6","5","protein_coding"
"ENSG00000039560","RAI14","5","protein_coding"
"ENSG00000039600","SOX30","5","protein_coding"
"ENSG00000039650","PNKP","19","protein_coding"
"ENSG00000039987","BEST2","19","protein_coding"
"ENSG00000040199","PHLPP2","16","protein_coding"
"ENSG00000040275","SPDL1","5","protein_coding"
"ENSG00000040341","STAU2","8","protein_coding"
