category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,fold_enrichment,ci_lower,ci_upper
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,30/1075,103/7103,0.2912621359223301,1.9244976292616842,3.9910148013852154,1.9786315587528758e-4,0.006115770272508889,0.004582094136059292,TLR2/SELPLG/ITGB3/C3/FCGR2A/SYK/CASP4/SIGLEC9/FCGR1A/CYBB/TLR7/PLCB1/FCGR3A/FPR1/HDAC4/CLCN5/NCF2/CASP1/ACTG1/CR1/PPIF/C5AR1/FCGR3B/GSDMD/PLCB2/PIK3R3/PLCB4/ACTB/PIK3CD/GP1BA,30,5.284714382479115,3.5028446319903197,7.973007380722104
Human Diseases,Cardiovascular disease,hsa05412,Arrhythmogenic right ventricular cardiomyopathy,26/1075,86/7103,0.3023255813953488,1.9975987020010815,3.930405031106812,2.7067942887088104e-4,0.00751680142680198,0.005631783112340803,CACNB4/SGCZ/CTNNA1/SLC8A3/ITGB3/LMNA/SLC8A1/CACNA2D4/ITGB4/GJA1/DMD/CACNA1D/LAMA1/CACNG3/ITGA4/ACTG1/SNTA1/SGCD/TCF7L2/LAMA2/DES/CACNG4/ACTB/ITGB7/CTNNA2/CACNG2,26,5.485451595457003,3.5224660804710197,8.542361663303273
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,23/1075,73/7103,0.3150684931506849,2.0817967505575026,3.9231723208435385,3.0974792157815176e-4,0.00751680142680198,0.005631783112340803,CX3CR1/CXCL12/CSF1R/TNFRSF10D/CCL3/CCL2/ACKR3/TNFSF10/TNFRSF10C/CCL8/IL18/CX3CL1/CXCL8/TNF/CSF1/IL10RA/TNFRSF1B/TNFRSF10A/CCL4/CCL4L2/CCR1/TNFRSF10B/CCL3L1,23,5.716661357120102,3.5633829231198884,9.17112131282747
Human Diseases,Cardiovascular disease,hsa05414,Dilated cardiomyopathy,29/1075,101/7103,0.2871287128712871,1.8971862767672114,3.8347777602413955,3.2859721997357074e-4,0.00751680142680198,0.005631783112340803,CACNB4/SGCZ/SLC8A3/ITGB3/LMNA/IGF1/SLC8A1/CACNA2D4/TPM4/ITGB4/DMD/CACNA1D/TGFB3/ADCY3/LAMA1/CACNG3/ITGA4/TNF/ACTG1/SNTA1/SGCD/ADRB1/ADCY7/LAMA2/DES/CACNG4/ACTB/ITGB7/CACNG2,29,5.209716785632052,3.4317239613836983,7.908896313313277
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,26/1075,87/7103,0.2988505747126437,1.97463779738038,3.8624781011030804,3.3162359235891086e-4,0.00751680142680198,0.005631783112340803,CSF2RA/CD55/CSF1R/ITGB3/IL1B/CD14/TFRC/HLA-DMB/CD59/IL4R/FCGR1A/CD9/CD4/CR2/CSF3R/ITGA4/TNF/CSF1/HLA-DRB5/KIT/CR1/CD38/CSF3/HLA-DQA2/GP1BA/CD37,26,5.4224004276931295,3.483997994512232,8.439277647277477
Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,23/1075,74/7103,0.3108108108108108,2.053664362036455,3.8475061589194564,3.8632755544172034e-4,0.008209460553136557,0.006150741343216864,TLR2/FOS/C3/IL1B/HLA-DMB/IFNGR1/FCGR2A/NFKBIA/FCGR1A/CYBB/TGFB3/FCGR3A/ITGA4/TNF/HLA-DRB5/NCF2/CR1/FCGR3B/IL12B/PTGS2/EEF1A1/STAT1/HLA-DQA2,23,5.639409176618479,3.5178765538442036,9.040378584795889
Human Diseases,Substance dependence,hsa05033,Nicotine addiction,15/1075,40/7103,0.375,2.4777906976744184,3.9578220640821864,4.3709356548600123e-4,0.008741871309720024,0.006549637328025531,GABRB1/CACNA1A/GABRG1/GRIN1/GABRD/GABRG3/GABRA2/GABRG2/GABRA4/SLC32A1/GRIA1/GRIA4/GABRB3/GRIN2B/SLC17A8,15,6.80406976744186,3.746915473458264,12.355593748552703
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,47/1075,195/7103,0.24102564102564103,1.5925629099582588,3.543101141551229,5.75489344967102e-4,0.010870354293823038,0.008144352133452555,TLR2/STAT3/FOS/MAP3K5/IL1B/CD14/ERO1A/XBP1/NFKBIA/NLRP3/CCL3/BCL2L1/CAMK2G/CCL2/CYBB/PLCB1/TNFSF10/IKBKE/HSPA6/MAP2K3/IL18/CXCL8/TNF/CAMK2D/EIF2AK3/NCF2/HSPD1/PPARG/CASP1/LY96/TNFRSF10A/VAV3/IL12B/SELE/PLCB2/ICAM1/PIK3R3/PLCB4/HSPA1A/HSPA1B/CASP8/PIK3CD/ITPR1/RXRG/BID/TNFRSF10B/CCL3L1,47,4.373214072748956,3.1618003654430935,6.048769408440923
Organismal Systems,Immune system,hsa04620,Toll-like receptor signaling pathway,26/1075,93/7103,0.27956989247311825,1.847241810452613,3.472944069118279,0.0010190759201539597,0.017731707479707717,0.013285056377985353,TLR2/FOS/IL1B/CD14/CD86/IFNAR2/SPP1/NFKBIA/CCL3/TLR7/IRF5/IKBKE/MAP2K3/CXCL8/TNF/LY96/IL12B/CCL4/STAT1/PIK3R3/CASP8/PIK3CD/MAP3K8/CCL4L2/IRF9/CCL3L1,26,5.072568142035508,3.2697741796203212,7.869334743655412
Human Diseases,Infectious disease: bacterial,hsa05134,Legionellosis,18/1075,56/7103,0.32142857142857145,2.123820598006645,3.56530599856147,0.0010478518359873872,0.017731707479707717,0.013285056377985353,TLR2/C3/IL1B/CD14/NFKBIA/BNIP3/HSPA6/IL18/CXCL8/TNF/HSPD1/CASP1/CR1/IL12B/EEF1A1/HSPA1A/HSPA1B/CASP8,18,5.832059800664452,3.417038927679543,9.953916896587396
Environmental Information Processing,Signal transduction,hsa04630,JAK-STAT signaling pathway,34/1075,133/7103,0.2556390977443609,1.6891204756076237,3.387759172894902,0.001095193697276065,0.017731707479707717,0.013285056377985353,CSF2RA/SOCS3/STAT3/JAK3/SOCS6/CDKN1A/IFNAR2/PTPN2/OSM/IL13RA1/PIM1/IL27/IFNGR1/PDGFRA/LIFR/IL4R/BCL2L1/PDGFA/CCND3/IL21R/CSF3R/MCL1/CCND1/IL10RA/IL12B/PDGFRB/CNTFR/CSF3/PDGFB/STAT1/PIK3R3/PIK3CD/LEP/IRF9,34,4.638363350236054,3.1668252253405145,6.793685485595337
Metabolism,Carbohydrate metabolism,hsa00500,Starch and sucrose metabolism,12/1075,31/7103,0.3870967741935484,2.5577194298574644,3.6703451168820638,0.001171601749435036,0.01810657249126874,0.013565914993458314,PYGL/HK2/ENPP1/MGAM/PYGM/PGM2/GYS1/GPI/HKDC1/HK1/GBE1/ENPP3,12,7.023555888972243,3.5968960419141798,13.71469643567021
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,62/1075,285/7103,0.21754385964912282,1.4374084047327622,3.182650866108474,0.0014935083902449938,0.02124382202317908,0.015916423930679068,CACNB4/FGF20/FGFR3/STK3/FOS/NGFR/EFNA1/VEGFA/MAP3K5/CSF1R/IL1B/CD14/GADD45B/IGF1/MEF2C/IL1RAP/CACNA1A/PLA2G4A/PDGFRA/EFNA5/CACNA2D4/CACNA1D/DUSP1/TGFB3/GADD45A/TGFBR1/PDGFA/RASGRP3/HSPA6/DUSP3/MAP2K3/PPM1B/FGF22/CACNG3/RASGRF1/TNF/TGFBR2/PTPN5/MAP3K1/GNA12/CSF1/FLNA/KIT/GDNF/IGF1R/ARRB2/PDGFRB/ANGPT4/MET/VEGFD/PDGFB/CACNG4/HSPA1A/HSPA1B/EPHA2/MAP3K8/NR4A1/PTPRR/AREG/CACNG2/TRADD/DUSP6,62,3.9471562627498975,2.9788897873002833,5.230150718897749
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,69/1075,324/7103,0.21296296296296297,1.4071403962101636,3.167683827831484,0.0014995639075185234,0.02124382202317908,0.015916423930679068,TLR2/FGF20/FGFR3/NGFR/JAK3/EFNA1/VEGFA/CDKN1A/CSF1R/SGK1/ITGB3/IGF1/LPAR5/IFNAR2/OSM/SPP1/COL9A1/PDGFRA/EFNA5/COL4A1/IL4R/ITGB4/PIK3R5/SYK/BCL2L1/SGK2/DDIT4/GNB3/LPAR4/PDGFA/CCND3/PCK1/MAGI1/LAMA1/PIK3CG/GNB4/FGF22/CSF3R/F2R/ITGA4/GYS1/MCL1/CREB3L1/COL4A2/CCND1/CSF1/KIT/FN1/GDNF/IGF1R/RPS6/EIF4EBP1/CHAD/PDGFRB/ANGPT4/MET/VEGFD/LPAR6/GNG2/LAMA4/CSF3/LAMA2/PDGFB/PIK3R3/PIK3CD/EPHA2/ITGB7/NR4A1/AREG,69,3.864039621016365,2.9585152494818296,5.046721390197111
Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,29/1075,111/7103,0.26126126126126126,1.7262685941755709,3.2566117714955425,0.0017288645715380594,0.02313760168441979,0.017335292902877986,SOCS3/FOS/MAP3K5/IL1B/IRF1/NFKBIA/JUNB/CCL2/MLKL/MAP2K3/CX3CL1/BCL3/CASP10/TNF/FRMD8/CREB3L1/CSF1/TNFRSF1B/RHBDF1/SELE/PTGS2/VEGFD/ICAM1/PIK3R3/CASP8/PIK3CD/NOD2/MAP3K8/TRADD,29,4.740372931070605,3.1354652183225777,7.166762812201951
Environmental Information Processing,Signal transduction,hsa04390,Hippo signaling pathway,37/1075,152/7103,0.24342105263157895,1.6083904528763768,3.2017578596840495,0.0017693460111615133,0.02313760168441979,0.017335292902877986,BMP8A/STK3/CTNNA1/SMAD7/BMP8B/FZD5/FRMD6/BMP2/TEAD3/APC2/TGFB3/TGFBR1/CCND3/DLG5/NKD1/TEAD4/ID2/WNT11/LIMD1/TGFBR2/PARD6G/CCND1/WNT7A/BMP7/ACTG1/WNT2B/WNT5A/TCF7L2/WNT8B/ACTB/WWTR1/CTNNA2/FZD2/WNT6/AREG/CRB2/BMP6,37,4.4166768665850675,3.067529418943412,6.359200476892819
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,25/1075,92/7103,0.2717391304347826,1.7955005055611728,3.2430402169416386,0.0019543022297482176,0.024081326611810134,0.018042356161170444,RYR1/FOS/GUCY1A1/CACNA1D/CAMK2G/GNB3/ADCY3/PLCB1/GRIN1/PER1/GNB4/CAMK2D/KCNJ6/ADCY7/GNG2/PLCB2/PLCB4/PRKG1/GRIA1/GRIA4/ITPR1/RYR3/KCNJ3/RASD1/GRIN2B,25,4.930485338725985,3.155443873501445,7.704046292674697
Human Diseases,Cardiovascular disease,hsa05410,Hypertrophic cardiomyopathy,26/1075,97/7103,0.26804123711340205,1.7710668904339486,3.228871784104802,0.0019831680739137757,0.024081326611810134,0.018042356161170444,CACNB4/SGCZ/SLC8A3/ITGB3/LMNA/IGF1/SLC8A1/CACNA2D4/TPM4/ITGB4/DMD/CACNA1D/TGFB3/LAMA1/CACNG3/ITGA4/TNF/ACTG1/SNTA1/SGCD/LAMA2/DES/CACNG4/ACTB/ITGB7/CACNG2,26,4.863390074322704,3.1410378725764714,7.530174411943438
Human Diseases,Immune disease,hsa05321,Inflammatory bowel disease,18/1075,60/7103,0.3,1.982232558139535,3.2264062546122934,0.002514232492887661,0.029477208537303613,0.022085091226091258,TLR2/STAT3/MAF/IL1B/HLA-DMB/IFNGR1/IL4R/TGFB3/IL21R/IL18/TNF/HLA-DRB5/RORA/IL12B/TBX21/STAT1/NOD2/HLA-DQA2,18,5.443255813953488,3.202962357891678,9.250509542560314
Human Diseases,Cancer: specific types,hsa05221,Acute myeloid leukemia,19/1075,65/7103,0.2923076923076923,1.9314060822898036,3.1855106472416748,0.0026884413908195926,0.030469002429288718,0.022828169002748824,STAT3/BCL2A1/RUNX1/CSF1R/CD14/CEBPA/ZBTB16/PIM1/FCGR1A/RARA/CCND1/KIT/EIF4EBP1/TCF7L2/CEBPE/PIK3R3/PIK3CD/CCNA2/DUSP6,19,5.303685152057246,3.169458034397544,8.875042952729714
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecules,36/1075,151/7103,0.23841059602649006,1.5752841521638687,3.0173378907677457,0.0029620718384596846,0.031666898542085854,0.023725663923172685,SELPLG/NRXN1/L1CAM/PTPRM/JAM2/HLA-DMB/CD86/VSIR/VCAN/CNTN1/CLDN11/PTPRF/NFASC/SLITRK5/PECAM1/CD4/NLGN4X/LRRC4/CD276/LRRC4C/CNTNAP2/ITGA4/CTLA4/MADCAM1/CLDN7/CLDN14/HLA-DRB5/SELE/NECTIN2/ICAM1/ITGB7/CNTNAP1/HLA-DQA2/PVR/SELL/CD58,36,4.325766209764362,2.9919110039982257,6.254281386222085
Organismal Systems,Endocrine system,hsa04921,Oxytocin signaling pathway,35/1075,146/7103,0.23972602739726026,1.5839757884676648,3.0107050581971735,0.003051909462473975,0.031666898542085854,0.023725663923172685,CACNB4/RYR1/FOS/CDKN1A/MEF2C/GUCY1A1/PLA2G4A/CACNA2D4/CAMK1D/PIK3R5/CACNA1D/CAMK2G/ADCY3/PLCB1/PIK3CG/CACNG3/RGS2/CCND1/CAMK4/CAMK2D/ACTG1/KCNJ6/CD38/ADCY7/PTGS2/PLCB2/PLCB4/CACNG4/ACTB/MYLK/ITPR1/RYR3/EEF2K/KCNJ3/CACNG2,35,4.349633641287034,2.9925800915745637,6.322074007871046
Metabolism,Carbohydrate metabolism,hsa00010,Glycolysis / Gluconeogenesis,18/1075,61/7103,0.29508196721311475,1.9497369424323294,3.1457788103682573,0.003073551917320098,0.031666898542085854,0.023725663923172685,ALDH3A2/PGK1/HK2/ENO1/PFKL/PCK1/LDHA/ENO2/PGM2/ACSS1/GPI/HKDC1/ALDH3A1/TPI1/HK1/PFKP/PFKM/BPGM,18,5.354022112085399,3.153577063501006,9.089853268045964
Organismal Systems,Immune system,hsa04611,Platelet activation,29/1075,116/7103,0.25,1.6518604651162792,2.9891396780902215,0.003514852470828433,0.03514852470828433,0.02633418879072696,P2RY12/ITGB3/GUCY1A1/PTGS1/TBXAS1/FCGR2A/PLA2G4A/PIK3R5/SYK/ADCY3/PLCB1/APBB1IP/PIK3CG/F2R/TLN2/BTK/ACTG1/FCER1G/ADCY7/PLCB2/PIK3R3/PLCB4/ACTB/PRKG1/MYLK/PIK3CD/ITPR1/COL3A1/GP1BA,29,4.536046511627907,3.005746813693279,6.845459458499604
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,61/1075,290/7103,0.2103448275862069,1.3898412189254212,2.8623682440553466,0.003712795677022728,0.03606715800536364,0.02702245274705264,GABRB1/EDNRB/CYSLTR1/P2RY13/VGF/C3/PTAFR/CALCRL/PENK/CALCR/GRM3/HRH2/P2RY6/GABRG1/ADM/P2RY14/ADRB2/LPAR4/ADORA1/CRH/GRIN1/NPFFR1/GABRD/PTH2R/FPR1/F2R/OPRM1/GRIK4/PTGDR/GABRG3/C3AR1/NTSR2/PDYN/GABRA2/GABRG2/OPRL1/GABRA4/C5AR1/GRIK2/TACR1/ADRB1/ADM2/DRD1/LPAR6/ADORA2A/GRM1/TAC1/HTR2C/NPY1R/EDN3/OGFR/GRIA1/CNR1/GRIA4/S1PR1/GRM4/LEP/NMUR2/PAQR6/GABRB3/GRIN2B,61,3.8165356856455492,2.876315587502997,5.06409821755721
Organismal Systems,Immune system,hsa04623,Cytosolic DNA-sensing pathway,19/1075,67/7103,0.2835820895522388,1.8737521693856298,3.0343851009535365,0.003910935267031624,0.036936610855298674,0.02767386943338167,IL1B/ZDHHC11B/NFKBIA/SAMHD1/NLRP3/MLKL/IFI16/IKBKE/IL18/POLR3G/GSDME/CASP1/ZDHHC11/CCL4/GSDMD/IL33/MEFV/CASP8/CCL4L2,19,5.145366192294342,3.0801290181293326,8.595352044338917
Organismal Systems,Digestive system,hsa04973,Carbohydrate digestion and absorption,13/1075,40/7103,0.325,2.1474186046511625,3.073018849944937,0.0045488227475826894,0.041799992815624715,0.03131764167610273,ATP1A2/SLC2A5/HK2/ATP1B3/CACNA1D/MGAM/PLCB1/HKDC1/PLCB2/PIK3R3/PLCB4/HK1/PIK3CD,13,5.896860465116279,3.144568605344564,11.058102941672395
Organismal Systems,Digestive system,hsa04971,Gastric acid secretion,19/1075,69/7103,0.2753623188405797,1.8194405123019886,2.8883428208677917,0.005561442315097679,0.04848436890085155,0.036325750074322226,ATP1A2/HRH2/ATP1B3/CAMK2G/KCNK10/KCNJ16/ADCY3/PLCB1/KCNK2/CAMK2D/ACTG1/ADCY7/PLCB2/PLCB4/ACTB/MYLK/SLC26A7/ITPR1/EZR,19,4.996225143242333,2.995705023775424,8.332684788339892
Human Diseases,Cancer: overview,hsa05230,Central carbon metabolism in cancer,19/1075,69/7103,0.2753623188405797,1.8194405123019886,2.8883428208677917,0.005561442315097679,0.04848436890085155,0.036325750074322226,PDK1/FGFR3/HK2/PDGFRA/PFKL/HIF1A/LDHA/SLC16A3/KIT/PDGFRB/HKDC1/MET/PIK3R3/HK1/PIK3CD/PFKP/SCO2/SLC2A1/PFKM,19,4.996225143242333,2.995705023775424,8.332684788339892
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,16/1075,55/7103,0.2909090909090909,1.922164904862579,2.8991115852631792,0.005955912983772574,0.04910478061039664,0.036790578661659405,SELPLG/C3/PTAFR/HLA-DMB/FCGR2A/FCGR1A/FCAR/FCGR3A/FPR1/HLA-DRB5/C3AR1/C5AR1/FCGR3B/ICAM1/HLA-DQA2/CFB,16,5.27830866807611,3.014700660637462,9.241561777346162
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,50/1075,234/7103,0.21367521367521367,1.4118465513814351,2.705232202623361,0.0059669577776173795,0.04910478061039664,0.036790578661659405,RYR1/FGF20/FGFR3/EDNRB/CYSLTR1/VEGFA/SLC8A3/PTAFR/SLC8A1/CACNA1A/PDGFRA/CAMK1D/HRH2/CACNA1D/ATP2B4/CAMK2G/ADRB2/ADCY3/PDGFA/PLCB1/GRIN1/TRDN/FGF22/F2R/ITPKC/CAMK4/CAMK2D/GDNF/PPIF/TACR1/PLCD4/ADRB1/CD38/PDGFRB/ADCY7/MET/VEGFD/DRD1/ADORA2A/GRM1/HTR2C/PLCB2/PDGFB/MST1/PLCB4/MYLK/PLCZ1/ITPR1/RYR3/GRIN2B,50,3.8769628304512023,2.839341982051534,5.293776122677493
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,35/1075,152/7103,0.23026315789473684,1.5214504283965729,2.7442212474915193,0.006065884663637232,0.04910478061039664,0.036790578661659405,SOCS3/IL1B/HLA-DMB/IFNAR2/IFNGR1/NFKBIA/OAS1/NLRP3/CCL2/TLR7/CCND3/TNFSF10/IKBKE/IL18/CXCL8/TNF/HLA-DRB5/CASP1/ACTG1/TNFRSF10A/IL12B/ICAM1/STAT1/PIK3R3/IL33/ACTB/RSAD2/CASP8/PIK3CD/HLA-DQA2/BID/IRF9/DNAJB1/TRADD/TNFRSF10B,35,4.177937576499388,2.878453981437785,6.064075543916369
