ensembl_id	original_id	gene_symbol	final_name
ENSG00000003756	ENSG00000003756	RBM5	RBM5
ENSG00000003987	ENSG00000003987	MTMR7	MTMR7
ENSG00000003989	ENSG00000003989	SLC7A2	SLC7A2
ENSG00000004059	ENSG00000004059	ARF5	ARF5
ENSG00000004139	ENSG00000004139	SARM1	SARM1
ENSG00000004142	ENSG00000004142	POLDIP2	POLDIP2
ENSG00000004399	ENSG00000004399	PLXND1	PLXND1
ENSG00000004455	ENSG00000004455	AK2	AK2
ENSG00000004468	ENSG00000004468	CD38	CD38
ENSG00000004478	ENSG00000004478	FKBP4	FKBP4
ENSG00000004487	ENSG00000004487	KDM1A	KDM1A
ENSG00000004534	ENSG00000004534	RBM6	RBM6
ENSG00000004660	ENSG00000004660	CAMKK1	CAMKK1
ENSG00000004700	ENSG00000004700	RECQL	RECQL
ENSG00000004766	ENSG00000004766	VPS50	VPS50
ENSG00000004776	ENSG00000004776	HSPB6	HSPB6
ENSG00000004777	ENSG00000004777	ARHGAP33	ARHGAP33
ENSG00000004779	ENSG00000004779	NDUFAB1	NDUFAB1
ENSG00000004799	ENSG00000004799	PDK4	PDK4
ENSG00000004809	ENSG00000004809	SLC22A16	SLC22A16
ENSG00000004838	ENSG00000004838	ZMYND10	ZMYND10
ENSG00000004846	ENSG00000004846	ABCB5	ABCB5
ENSG00000004848	ENSG00000004848	ARX	ARX
ENSG00000004864	ENSG00000004864	SLC25A13	SLC25A13
ENSG00000004866	ENSG00000004866	ST7	ST7
ENSG00000004897	ENSG00000004897	CDC27	CDC27
ENSG00000004939	ENSG00000004939	SLC4A1	SLC4A1
ENSG00000004948	ENSG00000004948	CALCR	CALCR
ENSG00000004961	ENSG00000004961	HCCS	HCCS
ENSG00000004975	ENSG00000004975	DVL2	DVL2
ENSG00000005001	ENSG00000005001	PRSS22	PRSS22
ENSG00000005007	ENSG00000005007	UPF1	UPF1
ENSG00000005020	ENSG00000005020	SKAP2	SKAP2
ENSG00000005022	ENSG00000005022	SLC25A5	SLC25A5
ENSG00000005059	ENSG00000005059	MCUB	MCUB
ENSG00000005073	ENSG00000005073	HOXA11	HOXA11
ENSG00000005075	ENSG00000005075	POLR2J	POLR2J
ENSG00000005100	ENSG00000005100	DHX33	DHX33
ENSG00000005102	ENSG00000005102	MEOX1	MEOX1
ENSG00000005108	ENSG00000005108	THSD7A	THSD7A
ENSG00000005156	ENSG00000005156	LIG3	LIG3
ENSG00000005175	ENSG00000005175	RPAP3	RPAP3
ENSG00000005187	ENSG00000005187	ACSM3	ACSM3
ENSG00000005189	ENSG00000005189	REXO5	REXO5
ENSG00000005194	ENSG00000005194	CIAPIN1	CIAPIN1
ENSG00000005206	ENSG00000005206	SPPL2B	SPPL2B
ENSG00000005238	ENSG00000005238	ATOSB	ATOSB
ENSG00000005243	ENSG00000005243	COPZ2	COPZ2
ENSG00000005249	ENSG00000005249	PRKAR2B	PRKAR2B
ENSG00000005302	ENSG00000005302	MSL3	MSL3
ENSG00000005339	ENSG00000005339	CREBBP	CREBBP
ENSG00000005379	ENSG00000005379	TSPOAP1	TSPOAP1
ENSG00000005381	ENSG00000005381	MPO	MPO
ENSG00000005421	ENSG00000005421	PON1	PON1
ENSG00000005436	ENSG00000005436	GCFC2	GCFC2
ENSG00000005448	ENSG00000005448	WDR54	WDR54
ENSG00000005469	ENSG00000005469	CROT	CROT
ENSG00000005471	ENSG00000005471	ABCB4	ABCB4
ENSG00000005483	ENSG00000005483	KMT2E	KMT2E
ENSG00000005486	ENSG00000005486	RHBDD2	RHBDD2
ENSG00000005513	ENSG00000005513	SOX8	SOX8
ENSG00000005700	ENSG00000005700	IBTK	IBTK
ENSG00000005801	ENSG00000005801	ZNF195	ZNF195
ENSG00000005810	ENSG00000005810	MYCBP2	MYCBP2
ENSG00000005812	ENSG00000005812	FBXL3	FBXL3
ENSG00000005844	ENSG00000005844	ITGAL	ITGAL
ENSG00000005882	ENSG00000005882	PDK2	PDK2
ENSG00000005884	ENSG00000005884	ITGA3	ITGA3
ENSG00000005889	ENSG00000005889	ZFX	ZFX
ENSG00000005893	ENSG00000005893	LAMP2	LAMP2
ENSG00000005961	ENSG00000005961	ITGA2B	ITGA2B
ENSG00000005981	ENSG00000005981	ASB4	ASB4
ENSG00000006007	ENSG00000006007	GDE1	GDE1
ENSG00000006015	ENSG00000006015	REX1BD	REX1BD
ENSG00000006016	ENSG00000006016	CRLF1	CRLF1
ENSG00000006025	ENSG00000006025	OSBPL7	OSBPL7
ENSG00000006042	ENSG00000006042	TMEM98	TMEM98
ENSG00000006047	ENSG00000006047	YBX2	YBX2
ENSG00000006059	ENSG00000006059	KRT33A	KRT33A
ENSG00000006062	ENSG00000006062	MAP3K14	MAP3K14
ENSG00000006071	ENSG00000006071	ABCC8	ABCC8
ENSG00000006116	ENSG00000006116	CACNG3	CACNG3
ENSG00000006118	ENSG00000006118	TMEM132A	TMEM132A
ENSG00000006125	ENSG00000006125	AP2B1	AP2B1
ENSG00000006128	ENSG00000006128	TAC1	TAC1
ENSG00000006194	ENSG00000006194	ZNF263	ZNF263
ENSG00000006210	ENSG00000006210	CX3CL1	CX3CL1
ENSG00000006282	ENSG00000006282	SPATA20	SPATA20
ENSG00000006283	ENSG00000006283	CACNA1G	CACNA1G
ENSG00000006327	ENSG00000006327	TNFRSF12A	TNFRSF12A
ENSG00000006377	ENSG00000006377	DLX6	DLX6
ENSG00000006432	ENSG00000006432	MAP3K9	MAP3K9
ENSG00000006451	ENSG00000006451	RALA	RALA
ENSG00000006453	ENSG00000006453	BAIAP2L1	BAIAP2L1
ENSG00000006459	ENSG00000006459	KDM7A	KDM7A
ENSG00000006468	ENSG00000006468	ETV1	ETV1
ENSG00000006530	ENSG00000006530	AGK	AGK
ENSG00000006534	ENSG00000006534	ALDH3B1	ALDH3B1
ENSG00000006555	ENSG00000006555	TTC22	TTC22
ENSG00000006576	ENSG00000006576	PHTF2	PHTF2
ENSG00000006606	ENSG00000006606	CCL26	CCL26
ENSG00000006607	ENSG00000006607	FARP2	FARP2
ENSG00000006611	ENSG00000006611	USH1C	USH1C
ENSG00000006625	ENSG00000006625	GGCT	GGCT
ENSG00000006634	ENSG00000006634	DBF4	DBF4
ENSG00000006638	ENSG00000006638	TBXA2R	TBXA2R
ENSG00000006652	ENSG00000006652	IFRD1	IFRD1
ENSG00000006659	ENSG00000006659	LGALS14	LGALS14
ENSG00000006695	ENSG00000006695	COX10	COX10
ENSG00000006704	ENSG00000006704	GTF2IRD1	GTF2IRD1
ENSG00000006712	ENSG00000006712	PAF1	PAF1
ENSG00000006715	ENSG00000006715	VPS41	VPS41
ENSG00000006740	ENSG00000006740	ARHGAP44	ARHGAP44
ENSG00000006744	ENSG00000006744	ELAC2	ELAC2
ENSG00000006747	ENSG00000006747	SCIN	SCIN
ENSG00000006756	ENSG00000006756	ARSD	ARSD
ENSG00000006757	ENSG00000006757	PNPLA4	PNPLA4
ENSG00000006788	ENSG00000006788	MYH13	MYH13
ENSG00000006831	ENSG00000006831	ADIPOR2	ADIPOR2
ENSG00000006837	ENSG00000006837	CDKL3	CDKL3
ENSG00000007001	ENSG00000007001	UPP2	UPP2
ENSG00000007038	ENSG00000007038	PRSS21	PRSS21
ENSG00000007047	ENSG00000007047	MARK4	MARK4
ENSG00000007062	ENSG00000007062	PROM1	PROM1
ENSG00000007080	ENSG00000007080	CCDC124	CCDC124
ENSG00000007129	ENSG00000007129	CEACAM21	CEACAM21
ENSG00000007168	ENSG00000007168	PAFAH1B1	PAFAH1B1
ENSG00000007171	ENSG00000007171	NOS2	NOS2
ENSG00000007174	ENSG00000007174	DNAH9	DNAH9
ENSG00000007202	ENSG00000007202	BLTP2	BLTP2
ENSG00000007216	ENSG00000007216	SLC13A2	SLC13A2
ENSG00000007237	ENSG00000007237	GAS7	GAS7
ENSG00000007255	ENSG00000007255	TRAPPC6A	TRAPPC6A
ENSG00000007264	ENSG00000007264	MATK	MATK
ENSG00000007306	ENSG00000007306	CEACAM7	CEACAM7
ENSG00000007312	ENSG00000007312	CD79B	CD79B
ENSG00000007314	ENSG00000007314	SCN4A	SCN4A
ENSG00000007341	ENSG00000007341	ST7L	ST7L
ENSG00000007350	ENSG00000007350	TKTL1	TKTL1
ENSG00000007372	ENSG00000007372	PAX6	PAX6
ENSG00000007376	ENSG00000007376	RPUSD1	RPUSD1
ENSG00000007384	ENSG00000007384	RHBDF1	RHBDF1
ENSG00000007392	ENSG00000007392	LUC7L	LUC7L
ENSG00000007402	ENSG00000007402	CACNA2D2	CACNA2D2
ENSG00000007516	ENSG00000007516	BAIAP3	BAIAP3
ENSG00000007520	ENSG00000007520	TSR3	TSR3
ENSG00000007541	ENSG00000007541	PIGQ	PIGQ
ENSG00000007545	ENSG00000007545	CRAMP1	CRAMP1
ENSG00000007866	ENSG00000007866	TEAD3	TEAD3
ENSG00000007908	ENSG00000007908	SELE	SELE
ENSG00000007923	ENSG00000007923	DNAJC11	DNAJC11
ENSG00000007933	ENSG00000007933	FMO3	FMO3
ENSG00000007944	ENSG00000007944	MYLIP	MYLIP
ENSG00000007952	ENSG00000007952	NOX1	NOX1
ENSG00000008018	ENSG00000008018	PSMB1	PSMB1
ENSG00000008056	ENSG00000008056	SYN1	SYN1
ENSG00000008083	ENSG00000008083	JARID2	JARID2
ENSG00000008086	ENSG00000008086	CDKL5	CDKL5
ENSG00000008118	ENSG00000008118	CAMK1G	CAMK1G
ENSG00000008128	ENSG00000008128	CDK11A	CDK11A
ENSG00000008130	ENSG00000008130	NADK	NADK
ENSG00000008196	ENSG00000008196	TFAP2B	TFAP2B
ENSG00000008197	ENSG00000008197	TFAP2D	TFAP2D
ENSG00000008226	ENSG00000008226	DLEC1	DLEC1
ENSG00000008256	ENSG00000008256	CYTH3	CYTH3
ENSG00000008277	ENSG00000008277	ADAM22	ADAM22
ENSG00000008282	ENSG00000008282	SYPL1	SYPL1
ENSG00000008283	ENSG00000008283	CYB561	CYB561
ENSG00000008294	ENSG00000008294	SPAG9	SPAG9
ENSG00000008300	ENSG00000008300	CELSR3	CELSR3
ENSG00000008311	ENSG00000008311	AASS	AASS
ENSG00000008323	ENSG00000008323	PLEKHG6	PLEKHG6
ENSG00000008324	ENSG00000008324	SS18L2	SS18L2
ENSG00000008382	ENSG00000008382	MPND	MPND
ENSG00000008394	ENSG00000008394	MGST1	MGST1
ENSG00000008405	ENSG00000008405	CRY1	CRY1
ENSG00000008438	ENSG00000008438	PGLYRP1	PGLYRP1
ENSG00000008441	ENSG00000008441	NFIX	NFIX
ENSG00000008513	ENSG00000008513	ST3GAL1	ST3GAL1
ENSG00000008516	ENSG00000008516	MMP25	MMP25
ENSG00000008517	ENSG00000008517	IL32	IL32
ENSG00000008710	ENSG00000008710	PKD1	PKD1
ENSG00000008735	ENSG00000008735	MAPK8IP2	MAPK8IP2
ENSG00000008838	ENSG00000008838	MED24	MED24
ENSG00000008853	ENSG00000008853	RHOBTB2	RHOBTB2
ENSG00000008869	ENSG00000008869	HEATR5B	HEATR5B
ENSG00000008952	ENSG00000008952	SEC62	SEC62
ENSG00000008988	ENSG00000008988	RPS20	RPS20
ENSG00000009307	ENSG00000009307	CSDE1	CSDE1
ENSG00000009335	ENSG00000009335	UBE3C	UBE3C
ENSG00000009413	ENSG00000009413	REV3L	REV3L
ENSG00000009694	ENSG00000009694	TENM1	TENM1
ENSG00000009709	ENSG00000009709	PAX7	PAX7
ENSG00000009724	ENSG00000009724	MASP2	MASP2
ENSG00000009765	ENSG00000009765	IYD	IYD
ENSG00000009780	ENSG00000009780	FAM76A	FAM76A
ENSG00000009790	ENSG00000009790	TRAF3IP3	TRAF3IP3
ENSG00000009830	ENSG00000009830	POMT2	POMT2
ENSG00000009844	ENSG00000009844	VTA1	VTA1
ENSG00000009950	ENSG00000009950	MLXIPL	MLXIPL
ENSG00000009954	ENSG00000009954	BAZ1B	BAZ1B
ENSG00000010017	ENSG00000010017	RANBP9	RANBP9
ENSG00000010030	ENSG00000010030	ETV7	ETV7
ENSG00000010072	ENSG00000010072	SPRTN	SPRTN
ENSG00000010165	ENSG00000010165	METTL13	METTL13
ENSG00000010219	ENSG00000010219	DYRK4	DYRK4
ENSG00000010244	ENSG00000010244	ZNF207	ZNF207
ENSG00000010256	ENSG00000010256	UQCRC1	UQCRC1
ENSG00000010270	ENSG00000010270	STARD3NL	STARD3NL
ENSG00000010278	ENSG00000010278	CD9	CD9
ENSG00000010282	ENSG00000010282	HHATL	HHATL
ENSG00000010292	ENSG00000010292	NCAPD2	NCAPD2
ENSG00000010295	ENSG00000010295	IFFO1	IFFO1
ENSG00000010310	ENSG00000010310	GIPR	GIPR
ENSG00000010318	ENSG00000010318	PHF7	PHF7
ENSG00000010319	ENSG00000010319	SEMA3G	SEMA3G
ENSG00000010322	ENSG00000010322	NISCH	NISCH
ENSG00000010327	ENSG00000010327	STAB1	STAB1
ENSG00000010361	ENSG00000010361	FUZ	FUZ
ENSG00000010379	ENSG00000010379	SLC6A13	SLC6A13
ENSG00000010404	ENSG00000010404	IDS	IDS
ENSG00000010438	ENSG00000010438	PRSS3	PRSS3
ENSG00000010539	ENSG00000010539	ZNF200	ZNF200
ENSG00000010610	ENSG00000010610	CD4	CD4
ENSG00000010626	ENSG00000010626	LRRC23	LRRC23
ENSG00000010671	ENSG00000010671	BTK	BTK
ENSG00000010704	ENSG00000010704	HFE	HFE
ENSG00000010803	ENSG00000010803	SCMH1	SCMH1
ENSG00000010810	ENSG00000010810	FYN	FYN
ENSG00000010818	ENSG00000010818	HIVEP2	HIVEP2
ENSG00000010932	ENSG00000010932	FMO1	FMO1
ENSG00000011007	ENSG00000011007	ELOA	ELOA
ENSG00000011009	ENSG00000011009	LYPLA2	LYPLA2
ENSG00000011021	ENSG00000011021	CLCN6	CLCN6
ENSG00000011028	ENSG00000011028	MRC2	MRC2
ENSG00000011083	ENSG00000011083	SLC6A7	SLC6A7
ENSG00000011105	ENSG00000011105	TSPAN9	TSPAN9
ENSG00000011114	ENSG00000011114	BTBD7	BTBD7
ENSG00000011132	ENSG00000011132	APBA3	APBA3
ENSG00000011143	ENSG00000011143	MKS1	MKS1
ENSG00000011198	ENSG00000011198	ABHD5	ABHD5
ENSG00000011201	ENSG00000011201	ANOS1	ANOS1
ENSG00000011243	ENSG00000011243	AKAP8L	AKAP8L
ENSG00000011258	ENSG00000011258	MBTD1	MBTD1
ENSG00000011260	ENSG00000011260	UTP18	UTP18
ENSG00000011275	ENSG00000011275	RNF216	RNF216
ENSG00000011295	ENSG00000011295	TTC19	TTC19
ENSG00000011304	ENSG00000011304	PTBP1	PTBP1
ENSG00000011332	ENSG00000011332	DPF1	DPF1
ENSG00000011347	ENSG00000011347	SYT7	SYT7
ENSG00000011376	ENSG00000011376	LARS2	LARS2
ENSG00000011405	ENSG00000011405	PIK3C2A	PIK3C2A
ENSG00000011422	ENSG00000011422	PLAUR	PLAUR
ENSG00000011426	ENSG00000011426	ANLN	ANLN
ENSG00000011451	ENSG00000011451	WIZ	WIZ
ENSG00000011454	ENSG00000011454	RABGAP1	RABGAP1
ENSG00000011465	ENSG00000011465	DCN	DCN
ENSG00000011478	ENSG00000011478	QPCTL	QPCTL
ENSG00000011485	ENSG00000011485	PPP5C	PPP5C
ENSG00000011523	ENSG00000011523	CEP68	CEP68
ENSG00000011566	ENSG00000011566	MAP4K3	MAP4K3
ENSG00000011590	ENSG00000011590	ZBTB32	ZBTB32
ENSG00000011600	ENSG00000011600	TYROBP	TYROBP
ENSG00000011638	ENSG00000011638	LDAF1	LDAF1
ENSG00000011677	ENSG00000011677	GABRA3	GABRA3
ENSG00000012048	ENSG00000012048	BRCA1	BRCA1
ENSG00000012061	ENSG00000012061	ERCC1	ERCC1
ENSG00000012124	ENSG00000012124	CD22	CD22
ENSG00000012171	ENSG00000012171	SEMA3B	SEMA3B
ENSG00000012174	ENSG00000012174	MBTPS2	MBTPS2
ENSG00000012211	ENSG00000012211	PRICKLE3	PRICKLE3
ENSG00000012223	ENSG00000012223	LTF	LTF
ENSG00000012232	ENSG00000012232	EXTL3	EXTL3
ENSG00000012504	ENSG00000012504	NR1H4	NR1H4
ENSG00000012660	ENSG00000012660	ELOVL5	ELOVL5
ENSG00000012779	ENSG00000012779	ALOX5	ALOX5
ENSG00000012817	ENSG00000012817	KDM5D	KDM5D
ENSG00000012822	ENSG00000012822	CALCOCO1	CALCOCO1
ENSG00000012963	ENSG00000012963	UBR7	UBR7
ENSG00000012983	ENSG00000012983	MAP4K5	MAP4K5
ENSG00000013016	ENSG00000013016	EHD3	EHD3
ENSG00000013275	ENSG00000013275	PSMC4	PSMC4
ENSG00000013288	ENSG00000013288	MAN2B2	MAN2B2
ENSG00000013293	ENSG00000013293	SLC7A14	SLC7A14
ENSG00000013297	ENSG00000013297	CLDN11	CLDN11
ENSG00000013306	ENSG00000013306	SLC25A39	SLC25A39
ENSG00000013364	ENSG00000013364	MVP	MVP
ENSG00000013374	ENSG00000013374	NUB1	NUB1
ENSG00000013375	ENSG00000013375	PGM3	PGM3
ENSG00000013392	ENSG00000013392	RWDD2A	RWDD2A
ENSG00000013441	ENSG00000013441	CLK1	CLK1
ENSG00000013503	ENSG00000013503	POLR3B	POLR3B
ENSG00000013523	ENSG00000013523	ANGEL1	ANGEL1
ENSG00000013561	ENSG00000013561	RNF14	RNF14
ENSG00000013563	ENSG00000013563	DNASE1L1	DNASE1L1
ENSG00000013573	ENSG00000013573	DDX11	DDX11
ENSG00000013583	ENSG00000013583	HEBP1	HEBP1
ENSG00000013588	ENSG00000013588	GPRC5A	GPRC5A
ENSG00000013619	ENSG00000013619	MAMLD1	MAMLD1
ENSG00000013725	ENSG00000013725	CD6	CD6
ENSG00000013810	ENSG00000013810	TACC3	TACC3
ENSG00000014123	ENSG00000014123	UFL1	UFL1
ENSG00000014138	ENSG00000014138	POLA2	POLA2
ENSG00000014164	ENSG00000014164	ZC3H3	ZC3H3
ENSG00000014216	ENSG00000014216	CAPN1	CAPN1
ENSG00000014257	ENSG00000014257	ACP3	ACP3
ENSG00000014641	ENSG00000014641	MDH1	MDH1
ENSG00000014824	ENSG00000014824	SLC30A9	SLC30A9
ENSG00000014914	ENSG00000014914	MTMR11	MTMR11
ENSG00000014919	ENSG00000014919	COX15	COX15
ENSG00000015133	ENSG00000015133	CCDC88C	CCDC88C
ENSG00000015153	ENSG00000015153	YAF2	YAF2
ENSG00000015171	ENSG00000015171	ZMYND11	ZMYND11
ENSG00000015285	ENSG00000015285	WAS	WAS
ENSG00000015413	ENSG00000015413	DPEP1	DPEP1
ENSG00000015475	ENSG00000015475	BID	BID
ENSG00000015479	ENSG00000015479	MATR3	MATR3
ENSG00000015520	ENSG00000015520	NPC1L1	NPC1L1
ENSG00000015532	ENSG00000015532	XYLT2	XYLT2
ENSG00000015568	ENSG00000015568	RGPD5	RGPD5
ENSG00000015592	ENSG00000015592	STMN4	STMN4
ENSG00000015676	ENSG00000015676	NUDCD3	NUDCD3
ENSG00000016082	ENSG00000016082	ISL1	ISL1
ENSG00000016391	ENSG00000016391	CHDH	CHDH
ENSG00000016402	ENSG00000016402	IL20RA	IL20RA
ENSG00000016490	ENSG00000016490	CLCA1	CLCA1
ENSG00000016602	ENSG00000016602	CLCA4	CLCA4
ENSG00000016864	ENSG00000016864	GLT8D1	GLT8D1
ENSG00000017260	ENSG00000017260	ATP2C1	ATP2C1
ENSG00000017427	ENSG00000017427	IGF1	IGF1
ENSG00000017483	ENSG00000017483	SLC38A5	SLC38A5
ENSG00000017797	ENSG00000017797	RALBP1	RALBP1
ENSG00000018189	ENSG00000018189	RUFY3	RUFY3
ENSG00000018236	ENSG00000018236	CNTN1	CNTN1
ENSG00000018280	ENSG00000018280	SLC11A1	SLC11A1
ENSG00000018408	ENSG00000018408	WWTR1	WWTR1
ENSG00000018510	ENSG00000018510	AGPS	AGPS
ENSG00000018607	ENSG00000018607	ZNF285CP	ZNF285CP
ENSG00000018610	ENSG00000018610	STEEP1	STEEP1
ENSG00000018625	ENSG00000018625	ATP1A2	ATP1A2
ENSG00000018699	ENSG00000018699	TTC27	TTC27
ENSG00000018869	ENSG00000018869	ZNF582	ZNF582
ENSG00000019102	ENSG00000019102	VSIG2	VSIG2
ENSG00000019144	ENSG00000019144	PHLDB1	PHLDB1
ENSG00000019169	ENSG00000019169	MARCO	MARCO
ENSG00000019186	ENSG00000019186	CYP24A1	CYP24A1
ENSG00000019485	ENSG00000019485	PRDM11	PRDM11
ENSG00000019505	ENSG00000019505	SYT13	SYT13
ENSG00000019549	ENSG00000019549	SNAI2	SNAI2
ENSG00000019582	ENSG00000019582	CD74	CD74
ENSG00000019991	ENSG00000019991	HGF	HGF
ENSG00000019995	ENSG00000019995	ZRANB1	ZRANB1
ENSG00000020129	ENSG00000020129	NCDN	NCDN
ENSG00000020181	ENSG00000020181	ADGRA2	ADGRA2
ENSG00000020219	ENSG00000020219	CCT8L1P	CCT8L1P
ENSG00000020256	ENSG00000020256	ZFP64	ZFP64
ENSG00000020426	ENSG00000020426	MNAT1	MNAT1
ENSG00000020577	ENSG00000020577	SAMD4A	SAMD4A
ENSG00000020633	ENSG00000020633	RUNX3	RUNX3
ENSG00000020922	ENSG00000020922	MRE11	MRE11
ENSG00000021300	ENSG00000021300	PLEKHB1	PLEKHB1
ENSG00000021355	ENSG00000021355	SERPINB1	SERPINB1
ENSG00000021461	ENSG00000021461	CYP3A43	CYP3A43
ENSG00000021488	ENSG00000021488	SLC7A9	SLC7A9
ENSG00000021574	ENSG00000021574	SPAST	SPAST
ENSG00000021645	ENSG00000021645	NRXN3	NRXN3
ENSG00000021762	ENSG00000021762	OSBPL5	OSBPL5
ENSG00000021776	ENSG00000021776	AQR	AQR
ENSG00000021826	ENSG00000021826	CPS1	CPS1
ENSG00000021852	ENSG00000021852	C8B	C8B
ENSG00000022267	ENSG00000022267	FHL1	FHL1
ENSG00000022277	ENSG00000022277	RTF2	RTF2
ENSG00000022355	ENSG00000022355	GABRA1	GABRA1
ENSG00000022556	ENSG00000022556	NLRP2	NLRP2
ENSG00000022567	ENSG00000022567	SLC45A4	SLC45A4
ENSG00000022840	ENSG00000022840	RNF10	RNF10
ENSG00000022976	ENSG00000022976	ZNF839	ZNF839
ENSG00000023041	ENSG00000023041	ZDHHC6	ZDHHC6
ENSG00000023171	ENSG00000023171	GRAMD1B	GRAMD1B
ENSG00000023191	ENSG00000023191	RNH1	RNH1
ENSG00000023228	ENSG00000023228	NDUFS1	NDUFS1
ENSG00000023287	ENSG00000023287	RB1CC1	RB1CC1
ENSG00000023318	ENSG00000023318	ERP44	ERP44
ENSG00000023330	ENSG00000023330	ALAS1	ALAS1
ENSG00000023445	ENSG00000023445	BIRC3	BIRC3
ENSG00000023516	ENSG00000023516	AKAP11	AKAP11
ENSG00000023572	ENSG00000023572	GLRX2	GLRX2
ENSG00000023608	ENSG00000023608	SNAPC1	SNAPC1
ENSG00000023697	ENSG00000023697	DERA	DERA
ENSG00000023734	ENSG00000023734	STRAP	STRAP
ENSG00000023839	ENSG00000023839	ABCC2	ABCC2
ENSG00000023892	ENSG00000023892	DEF6	DEF6
ENSG00000023902	ENSG00000023902	PLEKHO1	PLEKHO1
ENSG00000023909	ENSG00000023909	GCLM	GCLM
ENSG00000024048	ENSG00000024048	UBR2	UBR2
ENSG00000024422	ENSG00000024422	EHD2	EHD2
ENSG00000024526	ENSG00000024526	DEPDC1	DEPDC1
ENSG00000024862	ENSG00000024862	CCDC28A	CCDC28A
ENSG00000025039	ENSG00000025039	RRAGD	RRAGD
ENSG00000025156	ENSG00000025156	HSF2	HSF2
ENSG00000025293	ENSG00000025293	PHF20	PHF20
ENSG00000025423	ENSG00000025423	HSD17B6	HSD17B6
ENSG00000025434	ENSG00000025434	NR1H3	NR1H3
ENSG00000025708	ENSG00000025708	TYMP	TYMP
ENSG00000025770	ENSG00000025770	NCAPH2	NCAPH2
ENSG00000025772	ENSG00000025772	TOMM34	TOMM34
ENSG00000025796	ENSG00000025796	SEC63	SEC63
ENSG00000025800	ENSG00000025800	KPNA6	KPNA6
ENSG00000026025	ENSG00000026025	VIM	VIM
ENSG00000026036	ENSG00000026036	RTEL1-TNFRSF6B	RTEL1-TNFRSF6B
ENSG00000026103	ENSG00000026103	FAS	FAS
ENSG00000026297	ENSG00000026297	RNASET2	RNASET2
ENSG00000026508	ENSG00000026508	CD44	CD44
ENSG00000026559	ENSG00000026559	KCNG1	KCNG1
ENSG00000026652	ENSG00000026652	AGPAT4	AGPAT4
ENSG00000026751	ENSG00000026751	SLAMF7	SLAMF7
ENSG00000026950	ENSG00000026950	BTN3A1	BTN3A1
ENSG00000027001	ENSG00000027001	MIPEP	MIPEP
ENSG00000027075	ENSG00000027075	PRKCH	PRKCH
ENSG00000027644	ENSG00000027644	INSRR	INSRR
ENSG00000027697	ENSG00000027697	IFNGR1	IFNGR1
ENSG00000027847	ENSG00000027847	B4GALT7	B4GALT7
ENSG00000027869	ENSG00000027869	SH2D2A	SH2D2A
ENSG00000028116	ENSG00000028116	VRK2	VRK2
ENSG00000028137	ENSG00000028137	TNFRSF1B	TNFRSF1B
ENSG00000028203	ENSG00000028203	VEZT	VEZT
