contrast,contrast_type,hallmark,activity,padj
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,IL6_JAK_STAT3_SIGNALING,3.927278736811809,0.0008836747664697195
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,INFLAMMATORY_RESPONSE,3.30845337368952,0.0052233253907749385
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,INTERFERON_GAMMA_RESPONSE,3.0774953322718814,0.008042344975535314
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,KRAS_SIGNALING_DN,3.942742891224886,0.0008836747664697195
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,MITOTIC_SPINDLE,3.705337504893551,0.0015130045474336668
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,MYOGENESIS,3.2709996457344586,0.005369740550664739
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,P53_PATHWAY,3.188281079807389,0.00651803876411935
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,TGF_BETA_SIGNALING,5.172750451997084,5.836439835370151e-06
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,TNFA_SIGNALING_VIA_NFKB,5.790940208336418,3.5653203008449925e-07
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,UV_RESPONSE_DN,3.453055808371713,0.0034731775856358506
